ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
015753.OF,20260122,20251231,300750.SZ,10657885.2,29020.0,1.78,0.0
015753.OF,20260122,20251231,300408.SZ,16259550.0,355400.0,2.71,0.02
015753.OF,20260122,20251231,000333.SZ,13696647.15,175261.0,2.28,0.0
015753.OF,20260122,20251231,002714.SZ,10996092.0,217400.0,1.83,0.01
015753.OF,20260122,20251231,603993.SH,10154000.0,507700.0,1.69,0.0
015753.OF,20260122,20251231,002379.SZ,12220728.0,510900.0,2.04,0.04
015753.OF,20260122,20251231,600938.SH,15071892.0,499400.0,2.51,0.02
015753.OF,20260122,20251231,600941.SH,16875350.0,167000.0,2.81,0.02
015753.OF,20260122,20251231,603893.SH,9484496.0,53200.0,1.58,0.01
015753.OF,20260122,20251231,000792.SZ,9810944.0,348400.0,1.64,0.01
015753.OF,20251028,20250930,300750.SZ,11706240.0,29120.0,2.29,0.0
015753.OF,20251028,20250930,300408.SZ,19560526.0,422200.0,3.82,0.02
015753.OF,20251028,20250930,603986.SH,10263569.4,48118.0,2.0,0.01
015753.OF,20251028,20250930,000333.SZ,13075966.26,179961.0,2.55,0.0
015753.OF,20251028,20250930,601336.SH,13901668.0,227300.0,2.71,0.01
015753.OF,20251028,20250930,601899.SH,19297920.0,655500.0,3.77,0.0
015753.OF,20251028,20250930,601328.SH,10775520.0,1603500.0,2.1,0.01
015753.OF,20251028,20250930,600938.SH,10530390.0,403000.0,2.06,0.01
015753.OF,20251028,20250930,600941.SH,15042516.0,143700.0,2.94,0.02
015753.OF,20251028,20250930,000858.SZ,10049554.48,82726.0,1.96,0.0
015753.OF,20250829,20250630,000002.SZ,606690.0,94500.0,0.14,0.0
015753.OF,20250829,20250630,301039.SZ,641457.0,78900.0,0.15,0.01
015753.OF,20250829,20250630,000998.SZ,671770.0,68200.0,0.16,0.01
015753.OF,20250829,20250630,603259.SH,730275.0,10500.0,0.17,0.0
015753.OF,20250829,20250630,601633.SH,753948.0,35100.0,0.18,0.0
015753.OF,20250829,20250630,002572.SZ,759342.0,54200.0,0.18,0.01
015753.OF,20250829,20250630,002756.SZ,815975.0,25700.0,0.19,0.01
015753.OF,20250829,20250630,688271.SH,834780.9,6535.0,0.19,0.0
015753.OF,20250829,20250630,000999.SZ,860856.88,27521.0,0.2,0.0
015753.OF,20250829,20250630,002884.SZ,891046.0,55900.0,0.21,0.02
015753.OF,20250829,20250630,300274.SZ,948780.0,14000.0,0.22,0.0
015753.OF,20250829,20250630,688036.SH,957834.6,12018.0,0.22,0.0
015753.OF,20250829,20250630,002444.SZ,977033.0,38300.0,0.23,0.0
015753.OF,20250829,20250630,002050.SZ,983974.0,37300.0,0.23,0.0
015753.OF,20250829,20250630,002032.SZ,1032083.0,19700.0,0.24,0.0
015753.OF,20250829,20250630,601211.SH,1055716.0,55100.0,0.25,0.0
015753.OF,20250829,20250630,600600.SH,1076630.0,15500.0,0.25,0.0
015753.OF,20250829,20250630,002415.SZ,1100881.0,39700.0,0.26,0.0
015753.OF,20250829,20250630,603893.SH,1108578.0,7300.0,0.26,0.0
015753.OF,20250829,20250630,002899.SZ,1113520.0,49600.0,0.26,0.03
015753.OF,20250829,20250630,688692.SH,1115341.56,5004.0,0.26,0.01
015753.OF,20250829,20250630,600276.SH,1115850.0,21500.0,0.26,0.0
015753.OF,20250829,20250630,300476.SZ,1128792.0,8400.0,0.26,0.0
015753.OF,20250829,20250630,688568.SH,1134315.0,31500.0,0.26,0.0
015753.OF,20250829,20250630,002991.SZ,1136954.0,18200.0,0.27,0.04
015753.OF,20250829,20250630,603317.SH,1188728.0,106900.0,0.28,0.01
015753.OF,20250829,20250630,688220.SH,1190551.5,15205.0,0.28,0.0
015753.OF,20250829,20250630,688192.SH,1234092.6,20637.0,0.29,0.01
015753.OF,20250829,20250630,601225.SH,1302548.0,67700.0,0.3,0.0
015753.OF,20250829,20250630,601857.SH,1312425.0,153500.0,0.31,0.0
015753.OF,20250829,20250630,600066.SH,1327524.0,53400.0,0.31,0.0
015753.OF,20250829,20250630,600176.SH,1397799.6,122614.0,0.33,0.0
015753.OF,20250829,20250630,603288.SH,1425351.12,36632.0,0.33,0.0
015753.OF,20250829,20250630,688981.SH,1495715.88,16964.0,0.35,0.0
015753.OF,20250829,20250630,600584.SH,1526157.0,45300.0,0.36,0.0
015753.OF,20250829,20250630,688617.SH,1556280.0,5240.0,0.36,0.0
015753.OF,20250829,20250630,601865.SH,1589445.0,104500.0,0.37,0.01
