ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
021969.OF,20260122,20251231,603259.SH,172216.0,1900.0,1.84,0.0
021969.OF,20260122,20251231,300628.SZ,210335.0,5900.0,2.25,0.0
021969.OF,20260122,20251231,000333.SZ,203190.0,2600.0,2.18,0.0
021969.OF,20260122,20251231,002532.SZ,171508.0,10600.0,1.84,0.0
021969.OF,20260122,20251231,002233.SZ,209032.0,23200.0,2.24,0.0
021969.OF,20260122,20251231,600938.SH,193152.0,6400.0,2.07,0.0
021969.OF,20260122,20251231,600873.SH,183353.0,18100.0,1.96,0.0
021969.OF,20260122,20251231,600660.SH,498729.0,7700.0,5.34,0.0
021969.OF,20260122,20251231,600519.SH,413154.0,300.0,4.42,0.0
021969.OF,20260122,20251231,000975.SZ,318723.0,13100.0,3.41,0.0
021969.OF,20251028,20250930,601939.SH,419307.0,48700.0,2.61,0.0
021969.OF,20251028,20250930,002540.SZ,417906.0,65400.0,2.6,0.01
021969.OF,20251028,20250930,601838.SH,458850.0,26600.0,2.86,0.0
021969.OF,20251028,20250930,601288.SH,427547.0,64100.0,2.66,0.0
021969.OF,20251028,20250930,601009.SH,442665.0,40500.0,2.76,0.0
021969.OF,20251028,20250930,601998.SH,410400.0,57000.0,2.55,0.0
021969.OF,20251028,20250930,601006.SH,436449.0,74100.0,2.72,0.0
021969.OF,20251028,20250930,600039.SH,408545.0,50500.0,2.54,0.0
021969.OF,20251028,20250930,600737.SH,558250.0,35000.0,3.48,0.0
021969.OF,20251028,20250930,600282.SH,462525.0,88100.0,2.88,0.0
021969.OF,20250830,20250630,600941.SH,191335.0,1700.0,1.3,0.0
021969.OF,20250830,20250630,601318.SH,210824.0,3800.0,1.44,0.0
021969.OF,20250830,20250630,600502.SH,212440.0,45200.0,1.45,0.0
021969.OF,20250830,20250630,600007.SH,214032.0,10400.0,1.46,0.0
021969.OF,20250830,20250630,605377.SH,217078.4,24640.0,1.48,0.0
021969.OF,20250830,20250630,600820.SH,217160.0,35600.0,1.48,0.0
021969.OF,20250830,20250630,601668.SH,220991.0,38300.0,1.51,0.0
021969.OF,20250830,20250630,001965.SZ,224400.0,18700.0,1.53,0.0
