ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
020199.OF,20240329,20231231,605499.SH,182.51,1.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,603119.SH,4296.6,180.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,688612.SH,7366.18,194.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,301393.SZ,7955.58,134.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,688603.SH,10379.6,140.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,688620.SH,12009.12,1016.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,688334.SH,15389.04,888.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,601096.SH,15907.08,3918.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,001376.SZ,17897.04,804.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,688548.SH,18755.25,1471.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,688268.SH,34970.22,519.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,002292.SZ,35000.0,4000.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,301487.SZ,35512.32,867.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,001358.SZ,41281.92,867.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,002436.SZ,57447.0,3900.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,300620.SZ,63420.0,1400.0,0.0,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,832419.BJ,76381.34,6706.0,0.01,0.01,2024Q1,020199.OF
020199.OF,20240329,20231231,688195.SH,82777.0,2300.0,0.01,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,300502.SZ,83844.0,1700.0,0.01,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,301520.SZ,87849.2,1596.0,0.01,0.01,2024Q1,020199.OF
020199.OF,20240329,20231231,301015.SZ,89650.0,2500.0,0.01,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,300308.SZ,90328.0,800.0,0.01,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,301517.SZ,100653.05,1841.0,0.01,0.01,2024Q1,020199.OF
020199.OF,20240329,20231231,688677.SH,106460.0,2000.0,0.01,0.0,2024Q1,020199.OF
020199.OF,20240329,20231231,301030.SZ,108420.0,2600.0,0.01,0.0,2024Q1,020199.OF
