ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
014058.OF,20240330,20231231,301486.SZ,22774.5,482.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688543.SH,22919.0,410.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688576.SH,23071.2,240.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688570.SH,24053.64,884.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688702.SH,26450.82,549.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,301348.SZ,27321.41,613.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,001358.SZ,41281.92,867.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,603296.SH,46105.75,593.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688548.SH,51612.0,4048.0,0.0,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688361.SH,61851.33,831.0,0.01,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688472.SH,79076.43,6261.0,0.01,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,300130.SZ,181500.0,7500.0,0.01,0.0,2024Q1,014058.OF
014058.OF,20240330,20231231,688347.SH,1813627.2,43120.0,0.15,0.04,2024Q1,014058.OF
014058.OF,20240330,20231231,603136.SH,2478094.63,134899.0,0.2,0.07,2024Q1,014058.OF
014058.OF,20240330,20231231,688281.SH,2723238.84,20074.0,0.22,0.06,2024Q1,014058.OF
014058.OF,20240330,20231231,603383.SH,3589040.0,72800.0,0.29,0.04,2024Q1,014058.OF
014058.OF,20240330,20231231,688563.SH,4226360.36,69074.0,0.34,0.1,2024Q1,014058.OF
014058.OF,20240330,20231231,601006.SH,6387339.0,885900.0,0.52,0.01,2024Q1,014058.OF
014058.OF,20240330,20231231,001979.SZ,6960712.0,730400.0,0.57,0.01,2024Q1,014058.OF
014058.OF,20240330,20231231,600188.SH,8048803.0,406300.0,0.66,0.01,2024Q1,014058.OF
014058.OF,20240330,20231231,603855.SH,8235396.2,412595.0,0.67,0.12,2024Q1,014058.OF
014058.OF,20240330,20231231,688331.SH,8936764.12,144002.0,0.73,0.09,2024Q1,014058.OF
