ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
016418.OF,20260122,20251231,300750.SZ,7896090.0,21500.0,9.84,0.0
016418.OF,20260122,20251231,300502.SZ,8026432.64,18628.0,10.01,0.0
016418.OF,20260122,20251231,300390.SZ,3587877.0,65700.0,4.47,0.01
016418.OF,20260122,20251231,300308.SZ,7686000.0,12600.0,9.58,0.0
016418.OF,20260122,20251231,688578.SH,3875525.65,37211.0,4.83,0.01
016418.OF,20260122,20251231,688169.SH,7056952.54,46409.0,8.8,0.02
016418.OF,20260122,20251231,3690.HK,7027833.7,75323.0,8.76,
016418.OF,20260122,20251231,2899.HK,5365700.4,166591.0,6.69,0.0
016418.OF,20260122,20251231,3993.HK,5300657.92,305022.0,6.61,0.01
016418.OF,20260122,20251231,0700.HK,3246172.68,6000.0,4.05,
016418.OF,20251028,20250930,603993.SH,2574219.1,163963.0,2.91,0.0
016418.OF,20251028,20250930,300308.SZ,3713856.0,9200.0,4.2,0.0
016418.OF,20251028,20250930,601899.SH,2177529.6,73965.0,2.47,0.0
016418.OF,20251028,20250930,688213.SH,4275460.8,35880.0,4.84,0.01
016418.OF,20251028,20250930,688578.SH,3287577.28,29822.0,3.72,0.01
016418.OF,20251028,20250930,688169.SH,6834422.62,32579.0,7.74,0.01
016418.OF,20251028,20250930,3690.HK,4541345.12,47600.0,5.14,
016418.OF,20251028,20250930,2899.HK,5535945.53,186000.0,6.27,0.0
016418.OF,20251028,20250930,3993.HK,687583.5,48000.0,0.78,0.0
016418.OF,20251028,20250930,9992.HK,4871661.28,20000.0,5.51,
016418.OF,20251028,20250930,300750.SZ,9286200.0,23100.0,10.51,0.0
016418.OF,20251028,20250930,300502.SZ,6484370.56,17728.0,7.34,0.0
016418.OF,20250829,20250630,000880.SZ,23183.66,613.0,0.03,0.0
016418.OF,20250829,20250630,002353.SZ,30310.0,866.0,0.04,0.0
016418.OF,20250829,20250630,000888.SZ,50714.42,3607.0,0.07,0.0
016418.OF,20250829,20250630,601689.SH,58590.0,1240.0,0.08,0.0
016418.OF,20250829,20250630,601100.SH,68544.0,952.0,0.09,0.0
016418.OF,20250829,20250630,600761.SH,78410.8,4420.0,0.1,0.0
016418.OF,20250829,20250630,300765.SZ,98211.0,1900.0,0.13,0.0
016418.OF,20250829,20250630,002028.SZ,111552.3,1530.0,0.15,0.0
016418.OF,20250829,20250630,601009.SH,131306.0,11300.0,0.17,0.0
016418.OF,20250829,20250630,600489.SH,181412.0,12400.0,0.24,0.0
016418.OF,20250829,20250630,603993.SH,213556.46,25363.0,0.28,0.0
016418.OF,20250829,20250630,300408.SZ,227120.0,6800.0,0.3,0.0
016418.OF,20250829,20250630,600150.SH,234288.0,7200.0,0.31,0.0
016418.OF,20250829,20250630,002850.SZ,237657.0,2100.0,0.31,0.0
016418.OF,20250829,20250630,002050.SZ,274352.0,10400.0,0.36,0.0
016418.OF,20250829,20250630,688617.SH,277101.0,933.0,0.36,0.0
016418.OF,20250829,20250630,688775.SH,298138.8,1770.0,0.39,0.01
016418.OF,20250829,20250630,2367.HK,536719.05,10200.0,0.71,
016418.OF,20250829,20250630,603979.SH,613008.0,13200.0,0.81,0.0
016418.OF,20250829,20250630,002475.SZ,614013.0,17700.0,0.81,0.0
016418.OF,20250829,20250630,1801.HK,679220.36,9500.0,0.89,
016418.OF,20250829,20250630,600660.SH,741130.0,13000.0,0.98,0.0
016418.OF,20250829,20250630,601058.SH,755712.0,57600.0,0.99,0.0
016418.OF,20250829,20250630,603893.SH,795746.4,5240.0,1.05,0.0
016418.OF,20250829,20250630,603063.SH,893904.0,26400.0,1.18,0.01
016418.OF,20250829,20250630,1318.HK,1046900.36,10600.0,1.38,
016418.OF,20250829,20250630,002594.SZ,1072401.21,3231.0,1.41,0.0
016418.OF,20250829,20250630,688382.SH,1111777.5,33875.0,1.46,0.01
016418.OF,20250829,20250630,300476.SZ,1174749.96,8742.0,1.55,0.0
016418.OF,20250829,20250630,000333.SZ,1270720.0,17600.0,1.67,0.0
016418.OF,20250829,20250630,603699.SH,1299789.0,41700.0,1.71,0.01
016418.OF,20250829,20250630,002142.SZ,1372268.16,50156.0,1.81,0.0
016418.OF,20250829,20250630,688266.SH,1461813.47,13597.0,1.92,0.01
016418.OF,20250829,20250630,688213.SH,1470639.14,14387.0,1.94,0.0
016418.OF,20250829,20250630,0700.HK,2018327.74,4400.0,2.66,
016418.OF,20250829,20250630,688608.SH,2237859.38,6431.0,2.95,0.01
016418.OF,20250829,20250630,2899.HK,877660.68,48000.0,1.16,0.0
016418.OF,20250829,20250630,601899.SH,1442317.5,73965.0,1.9,0.0
016418.OF,20250829,20250630,002779.SZ,2381091.18,31634.0,3.13,0.02
016418.OF,20250829,20250630,688041.SH,2612875.97,18493.0,3.44,0.0
016418.OF,20250829,20250630,9988.HK,2663514.13,26600.0,3.51,
016418.OF,20250829,20250630,3690.HK,2696709.11,23600.0,3.55,
016418.OF,20250721,20250630,300750.SZ,4035520.0,16000.0,5.31,0.0
016418.OF,20250721,20250630,603179.SH,2766533.0,58900.0,3.64,0.01
016418.OF,20250721,20250630,603986.SH,4624165.38,36546.0,6.09,0.01
016418.OF,20250721,20250630,002126.SZ,2835904.0,116800.0,3.73,0.01
016418.OF,20250721,20250630,688578.SH,2909826.0,31275.0,3.83,0.01
016418.OF,20250721,20250630,688256.SH,3678774.0,6116.0,4.84,0.0
016418.OF,20250721,20250630,688169.SH,2879580.7,18394.0,3.79,0.01
016418.OF,20250721,20250630,1810.HK,5499943.09,100600.0,7.24,
016418.OF,20250721,20250630,9992.HK,4862517.4,20000.0,6.4,
016418.OF,20250721,20250630,0981.HK,5442016.03,133500.0,7.16,0.0
016418.OF,20250422,20250331,603893.SH,2427933.0,14010.0,3.12,0.0
016418.OF,20250422,20250331,002779.SZ,2490217.6,25792.0,3.2,0.02
016418.OF,20250422,20250331,003021.SZ,2492685.0,19500.0,3.2,0.01
016418.OF,20250422,20250331,9992.HK,2888457.9,20000.0,3.71,
016418.OF,20250422,20250331,300476.SZ,2967720.34,36634.0,3.81,0.0
016418.OF,20250422,20250331,9988.HK,2976680.45,25200.0,3.83,
016418.OF,20250422,20250331,300502.SZ,4699948.0,47900.0,6.04,0.01
016418.OF,20250422,20250331,1810.HK,4712855.9,103800.0,6.06,
016418.OF,20250422,20250331,688256.SH,5730354.0,9198.0,7.36,0.0
016418.OF,20250422,20250331,0981.HK,6764251.62,159000.0,8.69,0.0
016418.OF,20250331,20241231,001696.SZ,1342110.0,53900.0,2.15,0.01
016418.OF,20250331,20241231,000063.SZ,1393800.0,34500.0,2.23,0.0
016418.OF,20250331,20241231,688608.SH,1450499.46,4458.0,2.32,0.0
016418.OF,20250331,20241231,688355.SH,50.25,3.0,0.0,0.0
016418.OF,20250331,20241231,688800.SH,651.43,13.0,0.0,0.0
