ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
014453.OF,20240329,20231231,603276.SH,3333.92,134.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,603075.SH,4242.42,182.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,603193.SH,5047.98,303.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,603119.SH,5394.62,226.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,603270.SH,5768.1,195.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301515.SZ,6502.1,230.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301529.SZ,6894.16,182.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301505.SZ,6947.14,194.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301295.SZ,7135.85,215.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688429.SH,7331.74,346.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301533.SZ,7461.0,225.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301170.SZ,7607.5,250.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688693.SH,7726.98,178.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688479.SH,7742.24,332.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688646.SH,7899.33,219.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688657.SH,7901.23,101.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,300804.SZ,7931.02,257.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301232.SZ,8000.85,165.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301548.SZ,8022.64,136.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301517.SZ,8082.65,185.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688651.SH,8196.9,178.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301489.SZ,8206.08,128.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688720.SH,8223.6,165.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301323.SZ,8433.72,228.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301520.SZ,8438.4,160.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301355.SZ,8529.45,563.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301518.SZ,8858.85,385.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301519.SZ,8932.82,442.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301500.SZ,9504.95,455.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688716.SH,9716.13,267.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301395.SZ,9718.8,520.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301376.SZ,10046.4,420.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301329.SZ,10181.34,458.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301528.SZ,10198.68,148.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688653.SH,10361.52,648.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688603.SH,10379.6,140.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301499.SZ,10733.03,371.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301251.SZ,11103.39,321.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301202.SZ,11465.82,360.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688719.SH,11659.4,194.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688602.SH,11789.96,1066.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,688631.SH,11844.0,336.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301320.SZ,11857.74,642.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301225.SZ,11921.4,333.0,0.0,0.0,2024Q1,014453.OF
014453.OF,20240329,20231231,301315.SZ,11946.36,226.0,0.0,0.0,2024Q1,014453.OF
