ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
019184.OF,20240329,20231231,000968.SZ,133668.0,18800.0,1.16,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,300002.SZ,140715.0,15900.0,1.22,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,002739.SZ,156240.0,12000.0,1.35,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,688613.SH,205615.62,9237.0,1.78,0.01,2024Q1,019184.OF
019184.OF,20240329,20231231,688566.SH,212573.08,6772.0,1.84,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,002262.SZ,222384.0,8200.0,1.92,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,600557.SH,227772.0,11100.0,1.97,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,600258.SH,282722.0,18100.0,2.45,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,600511.SH,286200.0,10000.0,2.48,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,600508.SH,286902.0,20700.0,2.48,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,000651.SZ,299181.0,9300.0,2.59,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,600028.SH,302436.0,54200.0,2.62,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,002422.SZ,339885.0,11700.0,2.94,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,603993.SH,340600.0,65500.0,2.95,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,600707.SH,342900.0,50800.0,2.97,0.0,2024Q1,019184.OF
019184.OF,20240329,20231231,601377.SH,349265.0,59500.0,3.02,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,300592.SZ,359165.0,14500.0,3.11,0.01,2024Q1,019184.OF
019184.OF,20240119,20231231,601225.SH,770841.0,36900.0,6.67,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,002419.SZ,530327.0,95900.0,4.59,0.01,2024Q1,019184.OF
019184.OF,20240119,20231231,601288.SH,425880.0,117000.0,3.69,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,601088.SH,730455.0,23300.0,6.32,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,601872.SH,712656.0,121200.0,6.17,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,601666.SH,612680.0,53000.0,5.3,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,601001.SH,579510.0,47000.0,5.02,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,000100.SZ,1407562.0,327340.0,12.18,0.0,2024Q1,019184.OF
019184.OF,20240119,20231231,000725.SZ,1296750.0,332500.0,11.22,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,601939.SH,556920.0,88400.0,3.27,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,002422.SZ,909480.0,31200.0,5.34,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,601117.SH,598282.0,76900.0,3.51,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,601766.SH,671016.0,114900.0,3.94,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,002419.SZ,968440.0,170500.0,5.69,0.01,2024Q1,019184.OF
019184.OF,20231025,20230930,601288.SH,1046520.0,290700.0,6.15,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,601088.SH,617760.0,19800.0,3.63,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,601872.SH,1039088.0,161600.0,6.1,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,000100.SZ,1780675.2,436440.0,10.46,0.0,2024Q1,019184.OF
019184.OF,20231025,20230930,000725.SZ,1711524.0,443400.0,10.05,0.0,2024Q1,019184.OF
019184.OF,20240419,20240331,601225.SH,838006.0,33400.0,7.41,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,002419.SZ,460512.0,86400.0,4.07,0.01,2024Q2,019184.OF
019184.OF,20240419,20240331,601288.SH,592200.0,140000.0,5.23,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,601088.SH,867798.0,22200.0,7.67,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,601872.SH,868436.0,109100.0,7.67,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,601666.SH,620862.0,50600.0,5.49,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,601001.SH,650997.0,42300.0,5.75,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,000100.SZ,1375968.8,294640.0,12.16,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,600028.SH,512478.0,80200.0,4.53,0.0,2024Q2,019184.OF
019184.OF,20240419,20240331,000725.SZ,1336958.0,329300.0,11.82,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,000968.SZ,133668.0,18800.0,1.16,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,300002.SZ,140715.0,15900.0,1.22,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,002739.SZ,156240.0,12000.0,1.35,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,688613.SH,205615.62,9237.0,1.78,0.01,2024Q2,019184.OF
019184.OF,20240329,20231231,688566.SH,212573.08,6772.0,1.84,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,002262.SZ,222384.0,8200.0,1.92,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,600557.SH,227772.0,11100.0,1.97,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,600258.SH,282722.0,18100.0,2.45,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,600511.SH,286200.0,10000.0,2.48,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,600508.SH,286902.0,20700.0,2.48,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,000651.SZ,299181.0,9300.0,2.59,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,600028.SH,302436.0,54200.0,2.62,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,002422.SZ,339885.0,11700.0,2.94,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,603993.SH,340600.0,65500.0,2.95,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,600707.SH,342900.0,50800.0,2.97,0.0,2024Q2,019184.OF
019184.OF,20240329,20231231,601377.SH,349265.0,59500.0,3.02,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,300592.SZ,359165.0,14500.0,3.11,0.01,2024Q2,019184.OF
019184.OF,20240119,20231231,601225.SH,770841.0,36900.0,6.67,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,002419.SZ,530327.0,95900.0,4.59,0.01,2024Q2,019184.OF
019184.OF,20240119,20231231,601288.SH,425880.0,117000.0,3.69,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,601088.SH,730455.0,23300.0,6.32,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,601872.SH,712656.0,121200.0,6.17,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,601666.SH,612680.0,53000.0,5.3,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,601001.SH,579510.0,47000.0,5.02,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,000100.SZ,1407562.0,327340.0,12.18,0.0,2024Q2,019184.OF
019184.OF,20240119,20231231,000725.SZ,1296750.0,332500.0,11.22,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,601939.SH,556920.0,88400.0,3.27,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,002422.SZ,909480.0,31200.0,5.34,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,601117.SH,598282.0,76900.0,3.51,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,601766.SH,671016.0,114900.0,3.94,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,002419.SZ,968440.0,170500.0,5.69,0.01,2024Q2,019184.OF
019184.OF,20231025,20230930,601288.SH,1046520.0,290700.0,6.15,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,601088.SH,617760.0,19800.0,3.63,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,601872.SH,1039088.0,161600.0,6.1,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,000100.SZ,1780675.2,436440.0,10.46,0.0,2024Q2,019184.OF
019184.OF,20231025,20230930,000725.SZ,1711524.0,443400.0,10.05,0.0,2024Q2,019184.OF
019184.OF,20240830,20240630,600557.SH,157000.0,10000.0,1.04,0.0,2024Q3,019184.OF
019184.OF,20240830,20240630,000408.SZ,308096.0,12800.0,2.04,0.0,2024Q3,019184.OF
019184.OF,20240830,20240630,002215.SZ,312900.0,42000.0,2.07,0.01,2024Q3,019184.OF
019184.OF,20240830,20240630,002422.SZ,321498.0,10600.0,2.13,0.0,2024Q3,019184.OF
