ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
019205.OF,20240328,20231231,301316.SZ,8924.16,384.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301282.SZ,9146.34,366.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,001333.SZ,9431.64,426.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301313.SZ,9519.84,264.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301283.SZ,9666.72,294.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301300.SZ,9710.41,307.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301125.SZ,9800.56,518.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301359.SZ,9872.31,371.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301171.SZ,10260.63,519.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301285.SZ,10275.14,643.0,0.0,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301298.SZ,10880.0,640.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301152.SZ,11083.74,303.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301328.SZ,11309.76,231.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301318.SZ,11685.3,330.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301270.SZ,11726.25,295.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301327.SZ,11994.8,157.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301277.SZ,13214.35,635.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301339.SZ,13399.52,664.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301132.SZ,13551.12,472.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301361.SZ,13564.96,569.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301377.SZ,14473.8,612.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301112.SZ,14505.48,484.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301363.SZ,14646.4,398.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301338.SZ,15375.0,375.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301368.SZ,15886.18,337.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301302.SZ,16145.73,643.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301267.SZ,17553.23,547.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301160.SZ,17652.14,418.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301238.SZ,19581.01,1117.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301175.SZ,21871.17,4383.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,601022.SH,21991.47,1983.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301095.SZ,22045.35,295.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301367.SZ,23497.75,193.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301286.SZ,24381.34,839.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301266.SZ,28626.29,517.0,0.01,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301269.SZ,37682.6,356.0,0.02,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301239.SZ,39044.0,454.0,0.02,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,688420.SH,53333.76,2064.0,0.02,0.01,2024Q1,019205.OF
019205.OF,20240328,20231231,688503.SH,71502.4,1334.0,0.03,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301290.SZ,87156.81,3159.0,0.04,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,688143.SH,89046.65,2519.0,0.04,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,688141.SH,96284.46,3481.0,0.04,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,601059.SH,101247.72,5628.0,0.05,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,688084.SH,105379.7,1406.0,0.05,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,301398.SZ,125640.21,2549.0,0.06,0.01,2024Q1,019205.OF
019205.OF,20240328,20231231,600482.SH,149483.0,8300.0,0.07,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,688496.SH,231960.4,10360.0,0.11,0.0,2024Q1,019205.OF
019205.OF,20240328,20231231,688631.SH,762069.75,21619.0,0.35,0.06,2024Q1,019205.OF
019205.OF,20240328,20231231,301517.SZ,961480.0,17200.0,0.44,0.08,2024Q1,019205.OF
019205.OF,20240328,20231231,688568.SH,1133629.42,23107.0,0.52,0.01,2024Q1,019205.OF
