ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
019201.OF,20260122,20251231,603260.SH,7235710.0,137300.0,5.1,0.01
019201.OF,20260122,20251231,300699.SZ,15100552.8,382680.0,10.65,0.05
019201.OF,20260122,20251231,603092.SH,11356082.31,181730.0,8.01,0.54
019201.OF,20260122,20251231,688472.SH,7041948.27,472297.0,4.97,0.04
019201.OF,20260122,20251231,688269.SH,8997688.86,224886.0,6.35,0.17
019201.OF,20260122,20251231,300919.SZ,6685419.0,144300.0,4.71,0.02
019201.OF,20260122,20251231,002025.SZ,10893249.0,217300.0,7.68,0.05
019201.OF,20260122,20251231,600732.SH,11132720.0,830800.0,7.85,0.05
019201.OF,20260122,20251231,000792.SZ,13423872.0,476700.0,9.47,0.01
019201.OF,20260122,20251231,000762.SZ,6165569.0,234700.0,4.35,0.05
019201.OF,20251028,20250930,601865.SH,5951250.0,345000.0,4.37,0.02
019201.OF,20251028,20250930,300699.SZ,11614338.0,382680.0,8.53,0.05
019201.OF,20251028,20250930,601636.SH,6077152.0,846400.0,4.46,0.03
019201.OF,20251028,20250930,688717.SH,6616381.2,77114.0,4.86,0.08
019201.OF,20251028,20250930,688472.SH,6347671.68,472297.0,4.66,0.03
019201.OF,20251028,20250930,688269.SH,7334310.7,179323.0,5.39,0.14
019201.OF,20251028,20250930,605117.SH,6614055.0,81655.0,4.86,0.01
019201.OF,20251028,20250930,600732.SH,10519692.0,636400.0,7.73,0.04
019201.OF,20251028,20250930,000792.SZ,11897010.0,570600.0,8.74,0.01
019201.OF,20251028,20250930,000629.SZ,5892251.0,1919300.0,4.33,0.02
019201.OF,20250829,20250630,603382.SH,2216.61,99.0,0.0,0.0
019201.OF,20250829,20250630,603257.SH,2360.61,63.0,0.0,0.0
019201.OF,20250829,20250630,001390.SZ,2464.32,136.0,0.0,0.0
019201.OF,20250829,20250630,603014.SH,2581.72,79.0,0.0,0.0
019201.OF,20250829,20250630,301560.SZ,4666.5,170.0,0.0,0.0
019201.OF,20250829,20250630,301636.SZ,4793.46,101.0,0.01,0.0
019201.OF,20250829,20250630,301595.SZ,5325.3,183.0,0.01,0.0
