ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
017941.OF,20260121,20251231,300747.SZ,282725258.52,10459684.0,9.8,2.05
017941.OF,20260121,20251231,300395.SZ,181618225.0,1810750.0,6.29,0.35
017941.OF,20260121,20251231,688282.SH,132447728.5,2085791.0,4.59,2.37
017941.OF,20260121,20251231,688385.SH,224865627.8,3051094.0,7.79,0.57
017941.OF,20260121,20251231,600562.SH,284054824.8,10051480.0,9.84,0.81
017941.OF,20260121,20251231,600760.SH,285459918.15,5083881.0,9.89,0.18
017941.OF,20260121,20251231,600685.SH,168348323.0,5917340.0,5.83,0.72
017941.OF,20260121,20251231,000768.SZ,238662835.02,9403579.0,8.27,0.34
017941.OF,20260121,20251231,000738.SZ,127138869.6,5966160.0,4.41,0.45
017941.OF,20260121,20251231,000519.SZ,126037619.61,6921341.0,4.37,0.5
017941.OF,20251027,20250930,300747.SZ,329332084.5,12334535.0,8.56,2.42
017941.OF,20251027,20250930,688385.SH,185700163.35,2786199.0,4.83,0.52
017941.OF,20251027,20250930,605123.SH,163728064.2,2239782.0,4.26,1.85
017941.OF,20251027,20250930,600435.SH,317644562.0,21289850.0,8.26,1.41
017941.OF,20251027,20250930,600562.SH,327471191.6,9513980.0,8.51,0.77
017941.OF,20251027,20250930,600862.SH,269029728.33,11356257.0,6.99,0.82
017941.OF,20251027,20250930,600765.SH,327984720.12,20171262.0,8.53,1.29
017941.OF,20251027,20250930,600760.SH,401808472.23,5593881.0,10.45,0.2
017941.OF,20251027,20250930,600685.SH,176047581.6,6427440.0,4.58,0.78
017941.OF,20251027,20250930,000768.SZ,285992967.73,10643579.0,7.43,0.38
017941.OF,20250829,20250630,603120.SH,2172.95,65.0,0.0,0.0
017941.OF,20250829,20250630,603382.SH,2350.95,105.0,0.0,0.0
017941.OF,20250829,20250630,001390.SZ,3225.36,178.0,0.0,0.0
017941.OF,20250829,20250630,603210.SH,4464.46,286.0,0.0,0.0
017941.OF,20250829,20250630,301560.SZ,5215.5,190.0,0.0,0.0
017941.OF,20250829,20250630,301595.SZ,5703.6,196.0,0.0,0.0
017941.OF,20250829,20250630,301636.SZ,6074.88,128.0,0.0,0.0
017941.OF,20250829,20250630,603014.SH,6699.4,205.0,0.0,0.0
017941.OF,20250829,20250630,688755.SH,7983.99,203.0,0.0,0.0
017941.OF,20250829,20250630,301665.SZ,8799.27,393.0,0.0,0.0
017941.OF,20250829,20250630,301590.SZ,10182.04,73.0,0.0,0.0
017941.OF,20250829,20250630,301662.SZ,11797.5,143.0,0.0,0.0
017941.OF,20250829,20250630,301678.SZ,17014.28,382.0,0.0,0.0
017941.OF,20250829,20250630,603049.SH,31023.4,724.0,0.0,0.0
017941.OF,20250829,20250630,603400.SH,31875.73,569.0,0.0,0.0
017941.OF,20250829,20250630,688709.SH,34213.3,1045.0,0.0,0.0
017941.OF,20250829,20250630,301526.SZ,35391.72,9723.0,0.0,0.0
017941.OF,20250829,20250630,688775.SH,71143.68,573.0,0.0,0.0
017941.OF,20250829,20250630,003031.SZ,74494.0,1400.0,0.0,0.0
017941.OF,20250829,20250630,688281.SH,84714.0,1400.0,0.0,0.0
017941.OF,20250829,20250630,688586.SH,112500.0,10000.0,0.0,0.0
017941.OF,20250829,20250630,600372.SH,120600.0,10000.0,0.0,0.0
017941.OF,20250829,20250630,300593.SZ,134000.0,10000.0,0.0,0.0
017941.OF,20250829,20250630,600416.SH,134400.0,10000.0,0.0,0.0
017941.OF,20250829,20250630,000801.SZ,156200.0,10000.0,0.0,0.0
017941.OF,20250829,20250630,600967.SH,193500.0,10000.0,0.0,0.0
017941.OF,20250829,20250630,300719.SZ,194500.0,10000.0,0.0,0.01
017941.OF,20250829,20250630,688510.SH,241800.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,002935.SZ,249600.0,15600.0,0.01,0.0
017941.OF,20250829,20250630,300775.SZ,268600.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,600391.SH,292000.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,300516.SZ,378300.0,10000.0,0.01,0.01
017941.OF,20250829,20250630,600893.SH,385400.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,600038.SH,388100.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,300354.SZ,388800.0,10000.0,0.01,0.01
017941.OF,20250829,20250630,688143.SH,390000.0,10000.0,0.01,0.01
017941.OF,20250829,20250630,002625.SZ,399800.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,002179.SZ,403600.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,688239.SH,454740.0,13000.0,0.01,0.01
017941.OF,20250829,20250630,000733.SZ,500500.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,688122.SH,518800.0,10000.0,0.01,0.0
017941.OF,20250829,20250630,688568.SH,536549.0,14900.0,0.01,0.0
017941.OF,20250829,20250630,688563.SH,566300.0,10000.0,0.01,0.01
017941.OF,20250829,20250630,688439.SH,582500.0,10000.0,0.01,0.01
017941.OF,20250829,20250630,002025.SZ,632343.0,12300.0,0.02,0.0
017941.OF,20250829,20250630,688582.SH,672000.0,10000.0,0.02,0.0
017941.OF,20250829,20250630,688708.SH,1105800.0,20000.0,0.03,0.05
017941.OF,20250829,20250630,300747.SZ,2368000.0,100000.0,0.06,0.02
017941.OF,20250829,20250630,600482.SH,8977529.01,389143.0,0.22,0.02
017941.OF,20250829,20250630,603267.SH,9963514.0,198200.0,0.25,0.09
017941.OF,20250829,20250630,688375.SH,10801800.0,180000.0,0.27,0.07
017941.OF,20250829,20250630,301586.SZ,11399145.0,199985.0,0.28,0.96
017941.OF,20250829,20250630,600685.SH,13087933.69,481351.0,0.32,0.06
017941.OF,20250829,20250630,301571.SZ,14529200.0,280000.0,0.36,0.78
017941.OF,20250829,20250630,302132.SZ,18467400.0,210000.0,0.46,0.04
017941.OF,20250829,20250630,600764.SH,20740000.0,610000.0,0.51,0.09
017941.OF,20250829,20250630,000738.SZ,36251204.5,1747046.0,0.9,0.13
017941.OF,20250829,20250630,600150.SH,37850528.0,1163200.0,0.94,0.03
017941.OF,20250829,20250630,300855.SZ,40007448.22,1682399.0,0.99,0.57
017941.OF,20250829,20250630,600316.SH,41813070.0,1109100.0,1.04,0.15
017941.OF,20250829,20250630,688552.SH,44204874.74,1107614.0,1.1,1.28
017941.OF,20250829,20250630,300699.SZ,44703471.8,1411540.0,1.11,0.17
017941.OF,20250829,20250630,688385.SH,50833041.48,1031724.0,1.26,0.19
017941.OF,20250829,20250630,688776.SH,51283426.68,486191.0,1.27,0.45
017941.OF,20250829,20250630,603678.SH,52308249.41,1375447.0,1.3,0.29
017941.OF,20250829,20250630,688282.SH,61886980.2,1299055.0,1.53,3.56
017941.OF,20250829,20250630,600990.SH,72267492.0,2577300.0,1.79,0.96
017941.OF,20250829,20250630,300900.SZ,93855075.21,3867123.0,2.33,1.76
017941.OF,20250829,20250630,600879.SH,97204527.0,9284100.0,2.41,0.28
017941.OF,20250829,20250630,002389.SZ,144998400.0,5664000.0,3.59,0.57
017941.OF,20250829,20250630,600184.SH,152256631.56,8670651.0,3.77,1.7
017941.OF,20250718,20250630,605123.SH,164289697.8,2108982.0,4.07,1.74
017941.OF,20250718,20250630,000519.SZ,168771900.0,7710000.0,4.18,0.55
017941.OF,20250718,20250630,600862.SH,246274926.56,9443057.0,6.1,0.68
017941.OF,20250718,20250630,000768.SZ,277150473.86,10137179.0,6.87,0.37
017941.OF,20250718,20250630,600765.SH,282808566.56,16754062.0,7.01,1.14
017941.OF,20250718,20250630,300395.SZ,301099085.0,5892350.0,7.46,1.15
017941.OF,20250718,20250630,600562.SH,319355205.2,10141480.0,7.91,0.82
017941.OF,20250718,20250630,002149.SZ,345347421.75,17397855.0,8.56,3.56
017941.OF,20250718,20250630,600435.SH,382359560.5,24525950.0,9.47,1.62
017941.OF,20250718,20250630,600760.SH,406024336.98,6926379.0,10.06,0.25
017941.OF,20250419,20250331,300395.SZ,237372096.5,5309150.0,8.53,1.03
017941.OF,20250419,20250331,002149.SZ,235333347.87,11760787.0,8.45,2.41
017941.OF,20250419,20250331,002389.SZ,104036400.0,5130000.0,3.74,0.52
017941.OF,20250419,20250331,600435.SH,238773595.5,21925950.0,8.58,1.45
017941.OF,20250419,20250331,600862.SH,225028048.31,9443057.0,8.08,0.68
017941.OF,20250419,20250331,600765.SH,215230526.48,13418362.0,7.73,0.91
017941.OF,20250419,20250331,600760.SH,271838372.12,6429479.0,9.76,0.23
017941.OF,20250419,20250331,000768.SZ,239744283.35,10137179.0,8.61,0.37
017941.OF,20250419,20250331,000738.SZ,179663544.06,9401546.0,6.45,0.71
017941.OF,20250419,20250331,000519.SZ,104265900.0,6210000.0,3.75,0.45
017941.OF,20250329,20241231,001387.SZ,2399.51,173.0,0.0,0.0
017941.OF,20250329,20241231,603373.SH,2630.32,88.0,0.0,0.0
017941.OF,20250329,20241231,603231.SH,2635.57,161.0,0.0,0.0
017941.OF,20250329,20241231,603375.SH,2692.08,72.0,0.0,0.0
017941.OF,20250329,20241231,001358.SZ,2718.16,122.0,0.0,0.0
017941.OF,20250329,20241231,001239.SZ,2772.63,189.0,0.0,0.0
017941.OF,20250329,20241231,001326.SZ,3344.22,99.0,0.0,0.0
017941.OF,20250329,20241231,001306.SZ,3596.8,64.0,0.0,0.0
017941.OF,20250329,20241231,603082.SH,3627.3,107.0,0.0,0.0
017941.OF,20250329,20241231,603312.SH,4196.4,130.0,0.0,0.0
017941.OF,20250329,20241231,603344.SH,4446.26,182.0,0.0,0.0
017941.OF,20250329,20241231,001359.SZ,4767.44,184.0,0.0,0.0
017941.OF,20250329,20241231,001379.SZ,4867.05,213.0,0.0,0.0
017941.OF,20250329,20241231,301588.SZ,5201.68,257.0,0.0,0.0
017941.OF,20250329,20241231,603325.SH,5221.26,66.0,0.0,0.0
017941.OF,20250329,20241231,688695.SH,5656.26,186.0,0.0,0.0
017941.OF,20250329,20241231,301502.SZ,5947.8,138.0,0.0,0.0
017941.OF,20250329,20241231,688720.SH,6527.4,165.0,0.0,0.0
017941.OF,20250329,20241231,301539.SZ,6682.11,361.0,0.0,0.0
017941.OF,20250329,20241231,688648.SH,7056.87,303.0,0.0,0.0
017941.OF,20250329,20241231,301587.SZ,7191.0,306.0,0.0,0.0
017941.OF,20250329,20241231,301578.SZ,7522.9,154.0,0.0,0.0
017941.OF,20250329,20241231,688653.SH,8229.6,648.0,0.0,0.0
017941.OF,20250329,20241231,301568.SZ,8364.0,246.0,0.0,0.0
017941.OF,20250329,20241231,301591.SZ,8385.51,219.0,0.0,0.0
017941.OF,20250329,20241231,301459.SZ,8426.08,208.0,0.0,0.0
017941.OF,20250329,20241231,301566.SZ,9469.44,576.0,0.0,0.0
017941.OF,20250329,20241231,001389.SZ,11166.6,222.0,0.0,0.0
017941.OF,20250329,20241231,301413.SZ,11397.63,213.0,0.0,0.0
017941.OF,20250329,20241231,301538.SZ,11560.5,150.0,0.0,0.0
017941.OF,20250329,20241231,301516.SZ,11657.2,604.0,0.0,0.0
017941.OF,20250329,20241231,601083.SH,12023.76,1263.0,0.0,0.0
017941.OF,20250329,20241231,603341.SH,13931.5,298.0,0.0,0.0
017941.OF,20250329,20241231,688584.SH,16938.96,866.0,0.0,0.0
017941.OF,20250329,20241231,601033.SH,18190.68,1258.0,0.0,0.0
017941.OF,20250329,20241231,688691.SH,19019.0,247.0,0.0,0.0
017941.OF,20250329,20241231,688652.SH,20425.6,416.0,0.0,0.0
017941.OF,20250329,20241231,688709.SH,32269.6,1045.0,0.0,0.0
017941.OF,20250329,20241231,301526.SZ,35975.1,9723.0,0.0,0.0
017941.OF,20250329,20241231,301536.SZ,38431.9,481.0,0.0,0.0
017941.OF,20250329,20241231,302132.SZ,71780.0,1000.0,0.0,0.0
017941.OF,20250329,20241231,003031.SZ,73346.0,1400.0,0.0,0.0
017941.OF,20250329,20241231,600967.SH,85000.0,10000.0,0.0,0.0
017941.OF,20250329,20241231,688281.SH,93100.0,1000.0,0.0,0.0
017941.OF,20250329,20241231,688586.SH,95700.0,10000.0,0.0,0.0
017941.OF,20250329,20241231,300593.SZ,112000.0,10000.0,0.0,0.0
017941.OF,20250329,20241231,600416.SH,112900.0,10000.0,0.0,0.0
017941.OF,20250329,20241231,600372.SH,123300.0,10000.0,0.0,0.0
017941.OF,20250329,20241231,000519.SZ,144500.0,10000.0,0.0,0.0
017941.OF,20250329,20241231,688552.SH,167000.0,10000.0,0.01,0.01
017941.OF,20250329,20241231,300719.SZ,179100.0,10000.0,0.01,0.01
017941.OF,20250329,20241231,600391.SH,198500.0,10000.0,0.01,0.0
017941.OF,20250329,20241231,300775.SZ,249300.0,10000.0,0.01,0.0
017941.OF,20250329,20241231,002935.SZ,251160.0,15600.0,0.01,0.0
017941.OF,20250329,20241231,600316.SH,321200.0,10000.0,0.01,0.0
017941.OF,20250329,20241231,300516.SZ,338300.0,10000.0,0.01,0.01
017941.OF,20250329,20241231,600990.SH,359632.0,16900.0,0.01,0.01
017941.OF,20250329,20241231,600150.SH,362261.04,10074.0,0.01,0.0
017941.OF,20250329,20241231,688239.SH,373000.0,10000.0,0.01,0.01
017941.OF,20250329,20241231,300395.SZ,376100.0,10000.0,0.01,0.0
017941.OF,20250329,20241231,688385.SH,383900.0,10000.0,0.01,0.0
