ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
014960.OF,20260122,20251231,688111.SH,14296257.99,46557.0,3.89,0.01
014960.OF,20260122,20251231,603556.SH,8928920.0,245300.0,2.43,0.05
014960.OF,20260122,20251231,002568.SZ,22717208.76,1041596.0,6.18,0.14
014960.OF,20260122,20251231,002511.SZ,13336480.0,1558000.0,3.63,0.12
014960.OF,20260122,20251231,300003.SZ,8815656.0,557600.0,2.4,0.04
014960.OF,20260122,20251231,002126.SZ,10444140.0,276300.0,2.84,0.03
014960.OF,20260122,20251231,688031.SH,8601105.0,79500.0,2.34,0.08
014960.OF,20260122,20251231,301162.SZ,6873966.0,134100.0,1.87,0.16
014960.OF,20260122,20251231,300843.SZ,8084608.0,156800.0,2.2,0.1
014960.OF,20260122,20251231,000792.SZ,6851328.0,243300.0,1.87,0.0
014960.OF,20251028,20250930,688111.SH,16517502.0,52188.0,3.99,0.01
014960.OF,20251028,20250930,300413.SZ,7345104.0,205400.0,1.77,0.02
014960.OF,20251028,20250930,002568.SZ,24019122.88,931696.0,5.8,0.13
014960.OF,20251028,20250930,002511.SZ,6884520.0,835500.0,1.66,0.07
014960.OF,20251028,20250930,300003.SZ,6044400.0,345000.0,1.46,0.02
014960.OF,20251028,20250930,601333.SH,6704716.0,2007400.0,1.62,0.04
014960.OF,20251028,20250930,688016.SH,11333872.8,101558.0,2.74,0.08
014960.OF,20251028,20250930,600298.SH,6011600.0,152000.0,1.45,0.02
014960.OF,20251028,20250930,600009.SH,10571535.0,331500.0,2.55,0.02
014960.OF,20251028,20250930,000683.SZ,6326505.0,996300.0,1.53,0.03
014960.OF,20250830,20250630,000963.SZ,246196.0,6100.0,0.07,0.0
014960.OF,20250830,20250630,002384.SZ,256836.0,6800.0,0.07,0.0
014960.OF,20250830,20250630,600803.SH,257040.0,13600.0,0.07,0.0
014960.OF,20250830,20250630,603297.SH,262050.0,3000.0,0.07,0.0
014960.OF,20250830,20250630,600570.SH,262886.52,7838.0,0.07,0.0
014960.OF,20250830,20250630,002714.SZ,264663.0,6300.0,0.07,0.0
014960.OF,20250830,20250630,688127.SH,269106.57,10467.0,0.07,0.0
014960.OF,20250830,20250630,688600.SH,272294.5,11587.0,0.08,0.01
014960.OF,20250830,20250630,002987.SZ,275220.0,13200.0,0.08,0.0
014960.OF,20250830,20250630,688319.SH,279014.22,17817.0,0.08,0.0
014960.OF,20250830,20250630,600519.SH,281904.0,200.0,0.08,0.0
014960.OF,20250830,20250630,605499.SH,282645.0,900.0,0.08,0.0
014960.OF,20250830,20250630,603606.SH,284405.0,5500.0,0.08,0.0
014960.OF,20250830,20250630,688577.SH,284997.42,6078.0,0.08,0.01
014960.OF,20250830,20250630,601021.SH,289380.0,5200.0,0.08,0.0
014960.OF,20250830,20250630,001914.SZ,293329.81,23713.0,0.08,0.0
014960.OF,20250830,20250630,688416.SH,296273.34,7359.0,0.08,0.02
014960.OF,20250830,20250630,002232.SZ,296460.0,16200.0,0.08,0.0
014960.OF,20250830,20250630,603288.SH,300229.56,7716.0,0.08,0.0
014960.OF,20250830,20250630,603127.SH,301149.6,14320.0,0.08,0.0
