ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
015074.OF,20260122,20251231,300750.SZ,13473300.36,36686.0,8.47,0.0
015074.OF,20260122,20251231,300502.SZ,10815088.0,25100.0,6.8,0.0
015074.OF,20260122,20251231,300476.SZ,6567176.88,22836.0,4.13,0.0
015074.OF,20260122,20251231,300390.SZ,5628106.6,103060.0,3.54,0.02
015074.OF,20260122,20251231,603699.SH,5103454.0,98200.0,3.21,0.01
015074.OF,20260122,20251231,002709.SZ,5587398.0,120600.0,3.51,0.01
015074.OF,20260122,20251231,603993.SH,7202000.0,360100.0,4.53,0.0
015074.OF,20260122,20251231,300308.SZ,7301090.0,11969.0,4.59,0.0
015074.OF,20260122,20251231,002384.SZ,9794089.65,115701.0,6.16,0.01
015074.OF,20260122,20251231,601899.SH,5901677.64,171212.0,3.71,0.0
015074.OF,20251028,20250930,601138.SH,6432740.51,97451.0,3.93,0.0
015074.OF,20251028,20250930,300750.SZ,13220172.0,32886.0,8.08,0.0
015074.OF,20251028,20250930,300502.SZ,11521755.0,31500.0,7.04,0.0
015074.OF,20251028,20250930,300476.SZ,10002778.0,35036.0,6.11,0.0
015074.OF,20251028,20250930,603979.SH,5028254.0,72100.0,3.07,0.01
015074.OF,20251028,20250930,603699.SH,5888034.0,131400.0,3.6,0.02
015074.OF,20251028,20250930,603993.SH,5653570.0,360100.0,3.46,0.0
015074.OF,20251028,20250930,002517.SZ,5641272.0,200900.0,3.45,0.01
015074.OF,20251028,20250930,002384.SZ,7471821.5,104501.0,4.57,0.01
015074.OF,20251028,20250930,300014.SZ,6734000.0,74000.0,4.12,0.0
015074.OF,20250829,20250630,001359.SZ,3906.56,112.0,0.0,0.0
015074.OF,20250829,20250630,688691.SH,8474.82,137.0,0.01,0.0
015074.OF,20250829,20250630,688692.SH,18499.87,83.0,0.02,0.0
015074.OF,20250829,20250630,000596.SZ,37814.6,284.0,0.03,0.0
015074.OF,20250829,20250630,688695.SH,46866.6,1578.0,0.04,0.0
015074.OF,20250829,20250630,603193.SH,260703.0,8300.0,0.22,0.01
015074.OF,20250829,20250630,688068.SH,402061.66,2869.0,0.34,0.0
015074.OF,20250829,20250630,002595.SZ,627732.0,10600.0,0.53,0.0
015074.OF,20250829,20250630,300661.SZ,804108.5,11050.0,0.68,0.0
015074.OF,20250829,20250630,600000.SH,831412.0,59900.0,0.7,0.0
015074.OF,20250829,20250630,600660.SH,997675.0,17500.0,0.84,0.0
015074.OF,20250829,20250630,002545.SZ,1028573.0,115700.0,0.87,0.01
015074.OF,20250829,20250630,688235.SH,1051847.28,4502.0,0.89,0.0
015074.OF,20250829,20250630,000333.SZ,1222995.8,16939.0,1.03,0.0
015074.OF,20250829,20250630,688608.SH,1279522.46,3677.0,1.08,0.0
015074.OF,20250829,20250630,002821.SZ,1359050.0,15400.0,1.15,0.0
015074.OF,20250829,20250630,688041.SH,1360057.54,9626.0,1.15,0.0
015074.OF,20250829,20250630,603063.SH,1422120.0,42000.0,1.2,0.01
015074.OF,20250829,20250630,600519.SH,1463081.76,1038.0,1.23,0.0
015074.OF,20250829,20250630,603259.SH,1474460.0,21200.0,1.24,0.0
015074.OF,20250829,20250630,601998.SH,1476450.0,173700.0,1.25,0.0
015074.OF,20250829,20250630,000975.SZ,1518381.92,80168.0,1.28,0.0
015074.OF,20250829,20250630,688213.SH,1574801.32,15406.0,1.33,0.0
015074.OF,20250829,20250630,300857.SZ,1592110.0,18500.0,1.34,0.01
015074.OF,20250829,20250630,688775.SH,1682041.84,9986.0,1.42,0.03
015074.OF,20250829,20250630,002946.SZ,1702439.0,90700.0,1.44,0.01
015074.OF,20250829,20250630,002487.SZ,1704220.0,51800.0,1.44,0.01
015074.OF,20250829,20250630,002568.SZ,1787578.0,69800.0,1.51,0.01
015074.OF,20250829,20250630,300570.SZ,1811944.0,18800.0,1.53,0.01
015074.OF,20250829,20250630,688169.SH,1818641.35,11617.0,1.53,0.0
015074.OF,20250829,20250630,601689.SH,1841474.25,38973.0,1.55,0.0
015074.OF,20250829,20250630,600521.SH,2094738.57,112439.0,1.77,0.01
015074.OF,20250829,20250630,002714.SZ,2431496.79,57879.0,2.05,0.0
015074.OF,20250829,20250630,002594.SZ,2623084.73,7903.0,2.21,0.0
015074.OF,20250829,20250630,688578.SH,2695461.84,28971.0,2.27,0.01
015074.OF,20250829,20250630,601077.SH,2731050.0,382500.0,2.3,0.0
