ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
014471.OF,20260121,20251231,300207.SZ,1940330.0,74200.0,4.05,0.0
014471.OF,20260121,20251231,002384.SZ,1972345.0,23300.0,4.12,0.0
014471.OF,20260121,20251231,601138.SH,2215185.0,35700.0,4.63,0.0
014471.OF,20260121,20251231,300476.SZ,2530704.0,8800.0,5.28,0.0
014471.OF,20260121,20251231,300274.SZ,2890576.0,16900.0,6.04,0.0
014471.OF,20260121,20251231,300014.SZ,3228816.0,49100.0,6.74,0.0
014471.OF,20260121,20251231,002475.SZ,3544375.0,62500.0,7.4,0.0
014471.OF,20260121,20251231,300308.SZ,3721000.0,6100.0,7.77,0.0
014471.OF,20260121,20251231,300502.SZ,4007184.0,9300.0,8.37,0.0
014471.OF,20260121,20251231,300750.SZ,4517298.0,12300.0,9.43,0.0
014471.OF,20251025,20250930,300750.SZ,5547600.0,13800.0,8.47,0.0
014471.OF,20251025,20250930,603809.SH,3491468.5,209950.0,5.33,0.02
014471.OF,20251025,20250930,300433.SZ,4195044.0,125300.0,6.41,0.0
014471.OF,20251025,20250930,300432.SZ,6321590.0,284500.0,9.65,0.02
014471.OF,20251025,20250930,300274.SZ,3709342.0,22900.0,5.66,0.0
014471.OF,20251025,20250930,300207.SZ,4075074.0,120600.0,6.22,0.01
014471.OF,20251025,20250930,002517.SZ,4110912.0,146400.0,6.28,0.01
014471.OF,20251025,20250930,002475.SZ,6611318.0,102200.0,10.09,0.0
014471.OF,20251025,20250930,300857.SZ,6224058.0,34200.0,9.5,0.01
014471.OF,20251025,20250930,688018.SH,4912529.58,22653.0,7.5,0.01
014471.OF,20250829,20250630,000963.SZ,254268.0,6300.0,0.47,0.0
014471.OF,20250829,20250630,300395.SZ,332150.0,6500.0,0.62,0.0
014471.OF,20250829,20250630,300493.SZ,506226.0,23800.0,0.94,0.0
014471.OF,20250829,20250630,301392.SZ,572208.0,4800.0,1.06,0.01
014471.OF,20250829,20250630,688361.SH,574007.42,6818.0,1.06,0.0
014471.OF,20250829,20250630,002460.SZ,587598.0,17400.0,1.09,0.0
014471.OF,20250829,20250630,603920.SH,896994.0,29400.0,1.66,0.0
014471.OF,20250829,20250630,688270.SH,930548.16,19986.0,1.72,0.01
014471.OF,20250829,20250630,688536.SH,1115447.52,8041.0,2.07,0.01
014471.OF,20250829,20250630,300750.SZ,1185434.0,4700.0,2.2,0.0
014471.OF,20250829,20250630,300059.SZ,1195821.0,51700.0,2.22,0.0
014471.OF,20250829,20250630,603809.SH,1472625.0,96250.0,2.73,0.01
014471.OF,20250829,20250630,300454.SZ,1704658.0,18100.0,3.16,0.01
014471.OF,20250829,20250630,688410.SH,1722502.6,121303.0,3.19,0.05
014471.OF,20250829,20250630,300378.SZ,1738500.0,47500.0,3.22,0.02
014471.OF,20250829,20250630,688525.SH,1784617.2,26478.0,3.31,0.01
014471.OF,20250829,20250630,600760.SH,1840668.0,31400.0,3.41,0.0
014471.OF,20250829,20250630,688332.SH,1970683.44,19118.0,3.65,0.04
014471.OF,20250829,20250630,688615.SH,2103992.84,13324.0,3.9,0.05
