ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
024168.OF,20260122,20251231,603993.SH,12342000.0,617100.0,4.86,0.0,2025Q4,024168.OF
024168.OF,20260122,20251231,002532.SZ,7344102.0,453900.0,2.89,0.01,2025Q4,024168.OF
024168.OF,20260122,20251231,600919.SH,7708480.0,741200.0,3.04,0.0,2025Q4,024168.OF
024168.OF,20260122,20251231,601899.SH,16042338.0,465400.0,6.32,0.0,2025Q4,024168.OF
024168.OF,20260122,20251231,601601.SH,7573137.0,180700.0,2.98,0.0,2025Q4,024168.OF
024168.OF,20260122,20251231,601328.SH,6978125.0,962500.0,2.75,0.0,2025Q4,024168.OF
024168.OF,20260122,20251231,600489.SH,7416800.0,317500.0,2.92,0.01,2025Q4,024168.OF
024168.OF,20260122,20251231,600595.SH,7628630.0,971800.0,3.0,0.02,2025Q4,024168.OF
024168.OF,20260122,20251231,000807.SZ,11086784.0,337600.0,4.37,0.01,2025Q4,024168.OF
024168.OF,20260122,20251231,000408.SZ,10094240.0,119600.0,3.97,0.01,2025Q4,024168.OF
024168.OF,20251027,20250930,603799.SH,6517510.0,98900.0,3.33,0.01,2025Q3,024168.OF
024168.OF,20251027,20250930,603993.SH,8857940.0,564200.0,4.52,0.0,2025Q3,024168.OF
024168.OF,20251027,20250930,002475.SZ,7264687.0,112300.0,3.71,0.0,2025Q3,024168.OF
024168.OF,20251027,20250930,601899.SH,14961408.0,508200.0,7.64,0.0,2025Q3,024168.OF
024168.OF,20251027,20250930,601601.SH,5721048.0,162900.0,2.92,0.0,2025Q3,024168.OF
024168.OF,20251027,20250930,601088.SH,5463150.0,141900.0,2.79,0.0,2025Q3,024168.OF
024168.OF,20251027,20250930,601600.SH,6244272.0,757800.0,3.19,0.01,2025Q3,024168.OF
024168.OF,20251027,20250930,002048.SZ,5379300.0,139000.0,2.75,0.02,2025Q3,024168.OF
024168.OF,20251027,20250930,600489.SH,5725923.0,261100.0,2.92,0.01,2025Q3,024168.OF
024168.OF,20251027,20250930,000630.SZ,5744312.0,1071700.0,2.93,0.01,2025Q3,024168.OF
024168.OF,20250829,20250630,603181.SH,286778.0,22300.0,0.16,0.0,2025Q2,024168.OF
024168.OF,20250829,20250630,600882.SH,363307.0,11900.0,0.2,0.0,2025Q2,024168.OF
024168.OF,20250829,20250630,002440.SZ,536448.0,70400.0,0.3,0.01,2025Q2,024168.OF
024168.OF,20250829,20250630,600623.SH,602572.0,79600.0,0.33,0.0,2025Q2,024168.OF
024168.OF,20250829,20250630,002043.SZ,853580.0,87100.0,0.47,0.01,2025Q2,024168.OF
024168.OF,20250829,20250630,002245.SZ,950703.0,74100.0,0.53,0.01,2025Q2,024168.OF
024168.OF,20250829,20250630,300364.SZ,977850.0,36900.0,0.54,0.01,2025Q2,024168.OF
024168.OF,20250829,20250630,688199.SH,978456.0,41460.0,0.54,0.03,2025Q2,024168.OF
024168.OF,20250829,20250630,688236.SH,1041746.42,56038.0,0.58,0.02,2025Q2,024168.OF
024168.OF,20250829,20250630,600397.SH,1063392.0,169600.0,0.59,0.02,2025Q2,024168.OF
