ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
018658.OF,20260122,20251231,300677.SZ,641850.0,16500.0,4.2,0.0
018658.OF,20260122,20251231,300761.SZ,549875.0,26500.0,3.6,0.0
018658.OF,20260122,20251231,300498.SZ,590800.0,35000.0,3.86,0.0
018658.OF,20260122,20251231,601579.SH,559452.0,27600.0,3.66,0.01
018658.OF,20260122,20251231,002714.SZ,576612.0,11400.0,3.77,0.0
018658.OF,20260122,20251231,300049.SZ,760428.0,10800.0,4.97,0.0
018658.OF,20260122,20251231,601111.SH,607176.0,64800.0,3.97,0.0
018658.OF,20260122,20251231,301367.SZ,591399.0,6900.0,3.87,0.01
018658.OF,20260122,20251231,003006.SZ,526344.0,24100.0,3.44,0.01
018658.OF,20260122,20251231,600754.SH,672182.0,26600.0,4.4,0.0
018658.OF,20251028,20250930,002946.SZ,715233.0,41900.0,3.29,0.0
018658.OF,20251028,20250930,300740.SZ,596505.0,27300.0,2.74,0.01
018658.OF,20251028,20250930,002928.SZ,780558.0,77900.0,3.59,0.01
018658.OF,20251028,20250930,300677.SZ,635602.0,17300.0,2.92,0.0
018658.OF,20251028,20250930,300761.SZ,625248.0,28800.0,2.87,0.0
018658.OF,20251028,20250930,300498.SZ,749983.0,40300.0,3.45,0.0
018658.OF,20251028,20250930,601579.SH,705888.0,34400.0,3.24,0.01
018658.OF,20251028,20250930,002517.SZ,817128.0,29100.0,3.76,0.0
018658.OF,20251028,20250930,300049.SZ,1175520.0,15800.0,5.4,0.01
018658.OF,20251028,20250930,688581.SH,965655.45,13023.0,4.44,0.03
018658.OF,20250830,20250630,002304.SZ,51640.0,800.0,0.28,0.0
018658.OF,20250830,20250630,603214.SH,76760.0,4000.0,0.42,0.0
018658.OF,20250830,20250630,300662.SZ,124782.0,4200.0,0.68,0.0
018658.OF,20250830,20250630,300132.SZ,143520.0,24000.0,0.78,0.0
018658.OF,20250830,20250630,603697.SH,145090.0,11000.0,0.79,0.0
018658.OF,20250830,20250630,301073.SZ,166152.0,6900.0,0.91,0.0
