ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
023078.OF,20260121,20251231,601088.SH,1312200.0,32400.0,3.12,0.0
023078.OF,20260121,20251231,601919.SH,1322178.0,87100.0,3.14,0.0
023078.OF,20260121,20251231,601658.SH,1327075.0,243500.0,3.15,0.0
023078.OF,20260121,20251231,600036.SH,1334570.0,31700.0,3.17,0.0
023078.OF,20260121,20251231,601939.SH,1345600.0,145000.0,3.2,0.0
023078.OF,20260121,20251231,601398.SH,1346514.0,169800.0,3.2,0.0
023078.OF,20260121,20251231,601988.SH,1348269.0,235300.0,3.2,0.0
023078.OF,20260121,20251231,601857.SH,1353300.0,130000.0,3.21,0.0
023078.OF,20260121,20251231,601288.SH,1360896.0,177200.0,3.23,0.0
023078.OF,20260121,20251231,601998.SH,1377530.0,178900.0,3.27,0.0
023078.OF,20251027,20250930,601668.SH,2615455.0,479900.0,3.2,0.0
023078.OF,20251027,20250930,601288.SH,2671335.0,400500.0,3.27,0.0
023078.OF,20251027,20250930,601857.SH,2637232.0,327200.0,3.22,0.0
023078.OF,20251027,20250930,601088.SH,2637250.0,68500.0,3.22,0.0
023078.OF,20251027,20250930,601919.SH,2628522.0,183300.0,3.21,0.0
023078.OF,20251027,20250930,601398.SH,2628000.0,360000.0,3.21,0.0
023078.OF,20251027,20250930,601006.SH,2593367.0,440300.0,3.17,0.0
023078.OF,20251027,20250930,601988.SH,2603468.0,502600.0,3.18,0.0
023078.OF,20251027,20250930,600028.SH,2628601.0,496900.0,3.21,0.0
023078.OF,20251027,20250930,600019.SH,2769319.0,391700.0,3.39,0.0
023078.OF,20250828,20250630,688459.SH,39360.0,4100.0,0.12,0.0
023078.OF,20250828,20250630,601968.SH,41499.0,8700.0,0.13,0.0
023078.OF,20250828,20250630,603903.SH,51546.0,6600.0,0.16,0.0
023078.OF,20250828,20250630,002817.SZ,52398.0,7100.0,0.16,0.0
023078.OF,20250828,20250630,600469.SH,55370.0,9800.0,0.17,0.0
023078.OF,20250828,20250630,600433.SH,152272.0,49600.0,0.48,0.0
023078.OF,20250828,20250630,603126.SH,152893.0,24700.0,0.48,0.0
023078.OF,20250828,20250630,002140.SZ,159160.0,17300.0,0.5,0.0
023078.OF,20250828,20250630,000922.SZ,162734.0,14300.0,0.51,0.0
023078.OF,20250828,20250630,600138.SH,164495.0,16700.0,0.51,0.0
023078.OF,20250828,20250630,000819.SZ,165890.0,10600.0,0.52,0.0
023078.OF,20250828,20250630,600230.SH,166374.0,15800.0,0.52,0.0
023078.OF,20250828,20250630,600396.SH,166970.0,56600.0,0.52,0.0
023078.OF,20250828,20250630,002059.SZ,167360.0,32000.0,0.52,0.0
023078.OF,20250828,20250630,600088.SH,167856.0,10400.0,0.52,0.0
023078.OF,20250828,20250630,600449.SH,168448.0,12800.0,0.53,0.0
023078.OF,20250828,20250630,600125.SH,170366.0,30100.0,0.53,0.0
023078.OF,20250828,20250630,600313.SH,170898.0,27300.0,0.53,0.0
023078.OF,20250828,20250630,002302.SZ,171100.0,29500.0,0.53,0.0
023078.OF,20250828,20250630,601226.SH,171410.0,28100.0,0.54,0.0
023078.OF,20250828,20250630,600560.SH,171508.0,10600.0,0.54,0.0
023078.OF,20250828,20250630,002777.SZ,171644.0,9400.0,0.54,0.0
023078.OF,20250828,20250630,300374.SZ,173310.0,10900.0,0.54,0.01
023078.OF,20250828,20250630,002419.SZ,174200.0,32500.0,0.54,0.0
023078.OF,20250828,20250630,002935.SZ,174400.0,10900.0,0.54,0.0
023078.OF,20250828,20250630,688722.SH,174414.0,8200.0,0.54,0.0
023078.OF,20250828,20250630,688648.SH,174529.0,3700.0,0.55,0.01
023078.OF,20250828,20250630,600962.SH,174590.0,13000.0,0.55,0.0
023078.OF,20250828,20250630,600283.SH,174762.0,17100.0,0.55,0.0
023078.OF,20250828,20250630,000717.SZ,175436.0,71900.0,0.55,0.0
023078.OF,20250828,20250630,002039.SZ,176268.0,11100.0,0.55,0.0
023078.OF,20250828,20250630,600444.SH,177336.0,10800.0,0.55,0.01
023078.OF,20250828,20250630,002462.SZ,177821.0,13300.0,0.56,0.0
023078.OF,20250828,20250630,301215.SZ,177940.0,28700.0,0.56,0.0
023078.OF,20250828,20250630,000731.SZ,178020.0,25800.0,0.56,0.0
023078.OF,20250828,20250630,600058.SH,178563.0,23100.0,0.56,0.0
023078.OF,20250828,20250630,600099.SH,178860.0,16500.0,0.56,0.01
023078.OF,20250828,20250630,600268.SH,179078.0,22900.0,0.56,0.0
023078.OF,20250828,20250630,002732.SZ,179523.0,10900.0,0.56,0.01
023078.OF,20250828,20250630,688456.SH,179750.0,5000.0,0.56,0.0
023078.OF,20250828,20250630,300797.SZ,180180.0,13000.0,0.56,0.0
023078.OF,20250828,20250630,603860.SH,180496.0,5800.0,0.56,0.01
023078.OF,20250828,20250630,600622.SH,180711.0,62100.0,0.56,0.0
023078.OF,20250828,20250630,000862.SZ,181057.0,33100.0,0.57,0.01
023078.OF,20250828,20250630,000698.SZ,181356.0,47600.0,0.57,0.01
023078.OF,20250828,20250630,300425.SZ,181828.0,34700.0,0.57,0.01
023078.OF,20250828,20250630,002037.SZ,182800.0,20000.0,0.57,0.0
023078.OF,20250828,20250630,300788.SZ,182856.0,5700.0,0.57,0.0
023078.OF,20250828,20250630,600158.SH,182931.0,21700.0,0.57,0.0
023078.OF,20250828,20250630,000852.SZ,183024.0,27900.0,0.57,0.0
023078.OF,20250828,20250630,603128.SH,184140.0,29700.0,0.58,0.0
023078.OF,20250828,20250630,002106.SZ,184230.0,17800.0,0.58,0.0
023078.OF,20250828,20250630,600135.SH,184508.0,23900.0,0.58,0.0
023078.OF,20250828,20250630,002314.SZ,184626.0,70200.0,0.58,0.01
023078.OF,20250828,20250630,688562.SH,185526.0,9900.0,0.58,0.01
023078.OF,20250828,20250630,300388.SZ,185832.0,26700.0,0.58,0.0
023078.OF,20250828,20250630,301508.SZ,185900.0,5500.0,0.58,0.01
023078.OF,20250828,20250630,600579.SH,186167.0,23300.0,0.58,0.0
023078.OF,20250828,20250630,300406.SZ,186780.0,13200.0,0.58,0.0
023078.OF,20250828,20250630,000962.SZ,187074.0,11400.0,0.58,0.0
023078.OF,20250828,20250630,002066.SZ,187512.0,15600.0,0.59,0.01
023078.OF,20250828,20250630,300396.SZ,187650.0,13500.0,0.59,0.0
023078.OF,20250828,20250630,002057.SZ,187658.0,20200.0,0.59,0.0
023078.OF,20250828,20250630,000920.SZ,187920.0,17400.0,0.59,0.0
023078.OF,20250828,20250630,600195.SH,188381.0,25700.0,0.59,0.0
023078.OF,20250828,20250630,000798.SZ,188468.0,25400.0,0.59,0.01
023078.OF,20250828,20250630,002116.SZ,189255.0,18500.0,0.59,0.0
023078.OF,20250828,20250630,600523.SH,189312.0,12800.0,0.59,0.0
023078.OF,20250828,20250630,002232.SZ,190320.0,10400.0,0.59,0.0
023078.OF,20250828,20250630,301370.SZ,190635.0,17900.0,0.6,0.01
023078.OF,20250828,20250630,688334.SH,190698.0,11100.0,0.6,0.01
023078.OF,20250828,20250630,301048.SZ,190704.0,17400.0,0.6,0.0
023078.OF,20250828,20250630,000635.SZ,191592.0,21600.0,0.6,0.01
023078.OF,20250828,20250630,300557.SZ,191700.0,7100.0,0.6,0.01
023078.OF,20250828,20250630,600973.SH,192280.0,38000.0,0.6,0.0
023078.OF,20250828,20250630,000720.SZ,192299.0,55100.0,0.6,0.0
023078.OF,20250828,20250630,600148.SH,192420.0,9000.0,0.6,0.01
023078.OF,20250828,20250630,603060.SH,192428.0,29200.0,0.6,0.0
023078.OF,20250828,20250630,688323.SH,192983.0,13300.0,0.6,0.01
023078.OF,20250828,20250630,600345.SH,196156.0,7600.0,0.61,0.0
023078.OF,20250828,20250630,600495.SH,197000.0,39400.0,0.62,0.0
023078.OF,20250828,20250630,600343.SH,197001.0,15900.0,0.62,0.0
023078.OF,20250828,20250630,600501.SH,198753.0,9700.0,0.62,0.0
023078.OF,20250828,20250630,688586.SH,201375.0,17900.0,0.63,0.0
023078.OF,20250828,20250630,600262.SH,202920.0,8900.0,0.63,0.01
023078.OF,20250828,20250630,688707.SH,204605.0,15100.0,0.64,0.0
023078.OF,20250828,20250630,600990.SH,207496.0,7400.0,0.65,0.0
023078.OF,20250828,20250630,600282.SH,556080.0,132400.0,1.74,0.0
023078.OF,20250828,20250630,000830.SZ,580920.0,56400.0,1.81,0.0
023078.OF,20250828,20250630,600782.SH,592596.0,167400.0,1.85,0.01
023078.OF,20250828,20250630,600019.SH,961481.0,145900.0,3.0,0.0
023078.OF,20250828,20250630,601658.SH,979677.0,179100.0,3.06,0.0
023078.OF,20250828,20250630,601998.SH,982600.0,115600.0,3.07,0.0
023078.OF,20250828,20250630,600028.SH,992640.0,176000.0,3.1,0.0
023078.OF,20250828,20250630,601988.SH,997550.0,177500.0,3.12,0.0
