ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
012817.OF,20240329,20231231,688627.SH,19473.84,222.0,0.0,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,301558.SZ,19537.2,1458.0,0.0,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,688652.SH,21109.0,404.0,0.0,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,688563.SH,25284.82,418.0,0.01,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,688548.SH,29082.75,2281.0,0.01,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,688549.SH,31227.4,3860.0,0.01,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,301526.SZ,33633.1,7558.0,0.01,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,603129.SH,81792.0,800.0,0.02,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,301578.SZ,89662.16,1175.0,0.02,0.01,2024Q1,012817.OF
012817.OF,20240329,20231231,603179.SH,158164.49,3119.0,0.03,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,601857.SH,165486.4,23440.0,0.03,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,600519.SH,172600.0,100.0,0.04,0.0,2024Q1,012817.OF
012817.OF,20240329,20231231,688347.SH,604570.44,14374.0,0.13,0.01,2024Q1,012817.OF
012817.OF,20240329,20231231,003816.SZ,7243812.0,2329200.0,1.51,0.01,2024Q1,012817.OF
012817.OF,20240329,20231231,300677.SZ,7468192.0,319700.0,1.55,0.07,2024Q1,012817.OF
012817.OF,20240329,20231231,300856.SZ,8015224.0,128800.0,1.67,0.08,2024Q1,012817.OF
012817.OF,20240329,20231231,300396.SZ,8852787.8,300604.0,1.84,0.12,2024Q1,012817.OF
012817.OF,20240329,20231231,600511.SH,9225657.0,322350.0,1.92,0.06,2024Q1,012817.OF
012817.OF,20240329,20231231,000661.SZ,9359047.8,64191.0,1.95,0.02,2024Q1,012817.OF
012817.OF,20240329,20231231,688310.SH,9598946.5,321035.0,2.0,0.27,2024Q1,012817.OF
012817.OF,20240329,20231231,002432.SZ,9602083.0,254900.0,2.0,0.06,2024Q1,012817.OF
012817.OF,20240329,20231231,300873.SZ,10024010.0,421000.0,2.08,0.25,2024Q1,012817.OF
012817.OF,20240329,20231231,000915.SZ,10419808.0,359800.0,2.17,0.15,2024Q1,012817.OF
012817.OF,20240329,20231231,601089.SH,11300820.0,655500.0,2.35,0.32,2024Q1,012817.OF
012817.OF,20240329,20231231,600642.SH,11594520.0,1806000.0,2.41,0.04,2024Q1,012817.OF
012817.OF,20240329,20231231,002940.SZ,12065549.6,555760.0,2.51,0.3,2024Q1,012817.OF
012817.OF,20240329,20231231,002022.SZ,12313160.0,1082000.0,2.56,0.21,2024Q1,012817.OF
012817.OF,20240329,20231231,688389.SH,13342712.46,592746.0,2.77,0.14,2024Q1,012817.OF
012817.OF,20240329,20231231,000997.SZ,14829082.0,756200.0,3.08,0.07,2024Q1,012817.OF
012817.OF,20240329,20231231,601899.SH,16210460.0,1301000.0,3.37,0.01,2024Q1,012817.OF
