ts_code,quarter,reason
022754.OF,2024Q4,无数据
022270.OF,2024Q1,无数据
022270.OF,2024Q2,无数据
022270.OF,2024Q3,无数据
022270.OF,2024Q4,无数据
022269.OF,2024Q1,无数据
022269.OF,2024Q2,无数据
022269.OF,2024Q3,无数据
022269.OF,2024Q4,无数据
022167.OF,2024Q1,无数据
022167.OF,2024Q2,无数据
022167.OF,2024Q3,无数据
022167.OF,2024Q4,无数据
021875.OF,2024Q1,无数据
021875.OF,2024Q2,无数据
021875.OF,2024Q3,无数据
021875.OF,2024Q4,无数据
021876.OF,2024Q1,无数据
021876.OF,2024Q2,无数据
021876.OF,2024Q3,无数据
021876.OF,2024Q4,无数据
021973.OF,2024Q1,无数据
021973.OF,2024Q2,无数据
021973.OF,2024Q3,无数据
021973.OF,2024Q4,无数据
021974.OF,2024Q1,无数据
021974.OF,2024Q2,无数据
021974.OF,2024Q3,无数据
021974.OF,2024Q4,无数据
021145.OF,2024Q1,无数据
021145.OF,2024Q2,无数据
021145.OF,2024Q3,无数据
021145.OF,2024Q4,无数据
021146.OF,2024Q1,无数据
021146.OF,2024Q2,无数据
021146.OF,2024Q3,无数据
021146.OF,2024Q4,无数据
021694.OF,2024Q1,无数据
021694.OF,2024Q2,无数据
021694.OF,2024Q3,无数据
021694.OF,2024Q4,无数据
018231.OF,2024Q1,无数据
018231.OF,2024Q2,无数据
018231.OF,2024Q3,无数据
018231.OF,2024Q4,无数据
018232.OF,2024Q1,无数据
018232.OF,2024Q2,无数据
018232.OF,2024Q3,无数据
018232.OF,2024Q4,无数据
019578.OF,2024Q1,无数据
019578.OF,2024Q2,无数据
019578.OF,2024Q3,无数据
019578.OF,2024Q4,无数据
019157.OF,2024Q1,无数据
019157.OF,2024Q2,无数据
019157.OF,2024Q3,无数据
019157.OF,2024Q4,无数据
019155.OF,2024Q1,无数据
019155.OF,2024Q2,无数据
019155.OF,2024Q3,无数据
019155.OF,2024Q4,无数据
019156.OF,2024Q1,无数据
019156.OF,2024Q2,无数据
019156.OF,2024Q3,无数据
019156.OF,2024Q4,无数据
019158.OF,2024Q1,无数据
019158.OF,2024Q2,无数据
019158.OF,2024Q3,无数据
019158.OF,2024Q4,无数据
