ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
016183.OF,20240327,20231231,603373.SH,3058.0,88.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,603276.SH,3333.92,134.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,603231.SH,3466.33,161.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,001239.SZ,3764.88,189.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,001358.SZ,3841.92,87.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,603075.SH,4242.42,182.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,001326.SZ,4815.36,99.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,001306.SZ,4823.04,64.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,603193.SH,5047.98,303.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,603107.SH,5311.48,292.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,603119.SH,5394.62,226.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688648.SH,6493.29,303.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301529.SZ,6894.16,182.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301505.SZ,6947.14,194.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301555.SZ,7266.56,224.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688657.SH,7901.23,101.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301548.SZ,8022.64,136.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301578.SZ,8061.76,118.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301517.SZ,8082.65,185.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,601083.SH,8092.17,731.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301489.SZ,8206.08,128.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688720.SH,8223.6,165.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301459.SZ,8286.72,208.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301520.SZ,8438.4,160.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301568.SZ,8752.68,246.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301519.SZ,8932.82,442.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301469.SZ,9099.75,275.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301516.SZ,9368.04,604.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301418.SZ,9487.8,189.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301376.SZ,10046.4,420.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301261.SZ,10068.3,198.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301372.SZ,10069.29,231.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301329.SZ,10181.34,458.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688653.SH,10361.52,648.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688603.SH,10379.6,140.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301499.SZ,10733.03,371.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301251.SZ,11103.39,321.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301395.SZ,11148.36,596.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301508.SZ,11178.92,419.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301550.SZ,11328.2,260.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301202.SZ,11465.82,360.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688719.SH,11659.4,194.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688602.SH,11789.96,1066.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301210.SZ,12779.88,281.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301559.SZ,12950.4,710.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,601865.SH,13350.0,500.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301507.SZ,13488.35,851.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,601096.SH,14883.96,3666.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688612.SH,16023.34,422.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301468.SZ,18071.56,598.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301488.SZ,18101.58,262.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688652.SH,19332.5,370.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,688627.SH,19473.84,222.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301558.SZ,19537.2,1458.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301421.SZ,19710.84,332.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,600642.SH,20544.0,3200.0,0.0,0.0,2024Q1,016183.OF
016183.OF,20240327,20231231,301525.SZ,20853.76,256.0,0.0,0.0,2024Q1,016183.OF
