ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
016182.OF,20260122,20251231,603228.SH,3281741.0,44900.0,4.31,0.0
016182.OF,20260122,20251231,300502.SZ,5730704.0,13300.0,7.53,0.0
016182.OF,20260122,20251231,300308.SZ,7686000.0,12600.0,10.1,0.0
016182.OF,20260122,20251231,300274.SZ,4618080.0,27000.0,6.07,0.0
016182.OF,20260122,20251231,601600.SH,3196752.0,261600.0,4.2,0.0
016182.OF,20260122,20251231,688347.SH,3893891.26,36098.0,5.12,0.01
016182.OF,20260122,20251231,688627.SH,2887664.85,12915.0,3.8,0.02
016182.OF,20260122,20251231,688072.SH,3378540.0,10238.0,4.44,0.0
016182.OF,20260122,20251231,688234.SH,3880234.16,43657.0,5.1,0.01
016182.OF,20260122,20251231,688676.SH,4826324.16,53424.0,6.34,0.01
016182.OF,20251028,20250930,601138.SH,5782476.0,87600.0,8.39,0.0
016182.OF,20251028,20250930,300680.SZ,5357896.0,85100.0,7.78,0.05
016182.OF,20251028,20250930,603228.SH,2827353.0,44900.0,4.1,0.0
016182.OF,20251028,20250930,300502.SZ,3438238.0,9400.0,4.99,0.0
016182.OF,20251028,20250930,300308.SZ,6337776.0,15700.0,9.2,0.0
016182.OF,20251028,20250930,601100.SH,3122102.0,32600.0,4.53,0.0
016182.OF,20251028,20250930,002475.SZ,4043125.0,62500.0,5.87,0.0
016182.OF,20251028,20250930,688205.SH,3008436.18,24859.0,4.37,0.02
016182.OF,20251028,20250930,688249.SH,2783330.1,79866.0,4.04,0.01
016182.OF,20251028,20250930,688656.SH,3003729.75,18945.0,4.36,0.03
016182.OF,20250830,20250630,601336.SH,304200.0,5200.0,1.15,0.0
016182.OF,20250830,20250630,000933.SZ,787072.0,47300.0,2.96,0.0
016182.OF,20250830,20250630,601995.SH,830960.0,23500.0,3.13,0.0
016182.OF,20250830,20250630,600482.SH,860441.79,37297.0,3.24,0.0
016182.OF,20250830,20250630,603979.SH,970596.0,20900.0,3.65,0.0
016182.OF,20250830,20250630,601318.SH,1398096.0,25200.0,5.26,0.0
016182.OF,20250830,20250630,601600.SH,1410816.0,200400.0,5.31,0.0
016182.OF,20250830,20250630,601688.SH,1412333.0,79300.0,5.32,0.0
016182.OF,20250721,20250630,601319.SH,2459704.0,282400.0,9.26,0.0
016182.OF,20250721,20250630,601881.SH,1944810.0,113400.0,7.32,0.0
016182.OF,20250721,20250630,603993.SH,1835096.9,217945.0,6.91,0.0
016182.OF,20250721,20250630,002532.SZ,1946202.0,234200.0,7.33,0.01
016182.OF,20250721,20250630,601899.SH,1746010.5,89539.0,6.57,0.0
016182.OF,20250721,20250630,601601.SH,2085556.0,55600.0,7.85,0.0
016182.OF,20250721,20250630,601628.SH,1437531.0,34900.0,5.41,0.0
016182.OF,20250721,20250630,600030.SH,1433478.0,51900.0,5.4,0.0
016182.OF,20250721,20250630,600150.SH,2046766.0,62900.0,7.71,0.0
016182.OF,20250721,20250630,000807.SZ,1650734.0,103300.0,6.22,0.0
016182.OF,20250422,20250331,601628.SH,4113440.0,109400.0,5.42,0.0
016182.OF,20250422,20250331,603993.SH,4471422.0,588345.0,5.89,0.0
016182.OF,20250422,20250331,000807.SZ,4570824.0,263600.0,6.02,0.01
016182.OF,20250422,20250331,601899.SH,4686538.68,258639.0,6.17,0.0
016182.OF,20250422,20250331,600030.SH,4839900.0,182500.0,6.38,0.0
016182.OF,20250422,20250331,600150.SH,5773650.0,189300.0,7.61,0.0
016182.OF,20250422,20250331,002532.SZ,5819064.0,655300.0,7.67,0.02
016182.OF,20250422,20250331,601881.SH,6239148.0,375400.0,8.22,0.01
016182.OF,20250422,20250331,601319.SH,7082570.0,1038500.0,9.33,0.0
016182.OF,20250422,20250331,601601.SH,7123440.0,221500.0,9.38,0.0
016182.OF,20250331,20241231,600938.SH,1080066.0,36600.0,1.11,0.0
016182.OF,20250331,20241231,600970.SH,3119868.0,329100.0,3.2,0.01
016182.OF,20250331,20241231,601898.SH,3202122.0,262900.0,3.28,0.0
016182.OF,20250331,20241231,601989.SH,3214042.0,668200.0,3.29,0.0
016182.OF,20250331,20241231,601168.SH,3215607.0,200100.0,3.29,0.01
016182.OF,20250331,20241231,601328.SH,3570315.0,459500.0,3.66,0.0
016182.OF,20250331,20241231,601658.SH,3613616.0,636200.0,3.7,0.0
016182.OF,20250331,20241231,600482.SH,3638615.59,148697.0,3.73,0.01
016182.OF,20250331,20241231,000807.SZ,5309172.0,392400.0,5.44,0.01
016182.OF,20250331,20241231,601899.SH,5326020.0,352250.0,5.46,0.0
016182.OF,20250122,20241231,603993.SH,5330274.25,801545.0,5.46,0.0
016182.OF,20250122,20241231,002128.SZ,5339466.0,272700.0,5.47,0.01
016182.OF,20250122,20241231,600019.SH,5380900.0,768700.0,5.51,0.0
016182.OF,20250122,20241231,601600.SH,5454435.0,742100.0,5.59,0.01
016182.OF,20250122,20241231,601128.SH,5467811.0,722300.0,5.6,0.02
016182.OF,20250122,20241231,601668.SH,5469840.0,911640.0,5.6,0.0
016182.OF,20250122,20241231,601601.SH,7310160.0,214500.0,7.49,0.0
016182.OF,20250122,20241231,002532.SZ,7345858.0,933400.0,7.52,0.02
016182.OF,20250122,20241231,600150.SH,7565984.0,210400.0,7.75,0.0
016182.OF,20250122,20241231,601319.SH,7667244.0,1006200.0,7.85,0.0
016182.OF,20241025,20240930,601319.SH,7646832.0,1027800.0,7.03,0.0
016182.OF,20241025,20240930,601881.SH,6179085.0,401500.0,5.68,0.01
016182.OF,20241025,20240930,603993.SH,5796331.5,666245.0,5.33,0.0
016182.OF,20241025,20240930,601688.SH,6503200.0,369500.0,5.98,0.01
016182.OF,20241025,20240930,601958.SH,5676300.0,477000.0,5.22,0.01
016182.OF,20241025,20240930,601601.SH,7999860.0,204600.0,7.36,0.0
016182.OF,20241025,20240930,601600.SH,6604690.0,742100.0,6.07,0.01
016182.OF,20241025,20240930,601628.SH,7510800.0,170700.0,6.91,0.0
016182.OF,20241025,20240930,601995.SH,6173739.0,159900.0,5.68,0.01
016182.OF,20241025,20240930,600150.SH,7347343.0,175900.0,6.76,0.0
016182.OF,20240831,20240630,601601.SH,1819258.0,65300.0,2.07,0.0
016182.OF,20240831,20240630,601788.SH,2668150.0,182500.0,3.04,0.0
016182.OF,20240831,20240630,600970.SH,2805156.0,232600.0,3.2,0.01
016182.OF,20240831,20240630,600482.SH,2896617.56,148697.0,3.3,0.01
016182.OF,20240831,20240630,600685.SH,3027150.0,108500.0,3.45,0.01
016182.OF,20240831,20240630,601336.SH,3297294.0,109800.0,3.76,0.01
016182.OF,20240831,20240630,600030.SH,3465523.0,190100.0,3.95,0.0
016182.OF,20240831,20240630,601881.SH,3471942.0,319700.0,3.96,0.0
016182.OF,20240831,20240630,601989.SH,3615169.0,733300.0,4.12,0.0
016182.OF,20240831,20240630,601166.SH,3700200.0,210000.0,4.22,0.0
016182.OF,20240831,20240630,601390.SH,3861144.0,592200.0,4.4,0.0
016182.OF,20240719,20240630,601958.SH,4506489.0,432900.0,5.13,0.01
016182.OF,20240719,20240630,601688.SH,4578105.0,369500.0,5.22,0.01
016182.OF,20240719,20240630,601995.SH,4734639.0,159900.0,5.39,0.01
016182.OF,20240719,20240630,603993.SH,5005182.5,588845.0,5.7,0.0
016182.OF,20240719,20240630,601600.SH,5220446.0,684200.0,5.95,0.01
016182.OF,20240719,20240630,002142.SZ,5320872.0,241200.0,6.06,0.0
016182.OF,20240719,20240630,601668.SH,5441688.0,1024800.0,6.2,0.0
016182.OF,20240719,20240630,601628.SH,5585895.0,179900.0,6.36,0.0
016182.OF,20240719,20240630,601319.SH,6207810.0,1205400.0,7.07,0.0
016182.OF,20240719,20240630,600150.SH,6542097.0,160700.0,7.45,0.0
016182.OF,20240422,20240331,601319.SH,6848400.0,1317000.0,6.41,0.0
016182.OF,20240422,20240331,603993.SH,7089846.4,852145.0,6.64,0.0
016182.OF,20240422,20240331,601958.SH,5849320.0,514000.0,5.48,0.02
016182.OF,20240422,20240331,601390.SH,6001261.0,856100.0,5.62,0.0
016182.OF,20240422,20240331,601857.SH,5820308.0,589100.0,5.45,0.0
016182.OF,20240422,20240331,601600.SH,7036660.0,950900.0,6.59,0.01
016182.OF,20240422,20240331,601398.SH,7047744.0,1334800.0,6.6,0.0
016182.OF,20240422,20240331,600941.SH,6345600.0,60000.0,5.94,0.01
016182.OF,20240422,20240331,600150.SH,7573900.0,204700.0,7.09,0.0
016182.OF,20240422,20240331,000932.SZ,5776230.35,1091915.0,5.41,0.02
016182.OF,20240327,20231231,000630.SZ,3658512.0,1115400.0,1.47,0.01
016182.OF,20240327,20231231,601658.SH,4384365.0,1007900.0,1.76,0.0
016182.OF,20240327,20231231,688981.SH,5052593.92,95296.0,2.03,0.0
016182.OF,20240327,20231231,601390.SH,6683088.0,1176600.0,2.68,0.01
016182.OF,20240327,20231231,600019.SH,6683703.0,1127100.0,2.68,0.01
016182.OF,20240327,20231231,601555.SH,8494154.21,1161991.0,3.41,0.02
016182.OF,20240327,20231231,000932.SZ,9355490.0,1816600.0,3.76,0.03
016182.OF,20240327,20231231,600970.SH,9613662.0,1029300.0,3.86,0.06
016182.OF,20240327,20231231,600482.SH,10427790.0,579000.0,4.19,0.03
016182.OF,20240327,20231231,603993.SH,11084034.0,2131545.0,4.45,0.01
016182.OF,20240327,20231231,601600.SH,12607656.0,2235400.0,5.06,0.02
016182.OF,20240119,20231231,601319.SH,18100632.0,3739800.0,7.27,0.01
016182.OF,20240119,20231231,601881.SH,14822705.0,1230100.0,5.95,0.02
016182.OF,20240119,20231231,601890.SH,13290750.0,1342500.0,5.33,0.14
