ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
015058.OF,20260122,20251231,601138.SH,57179075.0,921500.0,6.53,0.0
015058.OF,20260122,20251231,300750.SZ,35146782.0,95700.0,4.01,0.0
015058.OF,20260122,20251231,300502.SZ,72560192.0,168400.0,8.28,0.02
015058.OF,20260122,20251231,603986.SH,36868140.0,172080.0,4.21,0.03
015058.OF,20260122,20251231,300476.SZ,36723966.0,127700.0,4.19,0.01
015058.OF,20260122,20251231,300308.SZ,90951000.0,149100.0,10.38,0.01
015058.OF,20260122,20251231,601126.SH,31755456.0,1055700.0,3.63,0.13
015058.OF,20260122,20251231,002463.SZ,35153977.0,481100.0,4.01,0.03
015058.OF,20260122,20251231,688041.SH,34695356.87,154607.0,3.96,0.01
015058.OF,20260122,20251231,600183.SH,30906248.0,432800.0,3.53,0.02
015058.OF,20251028,20250930,601138.SH,89516161.0,1356100.0,8.92,0.01
015058.OF,20251028,20250930,300502.SZ,56292003.0,153900.0,5.61,0.02
015058.OF,20251028,20250930,603319.SH,68042765.28,1528364.0,6.78,0.45
015058.OF,20251028,20250930,603986.SH,47646954.0,223380.0,4.75,0.03
015058.OF,20251028,20250930,300308.SZ,62247456.0,154200.0,6.2,0.01
015058.OF,20251028,20250930,601208.SH,59236893.76,2926724.0,5.9,0.29
015058.OF,20251028,20250930,688525.SH,48965095.2,469464.0,4.88,0.15
015058.OF,20251028,20250930,301389.SZ,56809836.0,942120.0,5.66,1.15
015058.OF,20251028,20250930,688981.SH,49245745.77,351429.0,4.91,0.02
015058.OF,20251028,20250930,688256.SH,72102525.0,54417.0,7.19,0.01
015058.OF,20250830,20250630,000777.SZ,27988872.0,1272800.0,3.14,0.33
015058.OF,20250830,20250630,002290.SZ,28228125.0,903300.0,3.17,0.37
015058.OF,20250830,20250630,688719.SH,29067917.5,683951.0,3.26,0.78
015058.OF,20250830,20250630,300395.SZ,29821960.0,583600.0,3.35,0.11
015058.OF,20250830,20250630,000969.SZ,32931970.4,2556830.0,3.7,0.25
015058.OF,20250830,20250630,603319.SH,37986533.2,1072460.0,4.27,0.44
015058.OF,20250830,20250630,603120.SH,2172.95,65.0,0.0,0.0
015058.OF,20250830,20250630,001335.SZ,2244.0,80.0,0.0,0.0
015058.OF,20250830,20250630,603382.SH,2350.95,105.0,0.0,0.0
015058.OF,20250830,20250630,603400.SH,2497.17,57.0,0.0,0.0
015058.OF,20250830,20250630,603257.SH,2922.66,78.0,0.0,0.0
015058.OF,20250830,20250630,001390.SZ,3225.36,178.0,0.0,0.0
015058.OF,20250830,20250630,603409.SH,3332.0,100.0,0.0,0.0
015058.OF,20250830,20250630,001395.SZ,3780.0,80.0,0.0,0.0
015058.OF,20250830,20250630,603124.SH,4075.28,88.0,0.0,0.0
015058.OF,20250830,20250630,603271.SH,4420.08,126.0,0.0,0.0
015058.OF,20250830,20250630,603210.SH,4464.46,286.0,0.0,0.0
015058.OF,20250830,20250630,301560.SZ,5215.5,190.0,0.0,0.0
015058.OF,20250830,20250630,301595.SZ,5703.6,196.0,0.0,0.0
015058.OF,20250830,20250630,301636.SZ,6074.88,128.0,0.0,0.0
015058.OF,20250830,20250630,603014.SH,6699.4,205.0,0.0,0.0
015058.OF,20250830,20250630,001382.SZ,7396.86,366.0,0.0,0.0
015058.OF,20250830,20250630,301173.SZ,7781.54,173.0,0.0,0.0
015058.OF,20250830,20250630,688755.SH,7983.99,203.0,0.0,0.0
015058.OF,20250830,20250630,301665.SZ,8799.27,393.0,0.0,0.0
015058.OF,20250830,20250630,301658.SZ,10042.26,437.0,0.0,0.0
015058.OF,20250830,20250630,001356.SZ,10237.96,709.0,0.0,0.0
015058.OF,20250830,20250630,301601.SZ,11576.7,342.0,0.0,0.0
015058.OF,20250830,20250630,301662.SZ,11797.5,143.0,0.0,0.0
015058.OF,20250830,20250630,603072.SH,12305.7,226.0,0.0,0.0
015058.OF,20250830,20250630,603202.SH,12511.08,138.0,0.0,0.0
015058.OF,20250830,20250630,688757.SH,13903.84,536.0,0.0,0.0
015058.OF,20250830,20250630,301535.SZ,13938.66,734.0,0.0,0.0
015058.OF,20250830,20250630,301479.SZ,14172.34,182.0,0.0,0.0
015058.OF,20250830,20250630,001388.SZ,15385.54,937.0,0.0,0.0
015058.OF,20250830,20250630,301501.SZ,15827.0,350.0,0.0,0.0
015058.OF,20250830,20250630,301602.SZ,16318.4,658.0,0.0,0.0
015058.OF,20250830,20250630,301678.SZ,17014.28,382.0,0.0,0.0
015058.OF,20250830,20250630,688583.SH,18087.36,227.0,0.0,0.0
015058.OF,20250830,20250630,603049.SH,18125.55,423.0,0.0,0.0
015058.OF,20250830,20250630,301275.SZ,22307.43,397.0,0.0,0.0
015058.OF,20250830,20250630,301458.SZ,23911.11,701.0,0.0,0.0
015058.OF,20250830,20250630,688545.SH,26788.3,994.0,0.0,0.0
015058.OF,20250830,20250630,688775.SH,71143.68,573.0,0.01,0.0
015058.OF,20250830,20250630,688552.SH,4789718.83,120013.0,0.54,0.14
015058.OF,20250830,20250630,688256.SH,9073627.5,15085.0,1.02,0.0
015058.OF,20250830,20250630,688041.SH,9527184.7,67430.0,1.07,0.01
015058.OF,20250830,20250630,688433.SH,11398650.2,346253.0,1.28,0.17
015058.OF,20250830,20250630,000048.SZ,15204947.4,956286.0,1.71,0.18
015058.OF,20250830,20250630,002255.SZ,16493938.0,1958900.0,1.85,0.31
015058.OF,20250830,20250630,871396.BJ,18635006.72,481276.0,2.09,0.95
015058.OF,20250830,20250630,688767.SH,23979162.2,669809.0,2.69,0.45
015058.OF,20250830,20250630,002735.SZ,23987757.0,1619700.0,2.69,0.58
015058.OF,20250721,20250630,603011.SH,72334824.0,4642800.0,8.12,0.94
015058.OF,20250721,20250630,688776.SH,81337632.12,771119.0,9.13,0.71
015058.OF,20250721,20250630,605167.SH,44033792.0,3621200.0,4.94,0.81
015058.OF,20250721,20250630,600990.SH,55912629.24,1994031.0,6.28,0.74
015058.OF,20250721,20250630,605123.SH,40905290.0,525100.0,4.59,0.43
015058.OF,20250721,20250630,600562.SH,49086297.1,1558790.0,5.51,0.13
015058.OF,20250721,20250630,600353.SH,77452040.0,5806000.0,8.7,0.7
015058.OF,20250721,20250630,600862.SH,41508928.0,1591600.0,4.66,0.11
015058.OF,20250721,20250630,600363.SH,68246100.0,1170000.0,7.66,0.26
015058.OF,20250721,20250630,600105.SH,40187811.19,4967591.0,4.51,0.34
015058.OF,20250422,20250331,002600.SZ,29598025.0,3270500.0,3.57,0.05
015058.OF,20250422,20250331,603236.SH,33231495.36,375582.0,4.01,0.14
015058.OF,20250422,20250331,688122.SH,40141556.55,866053.0,4.84,0.13
015058.OF,20250422,20250331,688041.SH,45791938.8,324076.0,5.52,0.04
015058.OF,20250422,20250331,600105.SH,47253351.87,7192291.0,5.7,0.49
015058.OF,20250422,20250331,688521.SH,48739330.0,459805.0,5.88,0.09
015058.OF,20250422,20250331,688608.SH,52255461.9,128613.0,6.3,0.11
015058.OF,20250422,20250331,688776.SH,57298533.6,672518.0,6.91,0.62
015058.OF,20250422,20250331,603011.SH,59230644.0,4641900.0,7.14,0.94
015058.OF,20250422,20250331,600363.SH,65246774.0,1023800.0,7.87,0.23
015058.OF,20250331,20241231,603285.SH,2916.69,129.0,0.0,0.0
015058.OF,20250331,20241231,603350.SH,3834.02,106.0,0.0,0.0
015058.OF,20250331,20241231,603091.SH,4176.42,94.0,0.0,0.0
015058.OF,20250331,20241231,603310.SH,4559.3,254.0,0.0,0.0
