ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
019749.OF,20260122,20251231,002517.SZ,1023516.0,46800.0,9.78,0.0
019749.OF,20260122,20251231,601377.SH,576534.0,77700.0,5.51,0.0
019749.OF,20260122,20251231,601688.SH,714777.0,30300.0,6.83,0.0
019749.OF,20260122,20251231,688039.SH,755380.0,16880.0,7.22,0.02
019749.OF,20260122,20251231,688088.SH,809374.5,16351.0,7.74,0.0
019749.OF,20260122,20251231,600489.SH,593344.0,25400.0,5.67,0.0
019749.OF,20260122,20251231,600030.SH,1033560.0,36000.0,9.88,0.0
019749.OF,20260122,20251231,000975.SZ,503631.0,20700.0,4.81,0.0
019749.OF,20260122,20251231,000776.SZ,938052.0,42600.0,8.96,0.0
019749.OF,20260122,20251231,000686.SZ,547084.0,58700.0,5.23,0.0
019749.OF,20251028,20250930,603160.SH,1049147.0,12700.0,6.09,0.0
019749.OF,20251028,20250930,601231.SH,1082565.0,49500.0,6.29,0.0
019749.OF,20251028,20250930,002600.SZ,1420601.0,87100.0,8.25,0.0
019749.OF,20251028,20250930,300115.SZ,1479640.0,35500.0,8.59,0.0
019749.OF,20251028,20250930,002241.SZ,1443750.0,38500.0,8.39,0.0
019749.OF,20251028,20250930,688210.SH,1766460.7,28286.0,10.26,0.02
019749.OF,20251028,20250930,688661.SH,1119867.5,21745.0,6.5,0.01
019749.OF,20251028,20250930,688518.SH,1041105.15,39213.0,6.05,0.01
019749.OF,20251028,20250930,688039.SH,1035081.6,16880.0,6.01,0.02
019749.OF,20251028,20250930,688088.SH,1107249.6,18672.0,6.43,0.0
019749.OF,20250830,20250630,300951.SZ,469910.0,13700.0,3.53,0.01
019749.OF,20250830,20250630,601231.SH,504735.0,34500.0,3.79,0.0
019749.OF,20250830,20250630,300115.SZ,513600.0,24000.0,3.86,0.0
019749.OF,20250830,20250630,002008.SZ,523955.0,21500.0,3.94,0.0
019749.OF,20250830,20250630,688025.SH,550550.0,7700.0,4.14,0.01
019749.OF,20250830,20250630,688210.SH,635162.4,27858.0,4.77,0.02
019749.OF,20250830,20250630,688686.SH,640654.0,6700.0,4.81,0.01
019749.OF,20250830,20250630,002384.SZ,657198.0,17400.0,4.94,0.0
019749.OF,20250721,20250630,300433.SZ,876390.0,39300.0,6.58,0.0
019749.OF,20250721,20250630,002600.SZ,748189.0,87100.0,5.62,0.0
019749.OF,20250721,20250630,002241.SZ,1140348.0,48900.0,8.57,0.0
019749.OF,20250721,20250630,688591.SH,955221.8,19942.0,7.18,0.01
019749.OF,20250721,20250630,688401.SH,936830.6,26998.0,7.04,0.02
019749.OF,20250721,20250630,688167.SH,787312.5,9750.0,5.91,0.01
019749.OF,20250721,20250630,688661.SH,864798.65,21745.0,6.5,0.01
019749.OF,20250721,20250630,688127.SH,806496.99,31369.0,6.06,0.01
019749.OF,20250721,20250630,688518.SH,799553.07,39213.0,6.01,0.01
019749.OF,20250721,20250630,688088.SH,900924.0,18672.0,6.77,0.0
019749.OF,20250422,20250331,300432.SZ,411390.0,21000.0,4.65,0.0
019749.OF,20250422,20250331,000887.SZ,412370.0,21500.0,4.66,0.0
019749.OF,20250422,20250331,002126.SZ,414450.0,15000.0,4.68,0.0
019749.OF,20250422,20250331,688486.SH,434800.0,4000.0,4.91,0.01
019749.OF,20250422,20250331,300680.SZ,479520.0,12000.0,5.41,0.01
019749.OF,20250422,20250331,002850.SZ,487400.0,4000.0,5.5,0.0
019749.OF,20250422,20250331,688981.SH,491315.0,5500.0,5.55,0.0
019749.OF,20250422,20250331,002050.SZ,518940.0,18000.0,5.86,0.0
019749.OF,20250422,20250331,601689.SH,519930.0,9000.0,5.87,0.0
019749.OF,20250422,20250331,688382.SH,572700.0,30000.0,6.47,0.01
019749.OF,20250331,20241231,603986.SH,53400.0,500.0,0.65,0.0
019749.OF,20250331,20241231,300679.SZ,59700.0,1000.0,0.73,0.0
019749.OF,20250331,20241231,000400.SZ,192710.0,7000.0,2.35,0.0
019749.OF,20250331,20241231,301155.SZ,213240.0,4000.0,2.6,0.0
019749.OF,20250331,20241231,688017.SH,216120.0,2000.0,2.64,0.0
019749.OF,20250331,20241231,688275.SH,241650.0,5000.0,2.95,0.01
019749.OF,20250331,20241231,688503.SH,243595.0,5500.0,2.97,0.0
019749.OF,20250331,20241231,001301.SZ,274200.0,4000.0,3.35,0.0
019749.OF,20250331,20241231,300432.SZ,276840.0,18000.0,3.38,0.0
019749.OF,20250331,20241231,600487.SH,344400.0,20000.0,4.2,0.0
019749.OF,20250331,20241231,300426.SZ,394800.0,40000.0,4.82,0.01
019749.OF,20250331,20241231,002241.SZ,412960.0,16000.0,5.04,0.0
019749.OF,20250122,20241231,688981.SH,425790.0,4500.0,5.2,0.0
019749.OF,20250122,20241231,600522.SH,429600.0,30000.0,5.24,0.0
019749.OF,20250122,20241231,301358.SZ,453200.0,10000.0,5.53,0.0
019749.OF,20250122,20241231,688278.SH,476905.0,6500.0,5.82,0.0
019749.OF,20250122,20241231,603606.SH,525500.0,10000.0,6.41,0.0
019749.OF,20250122,20241231,002517.SZ,544400.0,40000.0,6.65,0.0
019749.OF,20250122,20241231,600266.SH,561000.0,110000.0,6.85,0.01
019749.OF,20250122,20241231,001979.SZ,593920.0,58000.0,7.25,0.0
019749.OF,20250122,20241231,600048.SH,620200.0,70000.0,7.57,0.0
019749.OF,20250122,20241231,300750.SZ,638400.0,2400.0,7.79,0.0
019749.OF,20241025,20240930,688687.SH,761670.0,27000.0,6.58,0.02
019749.OF,20241025,20240930,300482.SZ,712800.0,27000.0,6.16,0.01
019749.OF,20241025,20240930,002475.SZ,651900.0,15000.0,5.64,0.0
019749.OF,20241025,20240930,002422.SZ,780800.0,24400.0,6.75,0.0
019749.OF,20241025,20240930,600048.SH,661800.0,60000.0,5.72,0.0
019749.OF,20241025,20240930,688235.SH,812070.0,4500.0,7.02,0.0
019749.OF,20241025,20240930,600276.SH,836800.0,16000.0,7.23,0.0
019749.OF,20241025,20240930,600266.SH,666600.0,110000.0,5.76,0.01
019749.OF,20241025,20240930,000921.SZ,781000.0,22000.0,6.75,0.0
019749.OF,20241025,20240930,000002.SZ,680400.0,70000.0,5.88,0.0
019749.OF,20240830,20240630,001979.SZ,193380.0,22000.0,2.03,0.0
019749.OF,20240830,20240630,600048.SH,262800.0,30000.0,2.76,0.0
019749.OF,20240830,20240630,688321.SH,264000.0,15000.0,2.77,0.0
019749.OF,20240830,20240630,002244.SZ,290400.0,40000.0,3.05,0.0
019749.OF,20240830,20240630,600325.SH,325000.0,50000.0,3.42,0.0
019749.OF,20240830,20240630,600266.SH,336600.0,90000.0,3.54,0.0
019749.OF,20240830,20240630,600383.SH,340000.0,100000.0,3.57,0.0
019749.OF,20240830,20240630,300482.SZ,366000.0,15000.0,3.85,0.0
019749.OF,20240830,20240630,688278.SH,374850.0,7000.0,3.94,0.0
019749.OF,20240830,20240630,300723.SZ,393000.0,20000.0,4.13,0.0
019749.OF,20240719,20240630,688687.SH,765300.0,30000.0,8.04,0.02
019749.OF,20240719,20240630,300583.SZ,546750.0,45000.0,5.75,0.02
019749.OF,20240719,20240630,688506.SH,725600.0,4000.0,7.63,0.0
