ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
013501.OF,20260122,20251231,300750.SZ,37407267.3,101855.0,3.98,0.0
013501.OF,20260122,20251231,603129.SH,42997815.88,154291.0,4.58,0.1
013501.OF,20260122,20251231,601899.SH,43235721.0,1254300.0,4.6,0.01
013501.OF,20260122,20251231,000807.SZ,45949957.88,1399207.0,4.89,0.04
013501.OF,20260122,20251231,600066.SH,49641870.0,1518100.0,5.28,0.07
013501.OF,20260122,20251231,601398.SH,49670348.0,6263600.0,5.29,0.0
013501.OF,20260122,20251231,603279.SH,53370100.7,3163610.0,5.68,0.55
013501.OF,20260122,20251231,601077.SH,67980253.14,10523259.0,7.23,0.12
013501.OF,20260122,20251231,600690.SH,80004985.0,3066500.0,8.51,0.05
013501.OF,20260122,20251231,000333.SZ,86824650.0,1111000.0,9.24,0.02
013501.OF,20251028,20250930,601077.SH,74456185.81,11298359.0,7.62,0.13
013501.OF,20251028,20250930,300750.SZ,40382910.0,100455.0,4.13,0.0
013501.OF,20251028,20250930,603279.SH,62365284.4,3888110.0,6.38,0.67
013501.OF,20251028,20250930,603129.SH,43936935.75,163791.0,4.5,0.11
013501.OF,20251028,20250930,000333.SZ,80725260.0,1111000.0,8.26,0.02
013501.OF,20251028,20250930,601899.SH,42267008.0,1435700.0,4.32,0.01
013501.OF,20251028,20250930,601398.SH,45724280.0,6263600.0,4.68,0.0
013501.OF,20251028,20250930,600690.SH,81007873.0,3198100.0,8.29,0.05
013501.OF,20251028,20250930,600066.SH,43155060.0,1586000.0,4.42,0.07
013501.OF,20251028,20250930,000807.SZ,47207001.2,2291602.0,4.83,0.07
013501.OF,20250830,20250630,603120.SH,2172.95,65.0,0.0,0.0
013501.OF,20250830,20250630,603400.SH,2497.17,57.0,0.0,0.0
013501.OF,20250830,20250630,603271.SH,4420.08,126.0,0.0,0.0
013501.OF,20250830,20250630,603205.SH,4944.64,128.0,0.0,0.0
013501.OF,20250830,20250630,301595.SZ,5703.6,196.0,0.0,0.0
013501.OF,20250830,20250630,301590.SZ,10182.04,73.0,0.0,0.0
013501.OF,20250830,20250630,301662.SZ,11797.5,143.0,0.0,0.0
013501.OF,20250830,20250630,603072.SH,12305.7,226.0,0.0,0.0
013501.OF,20250830,20250630,001388.SZ,15385.54,937.0,0.0,0.0
013501.OF,20250830,20250630,301602.SZ,16318.4,658.0,0.0,0.0
013501.OF,20250830,20250630,301678.SZ,17014.28,382.0,0.0,0.0
013501.OF,20250830,20250630,603049.SH,21639.25,505.0,0.0,0.0
013501.OF,20250830,20250630,301275.SZ,22307.43,397.0,0.0,0.0
013501.OF,20250830,20250630,001391.SZ,31536.78,4686.0,0.0,0.0
