ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
015212.OF,20240329,20231231,300593.SZ,768.04,52.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603075.SH,2191.14,94.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603276.SH,2438.24,98.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603193.SH,2565.64,154.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603107.SH,2837.64,156.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603119.SH,3174.71,133.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603273.SH,3376.66,178.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,603270.SH,3756.66,127.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,688450.SH,4261.14,117.0,0.0,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,688646.SH,5482.64,152.0,0.01,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,688602.SH,6226.78,563.0,0.01,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,688671.SH,7751.8,226.0,0.01,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,688573.SH,8208.0,285.0,0.01,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,300888.SZ,10430.0,280.0,0.01,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,600027.SH,22616.0,4400.0,0.03,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,300253.SZ,23727.0,3300.0,0.03,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,002223.SZ,24206.0,700.0,0.03,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,600718.SH,50875.0,5500.0,0.06,0.0,2024Q1,015212.OF
015212.OF,20240329,20231231,300750.SZ,55508.4,340.0,0.06,0.0,2024Q1,015212.OF
