ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
021523.OF,20260122,20251231,601138.SH,28034190.0,451800.0,1.24,0.0
021523.OF,20260122,20251231,300502.SZ,276945103.84,642743.0,12.28,0.07
021523.OF,20260122,20251231,300476.SZ,277985180.88,966636.0,12.33,0.11
021523.OF,20260122,20251231,300308.SZ,278086800.0,455880.0,12.33,0.04
021523.OF,20260122,20251231,002463.SZ,109832978.4,1503120.0,4.87,0.08
021523.OF,20260122,20251231,688498.SH,262313262.06,408594.0,11.63,0.49
021523.OF,20260122,20251231,301377.SZ,277446912.6,1994586.0,12.31,2.81
021523.OF,20260122,20251231,688183.SH,216424369.56,2261724.0,9.6,0.27
021523.OF,20260122,20251231,688195.SH,240461496.15,1492253.0,10.67,1.15
021523.OF,20260122,20251231,600183.SH,280640585.9,3929990.0,12.45,0.16
021523.OF,20251028,20250930,601138.SH,239739672.69,3631869.0,12.52,0.02
021523.OF,20251028,20250930,002916.SZ,214811991.68,991562.0,11.22,0.15
021523.OF,20251028,20250930,300502.SZ,190094692.47,519711.0,9.93,0.06
021523.OF,20251028,20250930,300308.SZ,224034326.4,554980.0,11.7,0.05
021523.OF,20251028,20250930,002463.SZ,151149831.0,2057300.0,7.89,0.11
021523.OF,20251028,20250930,002080.SZ,166161028.32,4884216.0,8.68,0.29
021523.OF,20251028,20250930,001267.SZ,130071920.0,7390450.0,6.79,1.28
021523.OF,20251028,20250930,301377.SZ,186813816.64,2605856.0,9.75,3.67
021523.OF,20251028,20250930,688183.SH,190872200.5,2431493.0,9.97,0.29
021523.OF,20251028,20250930,600183.SH,220817013.8,4087690.0,11.53,0.17
021523.OF,20250830,20250630,001382.SZ,7396.86,366.0,0.0,0.0
021523.OF,20250830,20250630,301173.SZ,7781.54,173.0,0.0,0.0
021523.OF,20250830,20250630,688755.SH,7983.99,203.0,0.0,0.0
021523.OF,20250830,20250630,301665.SZ,8799.27,393.0,0.0,0.0
021523.OF,20250830,20250630,301585.SZ,9363.9,273.0,0.0,0.0
021523.OF,20250830,20250630,301658.SZ,10042.26,437.0,0.0,0.0
021523.OF,20250830,20250630,301590.SZ,10182.04,73.0,0.0,0.0
021523.OF,20250830,20250630,001356.SZ,10237.96,709.0,0.0,0.0
021523.OF,20250830,20250630,301601.SZ,11576.7,342.0,0.0,0.0
021523.OF,20250830,20250630,301662.SZ,11797.5,143.0,0.0,0.0
021523.OF,20250830,20250630,603072.SH,12305.7,226.0,0.0,0.0
021523.OF,20250830,20250630,603194.SH,13208.49,291.0,0.0,0.0
021523.OF,20250830,20250630,688757.SH,13903.84,536.0,0.0,0.0
021523.OF,20250830,20250630,301535.SZ,13938.66,734.0,0.0,0.0
021523.OF,20250830,20250630,301479.SZ,14172.34,182.0,0.0,0.0
021523.OF,20250830,20250630,603202.SH,15049.56,166.0,0.0,0.0
021523.OF,20250830,20250630,001388.SZ,15385.54,937.0,0.0,0.0
021523.OF,20250830,20250630,301501.SZ,15827.0,350.0,0.0,0.0
021523.OF,20250830,20250630,301602.SZ,16318.4,658.0,0.0,0.0
021523.OF,20250830,20250630,301678.SZ,17014.28,382.0,0.0,0.0
021523.OF,20250830,20250630,688583.SH,18087.36,227.0,0.0,0.0
021523.OF,20250830,20250630,301458.SZ,23911.11,701.0,0.0,0.0
021523.OF,20250830,20250630,688545.SH,26788.3,994.0,0.0,0.0
021523.OF,20250830,20250630,001391.SZ,31536.78,4686.0,0.0,0.0
021523.OF,20250830,20250630,688411.SH,46754.4,560.0,0.0,0.0
021523.OF,20250830,20250630,688775.SH,71143.68,573.0,0.0,0.0
021523.OF,20250830,20250630,002080.SZ,2449200.0,125600.0,0.14,0.01
021523.OF,20250830,20250630,001267.SZ,57671992.0,6148400.0,3.34,1.07
021523.OF,20250830,20250630,603120.SH,2172.95,65.0,0.0,0.0
021523.OF,20250830,20250630,001335.SZ,2244.0,80.0,0.0,0.0
021523.OF,20250830,20250630,603382.SH,2350.95,105.0,0.0,0.0
021523.OF,20250830,20250630,603400.SH,2497.17,57.0,0.0,0.0
021523.OF,20250830,20250630,603257.SH,2922.66,78.0,0.0,0.0
021523.OF,20250830,20250630,001390.SZ,3225.36,178.0,0.0,0.0
021523.OF,20250830,20250630,603409.SH,3332.0,100.0,0.0,0.0
021523.OF,20250830,20250630,603124.SH,4075.28,88.0,0.0,0.0
021523.OF,20250830,20250630,603210.SH,4464.46,286.0,0.0,0.0
021523.OF,20250830,20250630,603310.SH,4861.56,254.0,0.0,0.0
021523.OF,20250830,20250630,301560.SZ,5215.5,190.0,0.0,0.0
021523.OF,20250830,20250630,603014.SH,6699.4,205.0,0.0,0.0
021523.OF,20250719,20250630,601138.SH,135566068.82,6340789.0,7.85,0.03
021523.OF,20250719,20250630,601869.SH,66649681.6,1636780.0,3.86,0.4
021523.OF,20250719,20250630,300394.SZ,186696418.88,2338382.0,10.82,0.3
021523.OF,20250719,20250630,300548.SZ,148382971.0,2222300.0,8.6,0.83
021523.OF,20250719,20250630,300502.SZ,205997098.38,1621769.0,11.94,0.18
021523.OF,20250719,20250630,300570.SZ,183872896.58,1907791.0,10.65,0.99
021523.OF,20250719,20250630,300308.SZ,174022648.8,1193080.0,10.08,0.11
021523.OF,20250719,20250630,688205.SH,128705892.57,2053053.0,7.46,2.3
021523.OF,20250719,20250630,688183.SH,203943270.4,3983267.0,11.82,0.48
021523.OF,20250719,20250630,688313.SH,231475805.2,6083464.0,13.41,1.33
021523.OF,20250422,20250331,300972.SZ,75478016.55,837435.0,4.71,0.54
021523.OF,20250422,20250331,603300.SH,83947160.28,7860221.0,5.24,0.39
021523.OF,20250422,20250331,000880.SZ,93211480.8,2864520.0,5.82,1.77
