ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,base_name
020331.OF,红塔红土医药精选A,股票型,主动股票型,-5.75,-7.42,-4.59,19.17,20.58,-0.34,455,449.0,22.491349480968857,507.0,12.456747404844291,45.5,红塔红土医药精选
015537.OF,红塔红土新能源主题精选A,股票型,主动股票型,2.6,-2.2,4.48,17.98,16.46,0.14,455,279.0,51.903114186851205,318.0,45.15570934256056,51.1,红塔红土新能源主题精选
013734.OF,红塔红土盛丰C,混合型,混合型-偏股,-0.35,-3.03,0.36,20.94,23.0,-0.08,455,3564.0,31.717133001149868,4082.0,21.90968235744355,47.3,红塔红土盛丰
014360.OF,红塔红土稳健添利A,混合型,混合型-偏股,-0.63,-0.56,1.21,5.14,3.9,-0.15,455,2263.0,56.65005749329245,3542.0,32.24263298890164,57.5,红塔红土稳健添利
023921.OF,联博智远A,混合型,混合型-偏股,-1.95,-1.77,3.17,11.66,6.96,0.1,294,2999.0,42.54503641241855,2536.0,51.49253731343284,57.0,联博智远
020842.OF,联博智选A,混合型,混合型-偏股,-1.99,-2.3,1.55,11.52,10.47,-0.04,455,3242.0,37.8880797240322,3337.0,36.16532721010333,60.4,联博智选
025404.OF,苏新睿见量化选股A,股票型,主动股票型,-0.81,-3.02,5.81,15.24,5.21,0.25,60,314.0,45.84775086505191,263.0,54.6712802768166,63.8,苏新睿见量化选股
022868.OF,英大国企改革主题C,股票型,主动股票型,-0.37,-0.81,11.14,18.16,14.48,0.5,455,196.0,66.26297577854672,117.0,79.93079584775087,67.5,英大国企改革主题
016985.OF,英大延福养老2035三年持有,混合型,混合型-偏股,0.47,-0.77,3.38,7.9,7.09,0.17,438,2418.0,53.67957071674972,2444.0,53.25296593953311,57.7,英大延福养老2035
019816.OF,英大延福养老2040三年持有Y,混合型,混合型-偏股,-1.14,-1.78,1.87,6.88,6.29,-0.02,441,3009.0,42.3533921042545,3137.0,39.992345962495214,60.7,英大延福养老2040
016922.OF,英大延福养老2055三年持有,混合型,混合型-偏股,0.65,-0.39,3.78,9.57,8.27,0.19,438,2092.0,59.92717516289766,2304.0,55.93187906620742,59.3,英大延福养老2055
017164.OF,英大延福养老2060三年持有,混合型,混合型-偏股,0.91,0.03,4.04,7.95,7.28,0.26,438,1661.0,68.18704484476811,2205.0,57.82625334864141,60.6,英大延福养老2060
017396.OF,英大延福养老目标2045三年持有,混合型,混合型-偏股,-3.12,-3.04,0.1,8.31,8.09,-0.23,441,3570.0,31.602146416251443,4195.0,19.74741676234214,54.9,英大延福养老目标2045
017394.OF,英大延福养老目标2050三年持有,混合型,混合型-偏股,-3.42,-5.08,-0.01,10.27,10.81,-0.2,441,4179.0,19.93100804906094,4237.0,18.94374282433984,55.2,英大延福养老目标2050
015724.OF,英大碳中和A,混合型,混合型-偏股,2.57,2.98,7.65,23.67,14.56,0.24,455,480.0,90.82023763894212,1268.0,75.7558362035974,58.5,英大碳中和
020389.OF,英大福鑫稳健养老一年持有,混合型,混合型-偏股,-0.71,-0.93,0.78,3.27,3.0,-0.37,441,2529.0,51.55231889612879,3824.0,26.84653654802909,53.3,英大福鑫稳健养老
012521.OF,英大稳固增强核心一年持有A,混合型,混合型-偏股,-0.01,-0.15,0.16,3.06,5.52,-0.6,455,1877.0,64.04752778842469,4171.0,20.20665901262916,48.7,英大稳固增强核心
000459.OF,英大领先回报B,灵活配置型,混合型-平衡,0.1,-0.98,10.52,16.22,10.99,0.53,455,245.0,48.41437632135307,87.0,81.81818181818181,71.9,英大领先回报
019006.OF,蜂巢先进制造A,混合型,混合型-偏股,5.37,9.22,8.22,23.2,20.21,0.27,455,77.0,98.54350325795323,1179.0,77.45885954841178,54.8,蜂巢先进制造
014944.OF,蜂巢润和六个月持有A,混合型,混合型-偏股,0.14,0.09,3.23,3.14,3.15,0.39,455,1607.0,69.22192410885397,2509.0,52.00918484500574,62.3,蜂巢润和
022030.OF,蜂巢趋势臻选E,混合型,混合型-偏股,0.16,-1.76,7.97,21.28,20.88,0.28,455,2997.0,42.58336527405137,1219.0,76.69345579793341,55.2,蜂巢趋势臻选
011011.OF,融通产业趋势精选A,混合型,混合型-偏股,3.31,5.53,24.86,19.02,15.75,1.2,454,228.0,95.64967420467612,75.0,98.584003061615,85.4,融通产业趋势精选
018495.OF,融通产业趋势臻选C,股票型,主动股票型,3.38,3.51,1.3,27.92,18.74,-0.02,454,68.0,88.4083044982699,408.0,29.58477508650519,49.1,融通产业趋势臻选
015553.OF,融通价值成长A,混合型,混合型-偏股,-4.79,-6.48,6.73,16.73,17.16,0.28,454,4444.0,14.852433882713678,1437.0,72.52200535782625,58.1,融通价值成长
010646.OF,融通价值趋势A,混合型,混合型-偏股,3.44,3.59,0.21,28.03,19.1,-0.06,454,398.0,92.39172096588732,4145.0,20.70417145044011,46.7,融通价值趋势
014647.OF,融通先进制造A,混合型,混合型-偏股,1.47,0.65,3.52,24.66,19.12,0.06,454,1164.0,77.71176696052126,2395.0,54.19058553386912,46.1,融通先进制造
014109.OF,融通内需驱动C,混合型,混合型-偏股,0.94,1.02,15.56,13.57,9.05,1.0,454,996.0,80.93139133767727,310.0,94.08725602755452,87.7,融通内需驱动
011813.OF,融通创新动力A,混合型,混合型-偏股,-3.69,-8.63,3.68,19.76,18.43,0.08,454,4783.0,8.355691835952472,2337.0,55.30042097206276,49.6,融通创新动力
019978.OF,融通动力先锋C,混合型,混合型-偏股,-1.25,-0.06,8.76,12.88,10.21,0.52,454,1769.0,66.11728631659639,1079.0,79.37236892460773,71.4,融通动力先锋
021899.OF,融通品质优选A,混合型,混合型-偏股,-8.15,-9.86,-6.54,9.16,18.14,-0.93,435,4932.0,5.5001916443081615,5049.0,3.4060466896287838,39.7,融通品质优选
011816.OF,融通多元收益一年持有,混合型,混合型-偏股,1.59,2.03,4.94,5.29,4.49,0.56,454,666.0,87.25565350709084,1909.0,63.4902411021814,68.9,融通多元收益
022237.OF,融通央企精选A,混合型,混合型-偏股,5.81,8.29,15.04,13.2,9.85,0.99,403,107.0,97.96857033346107,343.0,93.45579793340988,86.5,融通央企精选
