ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
025795.OF,中欧新能源主题C,混合型,混合型-偏股,2.5,13.7,12.69,41.11,4.76,0.26,33,38.0,99.29091605979302,550.0,89.49483352468427,66.4,watch,False,False,False,False,False,False,4.189505401853317,False
025667.OF,银华鑫禾C,混合型,混合型-偏股,-4.66,-4.11,-4.3,13.8,8.4,-0.46,32,3923.0,24.83710233806056,4885.0,6.544202066590121,51.4,watch,True,False,False,False,False,True,4.576926294278815,False
025666.OF,银华鑫禾A,混合型,混合型-偏股,-4.64,-3.98,-4.14,13.83,8.33,-0.44,32,3872.0,25.814488309697204,4876.0,6.716417910447758,51.6,preferred,True,False,False,False,False,False,11.105916104300801,False
025391.OF,平安港股通成长精选C,混合型,混合型-偏股,-9.01,-9.76,-1.13,25.29,14.36,-0.12,56,4918.0,5.76849367573783,4517.0,13.585916570991197,49.9,preferred,True,False,False,False,False,False,18.345464354016517,False
025390.OF,平安港股通成长精选A,混合型,混合型-偏股,-9.08,-9.79,-1.07,25.24,14.4,-0.12,56,4924.0,5.653507090839405,4505.0,13.815537696134715,50.0,preferred,True,False,False,False,False,False,16.979877376194487,False
025319.OF,金元顺安乾丰稳健A,混合型,混合型-偏股,2.49,1.0,5.72,10.57,3.47,0.35,71,1004.0,80.77807589114603,1665.0,68.1592039800995,70.5,preferred,False,True,False,False,True,False,32.8719561902696,False
025918.OF,易方达科技先锋A,混合型,混合型-偏股,0.56,5.48,5.79,19.34,4.69,0.2,35,233.0,95.5538520505941,1642.0,68.59931113662456,65.5,preferred,False,False,False,False,False,False,12.374059063033368,False
025919.OF,易方达科技先锋C,混合型,混合型-偏股,0.52,5.38,5.63,19.35,4.71,0.19,35,239.0,95.43886546569568,1694.0,67.60428626100267,64.9,normal,False,False,False,False,False,False,69.70282812248935,False
024900.OF,西部利得专精特新量化选股A,混合型,混合型-偏股,0.99,-2.43,6.99,15.14,6.87,0.33,104,3299.0,36.79570716749713,1393.0,73.36394948335247,67.7,preferred,False,False,False,False,False,False,8.86766753037237,False
024901.OF,西部利得专精特新量化选股C,混合型,混合型-偏股,0.97,-2.48,6.9,15.14,6.88,0.32,104,3320.0,36.39325412035262,1412.0,73.00038270187524,67.4,watch,False,False,False,False,False,False,318.6849508582555,False
025320.OF,金元顺安乾丰稳健C,混合型,混合型-偏股,2.48,0.97,5.67,10.56,3.48,0.35,71,1018.0,80.50977385971636,1680.0,67.87217757367011,70.3,preferred,False,True,False,False,True,False,25.811001540024535,False
025990.OF,中欧鑫悦回报一年持有C,混合型,混合型-偏股,-1.46,2.21,2.91,10.28,1.98,0.09,39,616.0,88.21387504791107,2662.0,49.08151549942594,61.5,watch,False,False,False,False,False,False,4.355375948518637,False
025953.OF,交银远见成长C,混合型,混合型-偏股,-0.21,0.89,2.2,4.25,1.08,0.05,67,1055.0,79.8006899195094,2942.0,43.7236892460773,59.7,watch,False,False,False,False,False,False,3.3700547897786546,False
025131.OF,银华聚享多元配置三个月持有A,混合型,混合型-偏股,-0.15,0.64,0.61,1.41,0.26,-0.99,33,1169.0,77.61594480643924,3934.0,24.74167623421355,47.6,preferred,False,False,False,False,False,False,21.73593536087889,False
025989.OF,中欧鑫悦回报一年持有A,混合型,混合型-偏股,-1.34,2.42,3.19,10.36,1.94,0.11,39,583.0,88.84630126485243,2527.0,51.66475315729046,63.2,preferred,False,False,False,False,False,False,9.317036980557209,False
025132.OF,银华聚享多元配置三个月持有C,混合型,混合型-偏股,-0.19,0.54,0.49,1.36,0.26,-1.11,33,1213.0,76.77270985051744,4018.0,23.13432835820896,46.6,preferred,False,False,False,False,False,False,28.697229726868812,False
025773.OF,中金丰裕稳健一年持有A,混合型,混合型-偏股,-0.66,-1.09,0.49,3.76,1.79,-0.4,107,2623.0,49.75086239938674,4020.0,23.09605817068504,52.7,preferred,False,False,False,False,False,False,21.49639291124201,False
