ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
014235.OF,淳厚时代优选A,混合型,混合型-偏股,1.0766362873078823,watch,-4.06,-5.73,-0.58,52.6,17.362974319662705,15.748182166092615,,False,False,True
014404.OF,中欧多元价值三年持有A,混合型,混合型-偏股,3.8194045397355993,watch,-4.85,-3.11,-4.3,49.4,31.046377922575697,6.56333716035209,,False,False,True
013349.OF,创金合信大健康C,混合型,混合型-偏股,2.052650740614496,watch,-4.82,-8.02,-6.99,35.2,10.080490609428905,3.0042097206276264,,False,False,True
014929.OF,民生加银创新成长C,混合型,混合型-偏股,1.949160119981045,watch,-6.94,-9.82,-1.17,49.9,5.5768493675737885,13.394565633371602,,False,False,True
014377.OF,东吴新能源汽车C,股票型,主动股票型,1.7906047977190749,watch,-2.03,-9.73,-5.07,44.3,9.861591695501726,10.899653979238757,,False,False,True
014472.OF,景顺长城远见成长A,混合型,混合型-偏股,1.4995290326426107,watch,-2.24,-6.53,-2.17,44.1,14.718282866998855,10.81132797550708,,False,False,True
014261.OF,摩根沃享远见一年持有A,混合型,混合型-偏股,1.659804627756547,watch,-0.25,-4.39,-6.97,41.7,23.68723648907628,3.042479908151552,,False,False,True
014200.OF,建信沃信一年持有C,混合型,混合型-偏股,4.528837569893971,watch,-2.63,-5.09,-5.51,44.6,19.854350325795323,4.936854190585538,,False,False,True
014211.OF,国投瑞银竞争优势C,混合型,混合型-偏股,3.285288789307512,watch,-2.66,-5.09,2.9,52.2,19.835185894978924,49.06238040566399,,False,False,True
014113.OF,上银未来生活C,灵活配置型,混合型-偏股,4.798008957830685,watch,-7.63,-11.34,-3.15,47.4,4.228329809725162,7.822410147991543,60.825,False,False,True
014300.OF,宏利先进制造C,股票型,主动股票型,2.389248669249109,watch,-2.28,-10.9,1.84,52.4,5.536332179930792,32.00692041522492,,False,False,True
014640.OF,兴全合衡三年持有C,混合型,混合型-偏股,4.133788674186562,watch,-4.87,-6.82,0.57,55.3,13.740896895362209,24.110218140068884,,False,False,True
014299.OF,宏利先进制造A,股票型,主动股票型,3.830364292835155,watch,-2.26,-10.87,1.9,42.6,6.055363321799312,32.52595155709342,,False,False,True
014074.OF,嘉实内需精选A,混合型,混合型-偏股,3.34887262,watch,-7.6,-6.88,-7.71,39.0,13.625910310463784,2.372751626482972,,False,False,True
013009.OF,万家港股通精选A,混合型,混合型-偏股,4.422968846683229,watch,-8.14,-9.04,-2.77,50.0,7.397470295132235,9.22311519326444,,False,False,True
014505.OF,中银收益C,混合型,混合型-偏股,2.390917817683812,watch,-0.97,-12.13,-5.42,47.4,2.548869298581835,5.089934940681207,,False,False,True
013073.OF,泰信医疗服务C,混合型,混合型-偏股,1.1923149541196032,watch,-5.62,-8.58,-9.31,31.5,8.528171713300114,1.2055109070034489,,False,False,True
013072.OF,泰信医疗服务A,混合型,混合型-偏股,4.246453213908558,watch,-5.59,-8.53,-9.22,31.6,8.681487159831358,1.224646000765406,,False,False,True
013550.OF,汇添富品牌价值一年持有A,混合型,混合型-偏股,1.56427797,watch,-8.34,-8.52,-6.56,43.8,8.700651590647757,3.386911595866815,,False,False,True
013956.OF,华商医药消费精选A,混合型,混合型-偏股,3.644715641722745,watch,-7.18,-8.49,-3.96,43.3,8.777309313913372,7.07998469192499,,False,False,True
013867.OF,汇安优势企业精选A,混合型,混合型-偏股,4.155367240871074,watch,-2.21,-6.91,4.7,54.5,13.510923725565348,62.24646000765404,,False,False,True
013852.OF,中信建投低碳成长C,混合型,混合型-偏股,4.956851558186675,watch,-2.09,-7.9,5.8,52.7,10.463779225756998,68.61844623038652,,False,False,True
014346.OF,银华消费主题C,混合型,混合型-偏股,108.27266154830536,watch,-8.07,-6.44,-7.84,39.0,14.967420467612111,2.2579410639112174,,False,False,True
014243.OF,富国新材料新能源C,混合型,混合型-偏股,4.78189425,watch,-8.15,-13.66,3.22,37.2,1.5714833269451889,51.85610409491006,,False,False,True
013386.OF,信澳优势价值C,混合型,混合型-偏股,1.9080374180820057,watch,1.61,-11.81,5.76,54.0,2.7596780375622854,68.40796019900498,,False,False,True
014042.OF,银华心诚C,灵活配置型,混合型-平衡,3.4344980586551306,watch,-8.11,-9.79,-7.82,42.9,6.553911205073993,2.114164904862581,59.815,False,False,True
014280.OF,汇添富北交所创新精选两年定开C,混合型,混合型-偏股,3.700843618634549,watch,-10.19,-10.8,2.5,41.0,3.737064009198932,45.65633371603521,,False,False,True
014277.OF,万家北交所慧选两年定开A,混合型,混合型-偏股,2.1506146450574404,watch,3.87,5.18,-18.61,26.9,95.24722115753164,0.0382701875239144,,False,False,True
014271.OF,大成北交所两年定开A,混合型,混合型-偏股,214.01506108441865,watch,-5.41,-10.18,-0.53,48.2,4.906094288999618,16.016073478760052,,False,False,True
012523.OF,国联高质量成长A,混合型,混合型-偏股,3.4717357947655545,watch,-6.83,-11.65,-10.46,40.9,2.970486776542736,0.8419441255262172,,False,False,True
014043.OF,银华心怡C,灵活配置型,混合型-平衡,2.653824170939449,watch,-7.6,-9.59,-7.97,42.9,7.3995771670190225,1.9027484143763207,59.589999999999996,False,False,True
013962.OF,华夏创新视野一年持有A,混合型,混合型-偏股,2.9456590505109363,watch,-5.29,-6.72,4.58,55.8,14.143349942506712,61.50019135093763,,False,False,True
012893.OF,安信优质企业三年持有C,混合型,混合型-偏股,332.3741500852061,watch,-4.49,-5.79,-2.26,48.8,17.03717899578383,10.6582472254114,,False,False,True
013465.OF,博时智选量化多因子A,股票型,主动股票型,1.229269056835647,watch,-4.76,-10.89,-0.2,48.4,5.709342560553631,24.394463667820062,,False,False,True
013850.OF,同泰优选配置3个月持有C,混合型,混合型-偏股,4.90120792713081,watch,-4.29,-7.65,2.75,51.9,11.134534304331156,47.74205893608878,,False,False,True
013381.OF,中欧甄选3个月持有A,混合型,混合型-偏股,259.51425936021343,watch,-6.14,-5.52,-2.46,51.0,18.263702568033725,10.084194412552616,,False,False,True
013393.OF,信澳价值精选A,混合型,混合型-偏股,2.4397937685605924,watch,1.74,-11.5,6.06,55.0,3.047144499808352,69.72828166858018,,False,False,True
013289.OF,工银食品饮料行业A,混合型,混合型-偏股,4.825303580878923,watch,-5.02,-4.61,-4.82,48.4,22.63319279417402,5.625717566016075,,False,False,True
011969.OF,建信港股通精选A,混合型,混合型-偏股,2.270307153338227,watch,-6.16,-6.17,-4.35,44.0,15.7339977002683,6.429391504018367,,False,False,True
013024.OF,平安均衡优选1年持有C,混合型,混合型-偏股,3.94576996286212,watch,-4.47,-5.71,1.1,59.0,17.535454197010345,30.788365862992727,,False,False,True
012972.OF,东吴消费成长C,混合型,混合型-偏股,2.769275135151379,watch,-7.74,-7.13,-6.21,40.7,12.41855116903028,3.846153846153844,,False,False,True
012407.OF,永赢长远价值C,混合型,混合型-偏股,215.5589195370165,watch,-2.38,-5.4,5.43,61.6,18.608662322729018,66.45618063528511,,False,False,True
012406.OF,永赢长远价值A,混合型,混合型-偏股,1.5988346210665956,watch,-2.37,-5.38,5.48,61.7,18.72364890762744,66.78147722923842,,False,False,True
012144.OF,新沃内需增长C,混合型,混合型-偏股,2.829508537850044,watch,-2.97,-10.01,-2.32,48.5,5.212725182062094,10.428626100267891,,False,False,True
013220.OF,中欧新兴价值一年持有A,混合型,混合型-偏股,198.2656834856198,watch,-4.98,-3.31,-4.78,48.7,29.743196627060176,5.683122847301947,,False,False,True
012988.OF,嘉合锦明C,混合型,混合型-偏股,2.2589780494041607,watch,-3.37,-12.75,2.74,44.9,1.9547719432732813,47.62724837351703,,False,False,True
012690.OF,广发消费领先A,混合型,混合型-偏股,3.69060812545783,watch,-6.67,-8.14,-0.51,51.2,9.793024147182829,16.16915422885572,,False,False,True
011978.OF,格林研究优选C,混合型,混合型-偏股,4.411782656370922,watch,-2.35,-5.34,2.97,52.7,18.87696435415868,49.78951396861845,,False,False,True
011876.OF,景顺长城医疗健康A,混合型,混合型-偏股,2.50764203,watch,-5.65,-7.66,-6.28,33.0,11.11536987351476,3.673938002296208,,False,False,True
012068.OF,嘉实蓝筹优势C,混合型,混合型-偏股,3.5571450569563754,watch,-6.34,-6.82,-2.49,49.7,13.760061326178608,10.026789131266744,,False,False,True
012067.OF,嘉实蓝筹优势A,混合型,混合型-偏股,2.890005260622681,watch,-6.31,-6.76,-2.37,49.9,14.028363357608276,10.29468044393418,,False,False,True
