ts_code,name,category,return_1y,return_6m,volatility,max_drawdown,sharpe,quality_score,note
012520.OF,大成核心趋势C,混合型-偏股,23.44,2.76,20.16,15.77,1.06,83.4,【待补充】规模数据待验证
019207.OF,大成正向回报C,混合型-平衡,33.73,4.56,23.66,15.68,1.34,87.3,【待补充】规模数据待验证
014224.OF,大成聚优成长A,混合型-偏股,25.84,5.67,20.0,15.21,1.19,86.3,【待补充】规模数据待验证
019184.OF,大成趋势回报C,混合型-平衡,17.04,8.41,10.06,8.72,1.49,93.8,【待补充】规模数据待验证
021973.OF,天弘优势企业A,混合型-偏股,16.17,2.0,14.56,12.12,0.97,83.7,【待补充】规模数据待验证
015769.OF,天弘低碳经济A,混合型-偏股,16.82,2.41,14.92,12.88,0.99,83.5,【待补充】规模数据待验证
015458.OF,天弘周期策略C,混合型-偏股,16.74,3.63,14.21,12.12,1.04,85.0,【待补充】规模数据待验证
023097.OF,安信比较优势C,混合型-平衡,15.01,2.54,12.4,11.01,1.05,85.2,【待补充】规模数据待验证
022327.OF,宏利高端装备A,主动股票型,22.9,4.59,13.81,8.34,1.51,94.6,【待补充】规模数据待验证
011565.OF,富国周期优势C,混合型-偏股,22.95,3.71,17.62,11.36,1.19,90.6,【待补充】规模数据待验证
014718.OF,富国天旭均衡A,混合型-偏股,19.62,6.99,13.96,13.19,1.26,87.2,【待补充】规模数据待验证
013025.OF,富国宏观策略C,混合型-平衡,18.33,5.54,14.7,8.17,1.11,90.4,【待补充】规模数据待验证
011566.OF,富国美丽中国C,混合型-偏股,15.26,7.64,10.92,8.0,1.21,90.7,【待补充】规模数据待验证
018038.OF,富国融裕两年持有A,混合型-偏股,21.37,7.15,14.11,13.05,1.37,89.3,【待补充】规模数据待验证
021642.OF,富国资源精选A,混合型-偏股,23.66,7.56,17.62,12.44,1.23,89.7,【待补充】规模数据待验证
014347.OF,富国趋势优先A,混合型-偏股,19.03,6.74,13.77,12.88,1.24,87.2,【待补充】规模数据待验证
014057.OF,富国金安均衡精选A,混合型-偏股,18.17,5.93,14.0,13.08,1.15,85.6,【待补充】规模数据待验证
012876.OF,富荣福耀A,混合型-偏股,15.85,3.51,14.55,12.52,0.95,82.6,【待补充】规模数据待验证
