ts_code,name,invest_type,category
019004.OF,易方达科技智选C,混合型,混合型-偏股
017882.OF,工银精选回报C,混合型,混合型-偏股
019003.OF,易方达科技智选A,混合型,混合型-偏股
018976.OF,中信建投消费升级C,混合型,混合型-偏股
018975.OF,中信建投消费升级A,混合型,混合型-偏股
018812.OF,兴业稳健优选6个月持有A,混合型,混合型-偏股
019016.OF,中欧国企红利C,混合型,混合型-偏股
019015.OF,中欧国企红利A,混合型,混合型-偏股
019223.OF,大成一带一路C,灵活配置型,混合型-平衡
017836.OF,信澳匠心回报C,混合型,混合型-偏股
019414.OF,长城消费增值C,混合型,混合型-偏股
019573.OF,摩根中国生物医药C,混合型,混合型-偏股
018401.OF,嘉实成长驱动A,混合型,混合型-偏股
018402.OF,嘉实成长驱动C,混合型,混合型-偏股
019150.OF,国联国企改革C,灵活配置型,混合型-平衡
019578.OF,摩根全球天然资源C,混合型,混合型-偏股
017835.OF,信澳匠心回报A,混合型,混合型-偏股
019456.OF,国富稳健养老目标一年持有Y,混合型,混合型-偏股
018891.OF,大成锐见未来C,混合型,混合型-偏股
019412.OF,长城新兴产业C,灵活配置型,混合型-平衡
019201.OF,大成盛世精选C,灵活配置型,混合型-平衡
018890.OF,大成锐见未来A,混合型,混合型-偏股
018931.OF,湘财均衡甄选C,混合型,混合型-偏股
018930.OF,湘财均衡甄选A,混合型,混合型-偏股
019132.OF,广发积极回报3个月持有A,混合型,混合型-偏股
019133.OF,广发积极回报3个月持有C,混合型,混合型-偏股
019338.OF,创金合信启富优选A,股票型,主动股票型
018434.OF,嘉实均衡配置,混合型,混合型-偏股
019434.OF,国泰海通消费机遇C,混合型,混合型-偏股
019447.OF,华夏全球科技先锋A美元现汇,混合型,混合型-偏股
019448.OF,华夏全球科技先锋A美元现钞,混合型,混合型-偏股
019433.OF,国泰海通消费机遇A,混合型,混合型-偏股
018983.OF,国泰海通新材料A,混合型,混合型-偏股
019153.OF,中欧锐意成长A,混合型,混合型-偏股
019052.OF,华泰柏瑞科技创新C,混合型,混合型-偏股
019051.OF,华泰柏瑞科技创新A,混合型,混合型-偏股
015658.OF,富荣研究优选C,混合型,混合型-偏股
015657.OF,富荣研究优选A,混合型,混合型-偏股
018984.OF,国泰海通新材料C,混合型,混合型-偏股
019154.OF,中欧锐意成长C,混合型,混合型-偏股
019208.OF,大成创新成长C,混合型,混合型-偏股
019339.OF,创金合信启富优选C,股票型,主动股票型
019303.OF,光大红利C,混合型,混合型-偏股
019252.OF,光大创新生活C,混合型,混合型-偏股
019496.OF,招商和享均衡养老目标三年持有Y,混合型,混合型-偏股
019512.OF,摩根全球多元人民币C,混合型,混合型-偏股
019484.OF,大摩品质生活精选C,股票型,主动股票型
019514.OF,交银荣鑫C,灵活配置型,混合型-平衡
019308.OF,光大中小盘C,混合型,混合型-偏股
018777.OF,金信精选成长C,混合型,混合型-偏股
018776.OF,金信精选成长A,混合型,混合型-偏股
019462.OF,工银安悦稳健养老目标三年持有Y,混合型,混合型-偏股
019235.OF,华富策略精选C,灵活配置型,混合型-平衡
019276.OF,长城智能产业C,灵活配置型,混合型-平衡
019390.OF,光大研究精选C,混合型,混合型-偏股
019207.OF,大成正向回报C,灵活配置型,混合型-平衡
019274.OF,长城核心优选C,灵活配置型,混合型-平衡
018917.OF,华夏专精特新C,混合型,混合型-偏股
018916.OF,华夏专精特新A,混合型,混合型-偏股
018940.OF,长城景气成长C,混合型,混合型-偏股
018993.OF,中欧数字经济A,混合型,混合型-偏股
019273.OF,长城改革红利C,灵活配置型,混合型-平衡
019440.OF,光大银发商机主题C,混合型,混合型-偏股
018939.OF,长城景气成长A,混合型,混合型-偏股
018994.OF,中欧数字经济C,混合型,混合型-偏股
019370.OF,富国久利稳健配置E,混合型,混合型-偏股
017887.OF,国富安颐稳健6个月持有C,混合型,混合型-偏股
019272.OF,长城量化小盘C,股票型,主动股票型
017886.OF,国富安颐稳健6个月持有A,混合型,混合型-偏股
019485.OF,农银汇理主题轮动C,灵活配置型,混合型-平衡
019293.OF,长江长扬A,混合型,混合型-偏股
019197.OF,大成国企改革C,灵活配置型,混合型-平衡
019444.OF,富国智选稳进3个月持有E,混合型,混合型-偏股
019294.OF,长江长扬C,混合型,混合型-偏股
019181.OF,光大一带一路C,混合型,混合型-偏股
019449.OF,摩根日本精选C,股票型,主动股票型
019306.OF,嘉实研究阿尔法C,成长型,主动股票型
019450.OF,摩根欧洲动力策略C,股票型,主动股票型
018673.OF,财通资管康恒平衡养老目标三年持有A,混合型,混合型-偏股
019198.OF,华富灵活配置C,灵活配置型,混合型-平衡
019213.OF,华富物联世界C,灵活配置型,混合型-平衡
018364.OF,银华医疗健康A,混合型,混合型-偏股
018866.OF,泓德数字经济C,混合型,混合型-偏股
018709.OF,交银悦信精选C,混合型,混合型-偏股
018708.OF,交银悦信精选A,混合型,混合型-偏股
018865.OF,泓德数字经济A,混合型,混合型-偏股
018365.OF,银华医疗健康C,混合型,混合型-偏股
019157.OF,易方达全球配置美元现汇A,混合型,混合型-偏股
019155.OF,易方达全球配置A,混合型,混合型-偏股
019156.OF,易方达全球配置C,混合型,混合型-偏股
019158.OF,易方达全球配置美元现汇C,混合型,混合型-偏股
019184.OF,大成趋势回报C,灵活配置型,混合型-平衡
014828.OF,汇泉启元未来C,混合型,混合型-偏股
018514.OF,南方康乐养老目标日期2045三年持有A,混合型,混合型-偏股
018971.OF,富国致弘量化选股A,股票型,主动股票型
014827.OF,汇泉启元未来A,混合型,混合型-偏股
018972.OF,富国致弘量化选股C,股票型,主动股票型
019110.OF,泰康兴泰回报沪港深C,混合型,混合型-偏股
018828.OF,鑫元科技创新主题C,混合型,混合型-偏股
019291.OF,德邦新回报C,灵活配置型,混合型-平衡
019227.OF,方正富邦金立方一年持有D,混合型,混合型-偏股
019226.OF,方正富邦金立方一年持有A,混合型,混合型-偏股
018868.OF,兴全品质甄选A,混合型,混合型-偏股
018827.OF,鑫元科技创新主题A,混合型,混合型-偏股
019228.OF,方正富邦金立方一年持有E,混合型,混合型-偏股
018869.OF,兴全品质甄选C,混合型,混合型-偏股
019299.OF,海富通国策导向C,混合型,混合型-偏股
019300.OF,海富通国策导向D,混合型,混合型-偏股
