ts_code,name,invest_type,category
020492.OF,万家医药量化选股C,混合型,混合型-偏股
020491.OF,万家医药量化选股A,混合型,混合型-偏股
016389.OF,汇安均衡成长C,混合型,混合型-偏股
016388.OF,汇安均衡成长A,混合型,混合型-偏股
020487.OF,华富成长企业精选C,股票型,主动股票型
020486.OF,华富智慧城市C,灵活配置型,混合型-平衡
020132.OF,中邮趋势精选C,灵活配置型,混合型-平衡
020488.OF,华富量子生命力C,混合型,混合型-偏股
019478.OF,中邮医药健康C,混合型,混合型-偏股
020523.OF,交银核心资产C,混合型,混合型-偏股
019727.OF,国泰招享添利六个月持有A,混合型,混合型-偏股
019728.OF,国泰招享添利六个月持有C,混合型,混合型-偏股
020512.OF,摩根海外稳健配置C,混合型,混合型-偏股
020361.OF,中海蓝筹配置C,灵活配置型,混合型-平衡
020499.OF,金元顺安丰利C,稳健增长型,主动股票型
020398.OF,中银港股通医药C,混合型,混合型-偏股
020397.OF,中银港股通医药A,混合型,混合型-偏股
020444.OF,华西研究精选A,混合型,混合型-偏股
019115.OF,东财卓越成长A,混合型,混合型-偏股
020445.OF,金信优质成长C,混合型,混合型-偏股
019116.OF,东财卓越成长C,混合型,混合型-偏股
020475.OF,中欧产业优选C,混合型,混合型-偏股
019212.OF,交银智选进取三个月持有C,混合型,混合型-偏股
020276.OF,银河新材料A,股票型,主动股票型
019211.OF,交银智选进取三个月持有A,混合型,混合型-偏股
020360.OF,中海混改红利主题C,灵活配置型,混合型-平衡
020474.OF,中欧产业优选A,混合型,混合型-偏股
