ts_code,name,quality_score
015449.OF,太平安元C,80.0
012818.OF,招商享诚增强A,79.9
015583.OF,招商安悦1年持有A,79.9
012819.OF,招商享诚增强C,79.9
015584.OF,招商安悦1年持有C,79.9
018840.OF,汇添富稳元回报A,84.9
018841.OF,汇添富稳元回报C,84.9
012902.OF,平安添悦A,84.9
023364.OF,平安添悦E,84.9
012903.OF,平安添悦C,84.9
022399.OF,东海增益A,72.9
023256.OF,东海增益E,72.6
022400.OF,东海增益C,72.2
015434.OF,金元顺安鼎泰A,72.9
015435.OF,金元顺安鼎泰C,71.8
022111.OF,华泰保兴恒利中短债D,92.3
015315.OF,富国汇享三个月定开A,74.8
015316.OF,富国汇享三个月定开C,73.8
