ts_code,name,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,quality_score,percentile_1y,percentile_6m
014057.OF,富国金安均衡精选A,混合型-偏股,3.74,5.93,18.17,14.0,13.08,1.15,85.6,96.28779181017988,96.10962054426984
018553.OF,景顺长城中小盘C,混合型-偏股,4.74,7.94,19.55,15.24,13.61,1.15,85.5,97.01492537313432,97.6619394403986
011011.OF,融通产业趋势精选A,混合型-偏股,3.31,5.53,24.86,19.02,15.75,1.2,85.4,98.584003061615,95.64967420467612
016676.OF,南方君誉A,混合型-偏股,5.32,5.79,14.95,11.89,11.37,1.09,85.4,93.26444699579028,95.9371406669222
018751.OF,山证资管精选行业C,混合型-偏股,7.58,6.86,33.75,21.48,19.7,1.48,85.3,99.8086490623804,96.89536220774244
012716.OF,长盛创新先锋C,混合型-平衡,6.71,3.94,22.25,17.67,14.6,1.15,85.3,97.46300211416492,89.64059196617336
023097.OF,安信比较优势C,混合型-平衡,2.52,2.54,15.01,12.4,11.01,1.05,85.2,91.12050739957716,85.83509513742071
019879.OF,万家周期驱动A,主动股票型,4.06,7.36,25.64,20.19,15.93,1.17,85.0,98.78892733564014,98.0968858131488
015458.OF,天弘周期策略C,混合型-偏股,4.0,3.63,16.74,14.21,12.12,1.04,85.0,95.27363184079604,92.54503641241854
016183.OF,华安安华C,混合型-平衡,1.88,3.04,20.21,16.19,14.16,1.12,84.7,96.40591966173362,86.68076109936575
017835.OF,信澳匠心回报A,混合型-偏股,4.33,4.07,17.16,18.09,10.13,0.84,84.5,95.59892843474933,93.48409352242238
009825.OF,融通通乾研究精选C,混合型-平衡,6.71,9.73,17.34,12.92,14.05,1.19,84.2,94.29175475687104,97.67441860465117
015566.OF,万家精选C,混合型-偏股,5.38,11.43,18.0,17.63,11.71,0.91,84.0,96.15384615384616,99.02261402836336
011251.OF,华安聚嘉精选A,混合型-偏股,3.2,3.8,15.02,14.33,10.57,0.91,83.9,93.36012246460008,93.04331161364507
018194.OF,建信新材料精选A,主动股票型,2.03,4.32,18.68,15.51,13.8,1.08,83.8,93.9446366782007,92.560553633218
015309.OF,国投瑞银境煊E,混合型-平衡,1.91,5.59,15.23,12.84,12.06,1.03,83.8,91.5433403805497,94.08033826638476
021973.OF,天弘优势企业A,混合型-偏股,3.99,2.0,16.17,14.56,12.12,0.97,83.7,94.9100650593188,87.1023380605596
025447.OF,万家元晟量化选股A,混合型-偏股,-0.96,2.06,14.88,15.45,9.1,0.83,83.7,93.07309605817068,87.4281333844385
011128.OF,华安精致生活A,混合型-偏股,3.35,4.1,14.8,14.28,10.5,0.9,83.6,92.99655568312284,93.61824453813722
013812.OF,景顺长城景气进取A,混合型-偏股,4.41,7.12,18.74,15.36,14.37,1.09,83.6,96.70876387294298,97.08700651590648
015769.OF,天弘低碳经济A,混合型-偏股,4.23,2.41,16.82,14.92,12.88,0.99,83.5,95.36930730960582,88.75047911077041
024640.OF,中欧化工产业A,混合型-偏股,3.44,3.2,18.31,21.32,9.87,0.77,83.5,96.38346727898968,91.24185511690304
