ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
021860.OF,浙商汇金红利精选C,混合型,混合型-偏股,4.035748104203892,watch,2.5,4.46,11.13,89.0,94.13568417018014,85.8974358974359,,False,True,False
021875.OF,路博迈资源精选A,股票型,主动股票型,14.927915578492142,preferred,3.66,6.16,24.11,81.9,97.2318339100346,97.92387543252596,,False,True,False
021666.OF,中银周期优选C,混合型,混合型-偏股,5.039788257965385,preferred,0.42,3.46,25.69,78.7,92.04676121119203,98.89016456180634,,False,True,False
021711.OF,南方周期优选A,混合型,混合型-偏股,25.304082468027925,preferred,0.68,0.92,11.39,70.0,80.06899195093906,86.4714887102947,,False,True,False
021665.OF,中银周期优选A,混合型,混合型-偏股,3.284533663152647,watch,0.46,3.53,25.83,78.9,92.21924108853968,98.90929965556832,,False,True,False
021859.OF,浙商汇金红利精选A,混合型,混合型-偏股,8.333719376992727,preferred,2.53,4.51,11.23,89.2,94.23150632426216,86.16532721010333,,False,True,False
021662.OF,国富亚洲机会C,股票型,主动股票型,10.145560253469514,preferred,0.41,4.17,19.68,72.8,91.00346020761243,94.80968858131487,,False,True,False
020884.OF,鹏华成长先锋A,混合型,混合型-偏股,5.8625540738181385,preferred,-2.22,-3.03,11.21,74.7,31.69796857033345,86.10792192881746,,False,True,False
020885.OF,鹏华成长先锋C,混合型,混合型-偏股,9.734092716851938,preferred,-2.25,-3.1,11.08,74.3,31.084706784208503,85.72522005357827,,False,True,False
021973.OF,天弘优势企业A,混合型,混合型-偏股,7.646039625316501,preferred,3.99,2.0,16.17,83.7,87.1023380605596,94.9100650593188,,False,True,False
021974.OF,天弘优势企业C,混合型,混合型-偏股,14.946833432261242,preferred,3.95,1.92,16.03,83.4,86.66155615178229,94.68044393417529,,False,True,False
021663.OF,汇百川远航A,混合型,混合型-偏股,12.227105189603009,preferred,3.64,2.1,16.19,77.0,87.69643541586815,94.92920015308076,,False,True,False
021664.OF,汇百川远航C,混合型,混合型-偏股,20.580124988681906,preferred,3.61,2.05,16.08,76.8,87.37064009198927,94.77611940298507,,False,True,False
021145.OF,银华甄选价值成长A,混合型,混合型-偏股,37.38179770199072,preferred,7.3,15.91,27.91,91.6,99.52088922958988,99.40681209337926,,False,True,False
021146.OF,银华甄选价值成长C,混合型,混合型-偏股,9.30248452521239,preferred,7.28,15.85,27.81,91.6,99.50172479877348,99.36854190585534,,False,True,False
021187.OF,摩根红利优选A,股票型,主动股票型,7.156788154602193,preferred,2.53,5.52,8.85,76.0,95.32871972318338,70.24221453287197,,False,True,False
021188.OF,摩根红利优选C,股票型,主动股票型,4.213260203634775,watch,2.49,5.44,8.72,75.6,94.98269896193771,69.20415224913495,,False,True,False
021842.OF,国富全球科技互联人民币C,混合型,混合型-偏股,95.01646346056636,normal,-0.49,1.45,14.25,72.8,84.13185128401686,92.25028702640644,,False,True,False
021843.OF,国富全球科技互联美元现汇C,混合型,混合型-偏股,2.3483633259681502,watch,0.18,2.95,16.78,76.4,90.76274434649292,95.3310371220819,,False,True,False
