ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
020206.OF,民生加银双核动力C,混合型,混合型-偏股,6.78,-0.99,27.78,23.28,15.41,1.11,455
019384.OF,兴全可持续投资三年定开,混合型,混合型-偏股,1.82,-18.55,-11.78,21.69,23.86,-0.64,455
019782.OF,嘉实创新动力A3,混合型,混合型-偏股,-6.37,-8.9,-4.57,17.96,20.11,-0.37,455
019354.OF,易方达平衡视野A1,混合型,混合型-偏股,-0.47,-0.11,5.87,14.08,14.97,0.27,455
019355.OF,易方达平衡视野A2,混合型,混合型-偏股,-0.45,-0.07,5.96,14.09,14.95,0.28,455
020053.OF,博时惠泽A2,混合型,混合型-偏股,-1.21,-1.17,5.2,12.98,13.35,0.25,455
019356.OF,易方达平衡视野A3,混合型,混合型-偏股,-0.44,-0.05,6.0,14.09,14.95,0.28,455
020199.OF,万家双引擎C,灵活配置型,混合型-平衡,7.01,10.07,32.85,20.58,12.38,1.5,455
019371.OF,富国远见精选三年定开,混合型,混合型-偏股,6.11,4.52,8.06,14.76,3.81,0.41,103
019707.OF,鹏扬平衡养老目标三年持有A,混合型,混合型-偏股,-1.32,-1.72,2.7,6.27,5.58,0.11,440
020054.OF,博时惠泽A3,混合型,混合型-偏股,-1.19,-1.14,5.24,12.98,13.33,0.25,455
020155.OF,长盛量化红利策略C,混合型,混合型-偏股,0.39,1.58,4.55,7.19,5.76,0.35,455
019188.OF,中银证券和瑞一年持有C,混合型,混合型-偏股,-0.08,0.05,0.55,0.64,0.62,-2.25,455
020052.OF,博时惠泽A1,混合型,混合型-偏股,-1.22,-1.2,5.12,12.98,13.36,0.24,455
019187.OF,中银证券和瑞一年持有A,混合型,混合型-偏股,-0.07,0.08,0.59,0.64,0.61,-2.2,455
019913.OF,华夏瑞益A1,混合型,混合型-偏股,-4.15,-4.9,0.38,19.82,17.5,-0.08,455
019914.OF,华夏瑞益A2,混合型,混合型-偏股,-4.15,-4.87,0.44,19.82,17.48,-0.08,455
020217.OF,金鹰多元策略C,灵活配置型,混合型-平衡,-2.33,-1.03,-0.86,6.84,5.38,-0.42,455
019363.OF,大成至信回报三年定开,混合型,混合型-偏股,-0.35,1.98,2.99,7.7,7.5,0.13,455
019362.OF,富国核心优势C,混合型,混合型-偏股,0.64,-6.23,1.07,21.97,23.67,-0.04,455
019361.OF,富国核心优势A,混合型,混合型-偏股,0.68,-6.16,1.19,21.97,23.63,-0.04,455
019761.OF,中信建投质选成长C,混合型,混合型-偏股,-2.14,-3.82,3.79,9.79,10.8,0.18,455
019760.OF,中信建投质选成长A,混合型,混合型-偏股,-2.11,-3.77,3.87,9.8,10.78,0.19,455
019468.OF,信澳新材料精选A,混合型,混合型-偏股,0.31,-4.78,9.25,19.98,13.26,0.36,455
020180.OF,金信深圳成长C,灵活配置型,混合型-平衡,1.35,-1.61,8.42,16.6,15.67,0.39,455
019469.OF,信澳新材料精选C,混合型,混合型-偏股,0.27,-4.85,9.11,19.97,13.29,0.36,455
019821.OF,鹏华远见精选C,混合型,混合型-偏股,8.55,11.23,26.76,23.06,15.84,1.07,455
019387.OF,中欧时代共赢A1,混合型,混合型-偏股,1.51,-0.07,-5.47,25.56,22.15,-0.29,455
018725.OF,长信汇智量化选股C,混合型,混合型-偏股,-3.06,-3.81,2.01,11.41,11.86,0.0,455
018724.OF,长信汇智量化选股A,混合型,混合型-偏股,-3.04,-3.76,2.1,11.41,11.85,0.01,455
019349.OF,中信保诚瑞丰6个月A,混合型,混合型-偏股,0.36,0.33,2.78,2.09,1.89,0.37,455
019389.OF,中欧时代共赢A3,混合型,混合型-偏股,1.54,-0.02,-5.38,25.56,22.13,-0.29,455
019350.OF,中信保诚瑞丰6个月C,混合型,混合型-偏股,0.32,0.28,2.69,2.1,1.94,0.33,455
019388.OF,中欧时代共赢A2,混合型,混合型-偏股,1.49,-0.08,-5.45,25.55,22.13,-0.29,455
020137.OF,平安医疗健康C,混合型,混合型-偏股,-7.66,-9.03,-8.51,27.99,34.64,-0.38,455
019820.OF,鹏华远见精选A,混合型,混合型-偏股,8.59,11.32,26.9,23.08,15.82,1.08,455
018973.OF,华商科创板量化选股A,混合型,混合型-偏股,0.69,12.19,14.79,20.79,16.48,0.62,435
019843.OF,渤海汇金优选稳健6个月持有A,混合型,混合型-偏股,-1.0,-0.72,0.13,3.24,3.12,-0.58,440
019844.OF,渤海汇金优选稳健6个月持有C,混合型,混合型-偏股,-1.03,-0.76,0.06,3.25,3.15,-0.6,440
018974.OF,华商科创板量化选股C,混合型,混合型-偏股,0.67,12.14,14.73,20.79,16.51,0.61,435
019375.OF,广发睿杰精选A2,混合型,混合型-偏股,0.54,-6.25,19.64,18.63,12.25,0.95,455
020106.OF,兴业成长动力C,灵活配置型,混合型-平衡,-2.97,-5.33,-2.18,11.16,8.21,-0.37,455
020126.OF,东方量化成长C,灵活配置型,混合型-平衡,0.26,-1.36,11.81,15.67,17.04,0.63,455
020124.OF,银华沪深股通C,混合型,混合型-偏股,-3.39,-2.1,-1.4,14.04,12.54,-0.24,455
019376.OF,广发睿杰精选A3,混合型,混合型-偏股,0.55,-6.24,19.68,18.63,12.24,0.95,455
020107.OF,兴业安保优选C,混合型,混合型-偏股,2.66,-5.4,13.43,19.7,13.16,0.58,455
019374.OF,广发睿杰精选A1,混合型,混合型-偏股,0.51,-6.3,19.51,18.62,12.28,0.94,455
019779.OF,信澳颐宁养老目标一年持有Y,混合型,混合型-偏股,-0.61,-0.55,1.5,5.94,6.57,-0.08,441
019379.OF,南方前瞻共赢三年定开,混合型,混合型-偏股,-0.76,-2.82,-0.75,31.73,15.54,-0.09,103
019470.OF,华夏信兴回报A,混合型,混合型-偏股,-3.74,-3.52,1.84,10.94,11.3,-0.01,455
019759.OF,中欧半导体产业A,股票型,主动股票型,-7.82,-13.63,15.93,27.68,17.21,0.5,455
501063.OF,汇添富悦享两年持有,混合型,混合型-偏股,-1.92,-1.53,2.8,9.43,10.64,0.09,455
019764.OF,中欧半导体产业C,股票型,主动股票型,-7.85,-13.68,15.81,27.68,17.26,0.5,455
019983.OF,泓德智选启元C,混合型,混合型-偏股,1.11,-0.02,11.02,12.32,10.15,0.73,455
019471.OF,华夏信兴回报C,混合型,混合型-偏股,-3.78,-3.59,1.72,10.94,11.32,-0.03,455
019982.OF,泓德智选启元A,混合型,混合型-偏股,1.13,0.03,11.11,12.33,10.13,0.74,455
019679.OF,长城精选进取3个月持有C,混合型,混合型-偏股,-2.36,-2.75,2.54,10.06,10.61,0.05,440
019678.OF,长城精选进取3个月持有A,混合型,混合型-偏股,-2.34,-2.7,2.62,10.06,10.58,0.06,440
019244.OF,汇丰晋信龙腾C,混合型,混合型-偏股,-4.13,-5.44,8.28,24.57,19.47,0.26,455
018156.OF,创金合信全球医药生物C,股票型,主动股票型,-6.91,-12.25,-14.44,23.42,15.53,-0.7,445
020013.OF,中欧臻选成长C,混合型,混合型-偏股,-0.57,1.12,5.33,12.75,15.74,0.26,455
020004.OF,中欧臻选成长A,混合型,混合型-偏股,-0.53,1.19,5.46,12.75,15.72,0.27,455
018155.OF,创金合信全球医药生物A,股票型,主动股票型,-6.88,-12.19,-14.29,23.39,15.39,-0.7,444
007303.OF,京管泰富优势企业A,混合型,混合型-偏股,-3.75,-6.67,3.16,13.13,11.84,0.09,455
007304.OF,京管泰富优势企业C,混合型,混合型-偏股,-3.78,-6.71,3.07,13.13,11.89,0.08,455
019353.OF,招商精选企业C,混合型,混合型-偏股,-3.09,-1.75,10.03,12.3,11.56,0.65,455
019352.OF,招商精选企业A,混合型,混合型-偏股,-3.05,-1.68,10.17,12.3,11.52,0.66,455
019258.OF,恒越智选科技C,混合型,混合型-偏股,0.06,-7.42,-5.29,27.25,27.32,-0.27,455
019257.OF,恒越智选科技A,混合型,混合型-偏股,0.09,-7.37,-5.2,27.24,27.31,-0.26,455
017071.OF,申万菱信全球新能源A,股票型,主动股票型,1.02,0.79,10.81,16.23,15.01,0.54,444
019009.OF,东方红远见领航C,混合型,混合型-偏股,0.12,-2.3,9.3,13.72,16.01,0.53,455
017072.OF,申万菱信全球新能源C,股票型,主动股票型,1.0,0.76,10.74,16.23,15.03,0.54,444
019008.OF,东方红远见领航A,混合型,混合型-偏股,0.16,-2.24,9.43,13.73,15.99,0.54,455
019659.OF,万家养老目标日期2045三年持有,混合型,混合型-偏股,-2.25,-2.64,2.51,8.23,8.3,0.06,440
019034.OF,易方达高端制造C,混合型,混合型-偏股,1.91,4.39,11.62,22.4,16.91,0.43,455
020059.OF,博时卓越品牌C,混合型,混合型-偏股,1.22,1.83,-1.15,12.98,10.55,-0.24,455
019988.OF,万家红利量化选股C,混合型,混合型-偏股,-0.35,1.33,3.61,8.95,7.01,0.18,455
019657.OF,万家优选积极三个月持有A,混合型,混合型-偏股,-2.33,-3.48,5.48,15.25,14.69,0.23,440
019987.OF,万家红利量化选股A,混合型,混合型-偏股,-0.31,1.4,3.72,8.96,7.0,0.19,455
019658.OF,万家优选积极三个月持有C,混合型,混合型-偏股,-2.35,-3.52,5.41,15.25,14.71,0.22,440
019032.OF,易方达环保主题C,灵活配置型,混合型-平衡,3.09,9.87,17.14,18.72,14.14,0.81,455
