ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
026382.OF,中航洞见领航A,混合型,混合型-偏股,-2.77,-2.71,-2.69,7.03,3.34,-0.67,35
026383.OF,中航洞见领航C,混合型,混合型-偏股,-2.81,-2.78,-2.78,7.04,3.38,-0.68,35
026531.OF,富国鑫年C,混合型,混合型-偏股,0.06,0.19,0.68,2.08,0.67,-0.63,36
026468.OF,山证资管数字经济锐选A,股票型,主动股票型,-7.07,-12.27,-15.37,21.33,18.05,-0.81,37
026545.OF,中银养老目标日期2050五年持有Y,混合型,混合型-偏股,-3.29,-3.81,0.87,13.5,4.83,-0.08,39
026469.OF,山证资管数字经济锐选C,股票型,主动股票型,-7.11,-12.34,-15.46,21.35,18.1,-0.82,37
026174.OF,路博迈港股通科技C,股票型,主动股票型,-3.53,-4.89,-1.0,24.56,7.46,-0.12,37
026237.OF,广发平衡精选D,混合型,混合型-偏股,1.06,0.64,13.79,27.92,8.43,0.42,44
026235.OF,广发平衡精选A,混合型,混合型-偏股,1.09,0.71,13.87,27.92,8.42,0.42,44
026238.OF,广发平衡精选E,混合型,混合型-偏股,1.02,0.57,13.66,27.92,8.44,0.42,44
026236.OF,广发平衡精选C,混合型,混合型-偏股,1.06,0.64,13.75,27.92,8.43,0.42,44
026272.OF,上银消费机遇C,混合型,混合型-偏股,-8.72,-7.56,-3.35,16.33,10.18,-0.33,36
026271.OF,上银消费机遇A,混合型,混合型-偏股,-8.69,-7.51,-3.28,16.34,10.16,-0.32,36
026283.OF,东方红先锋锐选C,混合型,混合型-偏股,-2.16,-3.21,3.81,18.29,5.94,0.1,39
026282.OF,东方红先锋锐选A,混合型,混合型-偏股,-2.13,-3.15,3.9,18.32,5.94,0.1,39
026173.OF,路博迈港股通科技A,股票型,主动股票型,-3.49,-4.82,-0.89,24.58,7.4,-0.12,37
026285.OF,东方红嘉享C,混合型,混合型-偏股,2.66,4.09,11.46,28.19,8.22,0.34,39
026284.OF,东方红嘉享A,混合型,混合型-偏股,2.7,4.15,11.57,28.18,8.2,0.34,39
025325.OF,富达任远保守养老目标一年持有,混合型,混合型-偏股,-0.21,0.11,0.6,3.57,1.24,-0.39,37
026472.OF,益民创新优势C,混合型,混合型-偏股,-5.44,-7.54,1.95,15.17,8.0,-0.0,46
025987.OF,东海领航精选3个月持有D,混合型,混合型-偏股,-1.48,-1.27,-0.64,4.93,1.62,-0.54,43
025986.OF,东海领航精选3个月持有C,混合型,混合型-偏股,-1.5,-1.32,-0.75,4.93,1.63,-0.56,43
025985.OF,东海领航精选3个月持有A,混合型,混合型-偏股,-1.48,-1.27,-0.65,4.93,1.62,-0.54,43
026273.OF,平安数字经济精选A,混合型,混合型-偏股,-3.8,-13.92,-12.9,31.48,20.99,-0.47,42
025257.OF,汇添富多元配置三个月持有A,混合型,混合型-偏股,-0.13,0.25,1.56,5.28,1.84,-0.08,38
026188.OF,中邮周期精选C,混合型,混合型-偏股,2.62,0.76,11.33,35.07,9.53,0.27,39
026274.OF,平安数字经济精选C,混合型,混合型-偏股,-3.81,-13.96,-12.96,31.49,21.03,-0.48,42
025258.OF,汇添富多元配置三个月持有C,混合型,混合型-偏股,-0.16,0.2,1.48,5.26,1.84,-0.1,38
025368.OF,东财启和A,混合型,混合型-偏股,0.03,0.16,0.17,0.25,0.03,-7.35,31
025369.OF,东财启和C,混合型,混合型-偏股,0.01,0.12,0.11,0.24,0.04,-7.96,31
026332.OF,广发盛世精选A,混合型,混合型-偏股,-0.24,5.59,14.3,31.22,5.81,0.39,48
026187.OF,中邮周期精选A,混合型,混合型-偏股,2.68,0.86,11.48,35.1,9.51,0.27,39
026333.OF,广发盛世精选C,混合型,混合型-偏股,-0.27,5.51,14.17,31.22,5.83,0.39,48
024590.OF,中欧港股通机遇A,混合型,混合型-偏股,-8.71,-6.93,-4.04,18.27,10.74,-0.33,41
026081.OF,财通资管优质研选A,混合型,混合型-偏股,-0.06,-1.03,0.86,21.23,5.64,-0.05,33
024591.OF,中欧港股通机遇C,混合型,混合型-偏股,-8.72,-6.95,-4.11,18.27,10.75,-0.33,41
026082.OF,财通资管优质研选C,混合型,混合型-偏股,-0.09,-1.08,0.78,21.2,5.64,-0.06,33
026420.OF,大摩多因子策略C,混合型,混合型-偏股,-0.95,-2.82,9.03,17.06,6.17,0.41,50
025834.OF,博时集益多元配置3个月持有A,混合型,混合型-偏股,1.34,1.38,3.44,13.78,4.76,0.1,44
025837.OF,博时集益多元配置3个月持有C,混合型,混合型-偏股,1.3,1.32,3.34,13.76,4.76,0.1,44
026421.OF,大摩ESG量化先行C,混合型,混合型-偏股,-1.79,-5.14,3.69,17.22,6.22,0.1,50
026167.OF,国泰港股通精选A,混合型,混合型-偏股,-9.87,-8.63,-5.47,20.92,12.78,-0.36,38
026168.OF,国泰港股通精选C,混合型,混合型-偏股,-9.89,-8.68,-5.55,20.89,12.81,-0.36,38
026323.OF,广发消费智选A,混合型,混合型-偏股,-7.48,-7.96,-4.41,14.16,9.78,-0.45,50
026324.OF,广发消费智选C,混合型,混合型-偏股,-7.52,-8.04,-4.48,14.17,9.83,-0.46,50
026327.OF,广发乾元价值增长A,混合型,混合型-偏股,0.52,-0.21,5.05,19.41,6.87,0.16,50
026328.OF,广发乾元价值增长C,混合型,混合型-偏股,0.48,-0.29,4.94,19.41,6.88,0.15,50
026140.OF,财信芙璟A,混合型,混合型-偏股,-0.19,-0.04,0.13,2.93,0.88,-0.64,53
026141.OF,财信芙璟C,混合型,混合型-偏股,-0.22,-0.09,0.05,2.92,0.88,-0.67,53
025716.OF,安联睿利6个月持有C,混合型,混合型-偏股,-0.54,-1.71,-0.28,7.18,3.08,-0.32,33
026069.OF,新华低碳经济C,混合型,混合型-偏股,-10.29,-7.1,6.21,59.42,12.58,0.07,40
025715.OF,安联睿利6个月持有A,混合型,混合型-偏股,-0.51,-1.67,-0.2,7.2,3.04,-0.31,33
026068.OF,新华低碳经济A,混合型,混合型-偏股,-10.26,-7.06,6.29,59.42,12.55,0.07,40
026112.OF,建信智远多元配置3个月持有C,混合型,混合型-偏股,-0.04,0.28,2.28,5.92,2.13,0.05,47
026111.OF,建信智远多元配置3个月持有A,混合型,混合型-偏股,-0.02,0.31,2.32,5.88,2.11,0.05,47
024057.OF,宏利鼎森稳健3个月持有A,混合型,混合型-偏股,-0.2,-0.03,0.12,1.25,0.49,-1.5,57
024058.OF,宏利鼎森稳健3个月持有C,混合型,混合型-偏股,-0.23,-0.08,0.04,1.26,0.5,-1.55,57
026014.OF,广发新锐智选C,混合型,混合型-偏股,0.06,-0.7,11.15,15.75,6.02,0.58,60
026099.OF,平安盈安3个月持有A,混合型,混合型-偏股,0.17,0.43,1.39,4.4,1.57,-0.14,39
026100.OF,平安盈安3个月持有C,混合型,混合型-偏股,0.15,0.39,1.32,4.38,1.57,-0.16,39
026219.OF,泰康金泰回报3个月持有C,混合型,混合型-偏股,-0.35,0.08,0.67,2.63,0.78,-0.51,62
026202.OF,上银丰泽A,混合型,混合型-偏股,-1.87,-3.56,0.5,11.41,4.09,-0.13,39
026203.OF,上银丰泽C,混合型,混合型-偏股,-1.89,-3.59,0.44,11.39,4.12,-0.14,39
025036.OF,国联多元配置3个月持有A,混合型,混合型-偏股,-0.31,0.09,1.31,3.43,1.13,-0.2,44
025957.OF,新华科技优选C,混合型,混合型-偏股,-3.06,-6.17,2.19,28.87,8.86,0.01,47
025956.OF,新华科技优选A,混合型,混合型-偏股,-3.03,-6.12,2.28,28.88,8.86,0.01,47
026090.OF,上银医疗创新C,混合型,混合型-偏股,-7.95,-9.3,-9.01,31.13,20.28,-0.35,45
026089.OF,上银医疗创新A,混合型,混合型-偏股,-7.94,-9.27,-8.95,31.15,20.24,-0.35,45
025310.OF,国泰海通招阳,混合型,混合型-偏股,-1.6,1.73,3.09,11.93,4.47,0.09,64
025037.OF,国联多元配置3个月持有C,混合型,混合型-偏股,-0.32,0.05,1.24,3.38,1.13,-0.22,45
025581.OF,财通消费优选C,混合型,混合型-偏股,-2.15,-3.08,-2.03,19.05,5.88,-0.21,39
025580.OF,财通消费优选A,混合型,混合型-偏股,-2.12,-3.01,-1.9,19.07,5.83,-0.2,39
026210.OF,平安科技精选A,混合型,混合型-偏股,5.87,21.36,16.16,40.91,8.68,0.35,56
026211.OF,平安科技精选C,混合型,混合型-偏股,5.81,21.27,16.04,40.88,8.7,0.34,56
025853.OF,富国港股精选美元,混合型,混合型-偏股,-2.74,-0.93,5.59,14.65,4.26,0.25,50
025852.OF,富国港股精选,混合型,混合型-偏股,-3.31,-2.19,3.01,14.88,5.11,0.07,47
026290.OF,红土创新科技创新C,股票型,主动股票型,6.03,15.14,17.9,39.51,7.0,0.4,70
026293.OF,红土创新转型精选C,灵活配置型,混合型-平衡,5.74,14.06,17.41,38.94,6.88,0.4,70
025859.OF,民生加银多元稳健配置3个月持有C,混合型,混合型-偏股,-0.24,0.37,2.03,3.92,1.32,0.01,51
026101.OF,前海开源康悦稳健养老一年持有Y,混合型,混合型-偏股,0.34,0.79,4.88,6.15,2.16,0.47,70
026156.OF,鑫元鑫选盈泰进取配置3个月持有A,混合型,混合型-偏股,-0.63,-0.91,5.02,17.16,4.45,0.18,40
025858.OF,民生加银多元稳健配置3个月持有A,混合型,混合型-偏股,-0.21,0.42,2.13,3.91,1.3,0.03,51
025914.OF,平安盈顺3个月持有C,混合型,混合型-偏股,0.1,0.09,1.56,3.57,1.55,-0.12,57
025913.OF,平安盈顺3个月持有A,混合型,混合型-偏股,0.12,0.12,1.62,3.59,1.56,-0.11,57
025702.OF,惠升均衡回报A,混合型,混合型-偏股,-2.83,-6.02,1.11,17.87,6.99,-0.05,49
025703.OF,惠升均衡回报C,混合型,混合型-偏股,-2.85,-6.06,1.02,17.86,7.04,-0.05,49
025265.OF,华商汇享多元配置3个月持有C,混合型,混合型-偏股,-0.76,-0.35,0.56,3.71,1.23,-0.39,35
025264.OF,华商汇享多元配置3个月持有A,混合型,混合型-偏股,-0.73,-0.28,0.66,3.7,1.18,-0.36,35
025828.OF,中欧多元平衡A,混合型,混合型-偏股,-0.52,1.01,1.27,5.28,1.58,-0.14,32
025829.OF,中欧多元平衡C,混合型,混合型-偏股,-0.54,0.93,1.17,5.25,1.59,-0.16,32
026078.OF,中航卓越领航A,混合型,混合型-偏股,-9.66,-15.01,-5.13,23.82,18.88,-0.3,80
026079.OF,中航卓越领航C,混合型,混合型-偏股,-9.7,-15.08,-5.25,23.81,18.96,-0.3,80
026105.OF,万家如意添瑞三个月持有A,混合型,混合型-偏股,-0.15,-0.04,0.97,2.59,1.27,-0.4,69
026106.OF,万家如意添瑞三个月持有C,混合型,混合型-偏股,-0.18,-0.07,0.92,2.59,1.27,-0.42,69
025813.OF,富国智恒稳健90天持有C,混合型,混合型-偏股,0.02,1.32,1.43,3.47,0.86,-0.16,35
026245.OF,红土创新新兴产业C,灵活配置型,混合型-平衡,5.36,13.27,13.43,39.6,8.03,0.29,82
025812.OF,富国智恒稳健90天持有A,混合型,混合型-偏股,0.04,1.39,1.53,3.49,0.85,-0.13,35
025674.OF,鑫元港股通领航A,混合型,混合型-偏股,-2.99,-2.78,1.95,20.15,6.87,-0.0,79
025673.OF,鑫元港股通领航C,混合型,混合型-偏股,-3.21,-3.02,1.67,20.02,6.88,-0.02,79
025969.OF,建信科技智选C,股票型,主动股票型,-1.38,-5.74,8.97,38.47,10.3,0.18,46
025968.OF,建信科技智选A,股票型,主动股票型,-1.35,-5.71,9.08,38.48,10.29,0.18,46
025943.OF,财通泰和多资产一年持有,混合型,混合型-偏股,0.5,0.42,3.22,5.51,2.42,0.22,81
026228.OF,富国全球科技互联网D,股票型,主动股票型,-7.49,-8.17,-2.29,17.66,12.11,-0.24,83
025871.OF,圆信永丰沪港深消费精选C,混合型,混合型-偏股,-6.29,-6.97,-6.6,6.52,8.42,-1.32,83
025904.OF,兴证资管恒睿致胜A,混合型,混合型-偏股,0.05,0.23,0.71,2.16,0.81,-0.6,76
025905.OF,兴证资管恒睿致胜C,混合型,混合型-偏股,0.04,0.2,0.66,2.15,0.81,-0.62,76
025870.OF,圆信永丰沪港深消费精选A,混合型,混合型-偏股,-6.28,-6.96,-6.58,6.51,8.41,-1.32,83
025898.OF,景顺长城和熙稳进三个月持有A,混合型,混合型-偏股,0.14,0.18,1.19,2.25,0.87,-0.36,50
025899.OF,景顺长城和熙稳进三个月持有C,混合型,混合型-偏股,0.12,0.14,1.11,2.24,0.87,-0.4,50
025223.OF,创金合信弘科C,混合型,混合型-偏股,-3.28,-6.59,8.94,26.75,7.7,0.26,39
025222.OF,创金合信弘科A,混合型,混合型-偏股,-3.25,-6.53,9.11,26.78,7.64,0.27,39
019655.OF,农银鑫享稳健养老目标一年持有Y,混合型,混合型-偏股,-0.58,-0.7,1.93,4.8,2.01,-0.01,85
026139.OF,汇安均衡优选C,混合型,混合型-偏股,1.22,3.97,2.02,8.74,3.31,0.0,86
026227.OF,恒越优势精选C,混合型,混合型-偏股,1.73,-4.73,-0.35,25.45,9.88,-0.09,88
025847.OF,中海港股通睿选C,混合型,混合型-偏股,-8.25,3.34,-2.87,41.93,11.24,-0.12,36
025838.OF,中海港股通睿选A,混合型,混合型-偏股,-8.22,3.46,-2.71,41.93,11.19,-0.11,36
025393.OF,建信红利严选C,混合型,混合型-偏股,-1.34,1.42,2.68,13.83,5.06,0.05,51
025392.OF,建信红利严选A,混合型,混合型-偏股,-1.31,1.47,2.8,13.85,5.02,0.06,51
025573.OF,光大阳光A,混合型,混合型-偏股,-1.33,-1.26,3.29,12.88,5.31,0.1,86
025574.OF,光大阳光C,混合型,混合型-偏股,-1.31,-1.2,3.37,12.89,5.31,0.11,86
025575.OF,光大阳光D,混合型,混合型-偏股,-1.33,-1.26,3.28,12.87,5.3,0.1,86
025584.OF,光大阳光智造A,混合型,混合型-偏股,-2.21,-3.36,-0.81,11.61,5.49,-0.24,86
025566.OF,光大阳光价值30个月持有D,混合型,混合型-偏股,-0.05,-0.27,6.45,13.15,4.46,0.34,86
025559.OF,光大阳光启明星创新驱动主题C,混合型,混合型-偏股,1.73,-0.1,8.22,16.7,5.83,0.37,86
025567.OF,光大阳光价值30个月持有E,混合型,混合型-偏股,-0.04,-0.25,6.49,13.16,4.46,0.34,86
025585.OF,光大阳光智造C,混合型,混合型-偏股,-2.23,-3.4,-0.88,11.61,5.51,-0.25,86
025560.OF,光大阳光启明星创新驱动主题D,混合型,混合型-偏股,1.81,0.03,8.44,16.72,5.82,0.39,86
025586.OF,光大阳光智造D,混合型,混合型-偏股,-2.2,-3.36,-0.8,11.61,5.49,-0.24,86
025569.OF,光大阳光稳健增长C,混合型,混合型-偏股,-0.54,-0.22,3.48,10.29,4.26,0.14,86
025568.OF,光大阳光稳健增长A,混合型,混合型-偏股,-0.51,-0.18,3.57,10.3,4.26,0.15,86
024659.OF,国联价值均衡C,混合型,混合型-偏股,-0.05,-0.1,0.24,1.36,0.44,-1.29,42
024658.OF,国联价值均衡A,混合型,混合型-偏股,-0.04,-0.08,0.29,1.37,0.43,-1.25,42
025533.OF,光大阳光优选一年持有A,混合型,混合型-偏股,-2.0,-2.61,1.37,9.24,3.96,-0.07,86
025534.OF,光大阳光优选一年持有C,混合型,混合型-偏股,-2.04,-2.68,1.25,9.24,4.01,-0.08,86
025558.OF,光大阳光启明星创新驱动主题A,混合型,混合型-偏股,1.74,-0.03,8.34,16.7,5.82,0.38,86
025535.OF,光大阳光优选一年持有D,混合型,混合型-偏股,-1.98,-2.57,1.45,9.24,3.92,-0.06,86
025536.OF,光大阳光优选一年持有E,混合型,混合型-偏股,-1.96,-2.54,1.49,9.26,3.91,-0.05,86
025845.OF,华安消费智选A,混合型,混合型-偏股,-6.44,-5.87,-2.48,14.27,9.68,-0.31,65
025540.OF,光大阳光优选一年持有F,混合型,混合型-偏股,-2.0,-2.61,1.37,9.24,3.96,-0.07,86
025846.OF,华安消费智选C,混合型,混合型-偏股,-6.48,-5.92,-2.57,14.3,9.72,-0.32,65
025565.OF,光大阳光价值30个月持有A,混合型,混合型-偏股,-0.08,-0.32,6.37,13.15,4.47,0.33,86
024819.OF,中欧医药生物C,混合型,混合型-偏股,-7.65,-9.28,-8.25,29.44,14.31,-0.35,32
024818.OF,中欧医药生物A,混合型,混合型-偏股,-7.63,-9.17,-8.11,29.43,14.25,-0.34,32
025839.OF,恒生前海成长领航A,混合型,混合型-偏股,-1.99,-4.58,-1.86,10.28,6.42,-0.38,61
025587.OF,光大阳光香港精选A,混合型,混合型-偏股,-7.62,-7.02,-4.04,15.23,10.85,-0.4,87
025840.OF,恒生前海成长领航C,混合型,混合型-偏股,-2.02,-4.65,-1.95,10.28,6.48,-0.38,61
025589.OF,光大阳光香港精选C,混合型,混合型-偏股,-7.66,-7.09,-4.15,15.23,10.91,-0.4,87
025588.OF,光大阳光香港精选美元A,混合型,混合型-偏股,-6.94,-5.58,-1.9,15.29,9.78,-0.25,87
025694.OF,中银港股通消费精选A,混合型,混合型-偏股,-9.5,-9.41,-8.13,14.37,11.24,-0.7,53
025695.OF,中银港股通消费精选C,混合型,混合型-偏股,-9.51,-9.44,-8.23,14.37,11.27,-0.71,53
025736.OF,华西科技成长,股票型,主动股票型,-4.07,-5.28,2.41,23.46,7.85,0.02,61
026201.OF,诺安利鑫D,灵活配置型,混合型-平衡,3.01,3.66,16.16,17.02,6.16,0.83,94
025684.OF,易方达优势进取A,混合型,混合型-偏股,-0.51,1.06,0.97,7.67,1.29,-0.13,32
025685.OF,易方达优势进取C,混合型,混合型-偏股,-0.54,0.94,0.83,7.64,1.3,-0.15,32
025820.OF,银华多策略稳健三个月持有A,混合型,混合型-偏股,0.15,1.52,1.2,3.08,0.32,-0.26,31
025821.OF,银华多策略稳健三个月持有C,混合型,混合型-偏股,0.11,1.43,1.09,3.06,0.34,-0.3,31
025940.OF,浦银安盛港股通消费A,混合型,混合型-偏股,-8.97,-8.55,-7.7,14.89,11.35,-0.65,41
025941.OF,浦银安盛港股通消费C,混合型,混合型-偏股,-8.99,-8.6,-7.8,14.91,11.39,-0.66,41
025808.OF,浦银安盛盈鑫多元配置90天持有A,混合型,混合型-偏股,0.03,0.17,1.45,3.68,2.04,-0.15,89
025809.OF,浦银安盛盈鑫多元配置90天持有C,混合型,混合型-偏股,0.01,0.13,1.38,3.69,2.05,-0.17,89
025245.OF,国泰全景多资产配置3个月持有C,混合型,混合型-偏股,-0.47,-0.19,2.18,4.31,1.49,0.04,65
025244.OF,国泰全景多资产配置3个月持有A,混合型,混合型-偏股,-0.44,-0.15,2.26,4.31,1.48,0.06,65
026126.OF,山证资管改革精选C,灵活配置型,混合型-平衡,-10.46,-14.84,4.88,27.11,15.96,0.11,99
026137.OF,山证资管策略精选C,灵活配置型,混合型-平衡,2.33,7.75,-1.63,36.6,10.17,-0.1,99
025934.OF,中欧价值裕享C,混合型,混合型-偏股,2.08,5.23,5.26,14.45,3.6,0.23,30
025933.OF,中欧价值裕享A,混合型,混合型-偏股,2.11,5.34,5.38,14.48,3.59,0.23,30
026153.OF,国泰海通君得明C,混合型,混合型-偏股,1.55,0.39,10.1,19.97,6.77,0.41,99
026155.OF,红土创新新科技C,股票型,主动股票型,5.86,16.2,21.1,36.67,7.36,0.52,99
026154.OF,红土创新医疗保健C,股票型,主动股票型,1.22,-2.68,1.9,22.07,13.8,-0.0,99
025794.OF,中欧新能源主题A,混合型,混合型-偏股,2.53,13.85,12.88,41.15,4.76,0.26,33
025795.OF,中欧新能源主题C,混合型,混合型-偏股,2.5,13.7,12.69,41.11,4.76,0.26,33
025667.OF,银华鑫禾C,混合型,混合型-偏股,-4.66,-4.11,-4.3,13.8,8.4,-0.46,32
025666.OF,银华鑫禾A,混合型,混合型-偏股,-4.64,-3.98,-4.14,13.83,8.33,-0.44,32
025391.OF,平安港股通成长精选C,混合型,混合型-偏股,-9.01,-9.76,-1.13,25.29,14.36,-0.12,56
025390.OF,平安港股通成长精选A,混合型,混合型-偏股,-9.08,-9.79,-1.07,25.24,14.4,-0.12,56
025319.OF,金元顺安乾丰稳健A,混合型,混合型-偏股,2.49,1.0,5.72,10.57,3.47,0.35,71
025918.OF,易方达科技先锋A,混合型,混合型-偏股,0.56,5.48,5.79,19.34,4.69,0.2,35
025919.OF,易方达科技先锋C,混合型,混合型-偏股,0.52,5.38,5.63,19.35,4.71,0.19,35
024900.OF,西部利得专精特新量化选股A,混合型,混合型-偏股,0.99,-2.43,6.99,15.14,6.87,0.33,104
024901.OF,西部利得专精特新量化选股C,混合型,混合型-偏股,0.97,-2.48,6.9,15.14,6.88,0.32,104
025320.OF,金元顺安乾丰稳健C,混合型,混合型-偏股,2.48,0.97,5.67,10.56,3.48,0.35,71
025990.OF,中欧鑫悦回报一年持有C,混合型,混合型-偏股,-1.46,2.21,2.91,10.28,1.98,0.09,39
025953.OF,交银远见成长C,混合型,混合型-偏股,-0.21,0.89,2.2,4.25,1.08,0.05,67
025131.OF,银华聚享多元配置三个月持有A,混合型,混合型-偏股,-0.15,0.64,0.61,1.41,0.26,-0.99,33
025989.OF,中欧鑫悦回报一年持有A,混合型,混合型-偏股,-1.34,2.42,3.19,10.36,1.94,0.11,39
025132.OF,银华聚享多元配置三个月持有C,混合型,混合型-偏股,-0.19,0.54,0.49,1.36,0.26,-1.11,33
025773.OF,中金丰裕稳健一年持有A,混合型,混合型-偏股,-0.66,-1.09,0.49,3.76,1.79,-0.4,107
025774.OF,中金丰裕稳健一年持有C,混合型,混合型-偏股,-0.68,-1.13,0.41,3.75,1.8,-0.42,107
025772.OF,中金安心回报C,混合型,混合型-偏股,0.23,-0.12,2.4,3.33,1.4,0.12,107
025771.OF,中金安心回报A,混合型,混合型-偏股,0.25,-0.08,2.47,3.33,1.39,0.14,107
025948.OF,交银远见成长A,混合型,混合型-偏股,-0.19,0.93,2.28,4.24,1.06,0.06,67
025081.OF,前海开源裕泰3个月持有C,混合型,混合型-偏股,-1.19,-1.6,8.33,16.37,5.82,0.39,57
025080.OF,前海开源裕泰3个月持有A,混合型,混合型-偏股,-1.16,-1.57,8.45,16.39,5.82,0.39,57
025314.OF,交银臻享多资产三个月持有C,混合型,混合型-偏股,-0.33,1.33,1.22,3.69,0.71,-0.21,33
025313.OF,交银臻享多资产三个月持有A,混合型,混合型-偏股,-0.3,1.43,1.34,3.73,0.72,-0.18,33
026015.OF,宏利印度C,股票型,主动股票型,-3.69,-1.8,-7.07,9.19,9.84,-0.99,111
025814.OF,富国恒益3个月持有A,混合型,混合型-偏股,-0.41,-0.3,1.04,6.71,2.78,-0.14,45
025924.OF,平安新能源精选C,混合型,混合型-偏股,0.19,-3.48,12.01,24.67,14.02,0.41,111
025923.OF,平安新能源精选A,混合型,混合型-偏股,0.22,-3.43,12.14,24.69,13.98,0.41,111
025688.OF,中金阿尔法优选A,混合型,混合型-偏股,0.09,-2.0,10.99,17.1,5.49,0.53,81
025709.OF,汇添富价值驱动A,混合型,混合型-偏股,1.24,8.25,8.46,20.25,3.39,0.32,37
025815.OF,富国恒益3个月持有C,混合型,混合型-偏股,-0.43,-0.34,0.94,6.72,2.78,-0.16,45
025689.OF,中金阿尔法优选C,混合型,混合型-偏股,0.04,-2.07,10.85,17.09,5.49,0.52,81
025710.OF,汇添富价值驱动C,混合型,混合型-偏股,1.2,8.15,8.3,20.22,3.39,0.31,37
024841.OF,信澳高端装备A,混合型,混合型-偏股,0.12,-5.71,9.61,25.14,8.02,0.3,79
025510.OF,富国智悦稳健90天持有C,混合型,混合型-偏股,0.03,0.1,0.6,1.97,0.73,-0.71,48
024842.OF,信澳高端装备C,混合型,混合型-偏股,0.09,-5.78,9.48,25.15,8.05,0.3,79
025509.OF,富国智悦稳健90天持有A,混合型,混合型-偏股,0.05,0.13,0.69,1.96,0.73,-0.67,48
025988.OF,鹏华创新未来A,混合型,混合型-偏股,-0.86,-9.08,-13.53,30.13,14.98,-0.52,120
025884.OF,东方城镇消费主题C,混合型,混合型-偏股,-14.12,-17.85,-14.68,20.24,23.5,-0.82,123
025776.OF,鹏华启航量化选股,混合型,混合型-偏股,0.42,-1.17,6.34,13.01,3.75,0.33,49
025760.OF,海富通聚优精选C,混合型,混合型-偏股,-0.32,-1.26,5.49,14.53,7.79,0.24,122
025717.OF,富国兴和A,混合型,混合型-偏股,0.31,2.92,3.79,10.57,2.6,0.17,43
025718.OF,富国兴和C,混合型,混合型-偏股,0.27,2.8,3.58,10.54,2.6,0.15,43
019437.OF,华商科创创业精选A,混合型,混合型-偏股,-2.94,-4.8,26.85,42.22,9.76,0.59,57
025511.OF,广发信息产业A,股票型,主动股票型,-1.89,-1.17,-1.63,5.84,3.82,-0.62,44
025405.OF,苏新睿见量化选股C,股票型,主动股票型,-0.85,-3.09,5.63,15.23,5.28,0.24,60
025386.OF,万家智胜量化选股A,股票型,主动股票型,-0.73,-3.48,2.22,15.21,6.33,0.01,90
025387.OF,万家智胜量化选股C,股票型,主动股票型,-0.76,-3.54,2.12,15.21,6.37,0.01,90
024673.OF,永赢价值回报C,混合型,混合型-偏股,-0.25,3.21,6.13,13.15,3.66,0.31,61
025824.OF,易方达产业优选A,混合型,混合型-偏股,3.29,8.26,9.16,25.54,6.29,0.28,46
025657.OF,国金智远量化选股C,混合型,混合型-偏股,-0.57,2.63,11.74,23.18,4.54,0.42,47
025942.OF,广发新动力C,混合型,混合型-偏股,-8.51,-14.97,3.08,26.39,17.06,0.04,127
025486.OF,中邮新锐量化选股A,混合型,混合型-偏股,-0.55,2.05,15.04,18.94,6.36,0.69,72
025825.OF,易方达产业优选C,混合型,混合型-偏股,3.25,8.17,8.97,25.52,6.29,0.27,46
025404.OF,苏新睿见量化选股A,股票型,主动股票型,-0.81,-3.02,5.81,15.24,5.21,0.25,60
019438.OF,华商科创创业精选C,混合型,混合型-偏股,-2.97,-4.85,26.7,42.22,9.79,0.59,57
025487.OF,中邮新锐量化选股C,混合型,混合型-偏股,-0.59,1.99,14.9,18.94,6.37,0.68,72
025656.OF,国金智远量化选股A,混合型,混合型-偏股,-0.53,2.7,11.93,23.22,4.53,0.43,47
025512.OF,广发信息产业C,股票型,主动股票型,-1.94,-1.29,-1.84,5.82,3.9,-0.66,44
024672.OF,永赢价值回报A,混合型,混合型-偏股,-0.22,3.29,6.31,13.15,3.65,0.33,61
025770.OF,中金进取回报C,混合型,混合型-偏股,-4.36,-8.79,7.28,22.66,14.01,0.23,131
025769.OF,中金进取回报A,混合型,混合型-偏股,-4.34,-8.74,7.37,22.66,14.0,0.24,131
025854.OF,中信保诚消费机遇A,混合型,混合型-偏股,-7.64,-5.64,-2.3,10.05,9.12,-0.43,118
025855.OF,中信保诚消费机遇C,混合型,混合型-偏股,-7.68,-5.71,-2.43,10.05,9.15,-0.44,118
025466.OF,百嘉瑞丰量化选股A,混合型,混合型-偏股,0.23,1.56,5.88,5.6,2.51,0.69,133
025949.OF,诺安研究精选C,股票型,主动股票型,0.78,-8.13,27.16,33.14,11.34,0.76,134
024214.OF,华安优势领航A,混合型,混合型-偏股,-2.31,3.18,4.08,17.79,4.39,0.12,46
024866.OF,圆信永丰新材料A,混合型,混合型-偏股,4.81,-0.26,12.63,21.28,9.61,0.5,134
024330.OF,华夏资源精选A,混合型,混合型-偏股,-1.33,0.43,18.24,28.08,11.73,0.58,109
024215.OF,华安优势领航C,混合型,混合型-偏股,-2.35,3.07,3.86,17.78,4.4,0.1,46
024867.OF,圆信永丰新材料C,混合型,混合型-偏股,4.8,-0.26,12.6,21.29,9.61,0.5,134
024331.OF,华夏资源精选C,混合型,混合型-偏股,-1.51,0.23,17.95,28.03,11.74,0.57,109
