ts_code,name,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,quality_score,percentile_1y,percentile_6m
018147.OF,建信新兴市场优选C,混合型-偏股,2.64,10.52,21.54,22.94,18.52,0.85,74.6,97.83773440489858,98.7926408585665
017801.OF,汇添富战略精选中小盘市值3年持有A,混合型-偏股,2.53,2.42,13.26,15.8,13.99,0.71,74.6,90.73861461921165,88.82713683403603
016332.OF,长城产业臻选A,混合型-偏股,11.01,8.94,18.28,19.62,18.66,0.83,74.5,96.36433218522772,98.31353008815638
014788.OF,长城产业趋势A,混合型-偏股,10.83,8.86,18.13,19.5,18.71,0.83,74.4,96.26865671641792,98.27520122652356
017876.OF,汇添富新能源精选A,混合型-偏股,4.09,5.36,14.79,19.2,14.46,0.67,74.1,92.90088021431303,95.40053660406286
016049.OF,华商甄选回报C,混合型-偏股,0.75,8.98,14.39,16.16,16.17,0.77,74.1,92.42250287026408,98.3326945189728
015145.OF,同泰新能源优选1年持有A,主动股票型,5.84,2.87,23.0,23.69,19.92,0.89,73.8,97.05882352941175,85.12110726643598
013157.OF,前海开源新经济C,混合型-平衡,0.44,4.41,15.88,17.46,17.51,0.79,73.5,92.17758985200844,91.12050739957716
011238.OF,华安聚恒精选A,混合型-偏股,4.46,5.17,15.02,18.36,15.86,0.71,73.5,93.37925755836204,95.20889229589882
019189.OF,华商品质价值A,混合型-偏股,0.26,8.22,13.71,16.79,15.17,0.7,73.4,91.52315346345196,97.87274817937907
017916.OF,国寿安保成长优选C,主动股票型,5.04,7.52,24.71,22.67,23.75,1.0,73.3,98.44290657439446,98.2698961937716
018549.OF,金鹰研究驱动A,混合型-偏股,-0.25,2.47,13.14,14.51,16.49,0.77,73.1,90.50899349406812,88.98045228056726
014837.OF,汇添富创新活力D,混合型-偏股,-0.85,2.86,13.85,14.4,18.11,0.82,72.9,91.81017986988137,90.59026446914528
021842.OF,国富全球科技互联人民币C,混合型-偏股,-0.49,1.45,14.25,18.88,15.02,0.65,72.8,92.25028702640644,84.13185128401686
021662.OF,国富亚洲机会C,主动股票型,0.41,4.17,19.68,18.68,22.96,0.95,72.8,94.80968858131487,91.00346020761243
017132.OF,中银新能源产业A,主动股票型,9.23,9.2,19.12,21.44,19.05,0.8,72.7,94.29065743944636,98.78892733564014
013294.OF,东方红智选三年持有A,混合型-偏股,4.78,9.04,15.97,19.69,17.14,0.71,72.7,94.60390355912745,98.4093522422384
011790.OF,建信创新驱动,混合型-偏股,7.16,9.47,15.62,20.33,16.22,0.67,72.5,94.2020665901263,98.60099655040246
019691.OF,华商产业机遇C,混合型-偏股,0.02,4.01,13.19,16.61,15.34,0.67,72.3,90.60466896287792,93.38827136834036
024808.OF,华夏成长动力A,混合型-偏股,1.37,1.43,13.76,18.38,15.18,0.64,72.2,91.63796402602374,83.88271368340361
016560.OF,永赢启源A,混合型-偏股,1.46,1.92,16.09,19.36,18.81,0.73,71.5,94.79525449674703,86.64239172096589
012301.OF,易方达核心智造,混合型-偏股,3.89,5.84,16.73,21.72,17.27,0.68,71.4,95.25449674703404,95.975469528555
014653.OF,建信卓越成长一年持有A,混合型-偏股,6.42,8.37,14.8,20.16,16.58,0.63,71.0,92.95828549559891,98.02606362591033
018817.OF,景顺长城中小创C,主动股票型,2.76,4.6,15.59,18.37,18.76,0.74,70.9,90.3114186851211,93.42560553633218
011093.OF,永赢宏泽一年定开,混合型-平衡,1.57,2.52,15.02,19.31,17.46,0.67,70.8,91.33192389006342,85.62367864693447
018973.OF,华商科创板量化选股A,混合型-偏股,0.69,12.19,14.79,20.79,16.48,0.62,70.6,92.93915040183695,99.1759294748946
016182.OF,华安安进灵活配置C,混合型-平衡,3.62,11.32,16.9,23.38,16.59,0.64,70.3,93.65750528541226,99.15433403805496
013507.OF,华安制造先锋C,混合型-偏股,6.0,7.79,14.9,19.67,18.08,0.66,70.2,93.14963643321852,97.5277884246838
015904.OF,广发新能源精选A,主动股票型,4.31,5.58,16.73,20.61,19.37,0.71,70.0,91.86851211072664,95.50173010380622
