ts_code,name,category,analysis_type,quality_score,return_1y,sharpe,volatility,max_drawdown,quarters,quarter_stats,total_stocks,persistent_stocks,stability_ratio,investment_style,note
023448.OF,上银资源精选A,混合型-偏股,标准档案,88.6,23.74,1.01,21.45,10.75,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021095.OF,东方低碳经济C,混合型-偏股,标准档案,81.3,20.31,0.87,21.07,13.57,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021094.OF,东方低碳经济A,混合型-偏股,标准档案,81.4,20.42,0.87,21.07,13.52,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023036.OF,中欧资源精选A,混合型-偏股,标准档案,80.0,22.03,0.84,23.93,13.56,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022327.OF,宏利高端装备A,主动股票型,标准档案,94.6,22.9,1.51,13.81,8.34,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022328.OF,宏利高端装备C,主动股票型,标准档案,94.6,22.81,1.51,13.81,8.35,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023097.OF,安信比较优势C,混合型-平衡,标准档案,85.2,15.01,1.05,12.4,11.01,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022148.OF,诺安价值增长C,混合型-偏股,标准档案,94.8,26.98,1.53,16.33,10.54,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022149.OF,诺安价值增长D,混合型-偏股,标准档案,94.9,27.09,1.54,16.33,10.54,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022755.OF,易方达科鑫量化选股C,主动股票型,标准档案,85.6,20.25,1.16,15.68,13.65,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022754.OF,易方达科鑫量化选股A,主动股票型,标准档案,85.8,20.34,1.17,15.69,13.62,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022270.OF,中信保诚周期优选C,混合型-偏股,标准档案,91.3,25.34,1.26,18.48,11.47,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022269.OF,中信保诚周期优选A,混合型-偏股,标准档案,91.4,25.48,1.27,18.49,11.45,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022167.OF,富国资源精选C,混合型-偏股,标准档案,89.5,23.56,1.22,17.62,12.47,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021875.OF,路博迈资源精选A,主动股票型,标准档案,81.9,24.11,1.01,21.95,15.97,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021876.OF,路博迈资源精选C,主动股票型,标准档案,81.7,23.91,1.0,21.94,16.0,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021973.OF,天弘优势企业A,混合型-偏股,标准档案,83.7,16.17,0.97,14.56,12.12,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021974.OF,天弘优势企业C,混合型-偏股,标准档案,83.4,16.03,0.96,14.55,12.14,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021145.OF,银华甄选价值成长A,混合型-偏股,标准档案,91.6,27.91,1.4,18.46,13.1,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021146.OF,银华甄选价值成长C,混合型-偏股,标准档案,91.6,27.81,1.4,18.45,13.13,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021694.OF,银华抗通胀主题C,混合型-偏股,标准档案,80.5,13.08,0.82,13.55,10.74,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
018231.OF,易方达全球优质企业美元现汇A,混合型-偏股,标准档案,83.2,15.86,0.93,14.9,11.79,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
018232.OF,易方达全球优质企业美元现汇C,混合型-偏股,标准档案,83.1,15.76,0.93,14.88,11.81,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
019578.OF,摩根全球天然资源C,混合型-偏股,标准档案,80.8,15.59,0.93,14.68,13.55,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
019157.OF,易方达全球配置美元现汇A,混合型-偏股,标准档案,90.1,17.76,1.11,14.24,9.28,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
019155.OF,易方达全球配置A,混合型-偏股,标准档案,86.2,15.21,0.93,14.24,8.91,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
019156.OF,易方达全球配置C,混合型-偏股,标准档案,85.9,15.09,0.92,14.22,8.93,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
019158.OF,易方达全球配置美元现汇C,混合型-偏股,标准档案,89.7,17.59,1.09,14.25,9.28,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
