ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
013284.OF,上银价值增长3个月持有A,混合型,混合型-偏股,2.8,2.74,15.47,11.5,6.45,1.17,455,518.0,90.09198926791875,315.0,93.99158055874473,90.8,
014538.OF,长城研究精选C,混合型,混合型-偏股,5.12,12.17,25.24,20.53,19.03,1.13,455,45.0,99.15676504407818,65.0,98.7753539992346,80.7,
014058.OF,富国金安均衡精选C,混合型,混合型-偏股,3.7,5.85,18.03,14.0,13.09,1.14,455,209.0,96.01379839018782,200.0,96.19211634137007,85.4,
014057.OF,富国金安均衡精选A,混合型,混合型-偏股,3.74,5.93,18.17,14.0,13.08,1.15,455,204.0,96.10962054426983,195.0,96.28779181017987,85.6,
013812.OF,景顺长城景气进取A,混合型,混合型-偏股,4.41,7.12,18.74,15.36,14.37,1.09,455,153.0,97.08700651590648,173.0,96.70876387294298,83.6,
013813.OF,景顺长城景气进取C,混合型,混合型-偏股,4.37,7.04,18.6,15.36,14.41,1.08,455,156.0,97.02951322345726,178.0,96.61308840413318,83.4,
014106.OF,融通成长30C,灵活配置型,混合型-平衡,5.36,8.63,28.44,18.14,15.3,1.46,454,16.0,96.82875264270614,6.0,98.94291754756871,89.8,
014109.OF,融通内需驱动C,混合型,混合型-偏股,0.94,1.02,15.56,13.57,9.05,1.0,454,996.0,80.93139133767727,310.0,94.08725602755453,87.7,
013845.OF,中信建投睿选6个月持有C,混合型,混合型-偏股,4.35,10.71,19.77,14.39,11.98,1.23,444,60.0,98.86929858183213,147.0,97.20627631075392,88.6,
013844.OF,中信建投睿选6个月持有A,混合型,混合型-偏股,4.32,10.6,19.7,14.39,11.98,1.23,444,63.0,98.8118052893829,152.0,97.11060084194413,88.6,
013435.OF,大成景气精选六个月持有A,混合型,混合型-偏股,2.44,3.18,22.55,20.19,15.55,1.02,455,461.0,91.18436182445382,99.0,98.12476081132797,82.9,
013436.OF,大成景气精选六个月持有C,混合型,混合型-偏股,2.39,3.1,22.4,20.18,15.58,1.01,455,467.0,91.06937523955538,101.0,98.08649062380405,82.7,
012455.OF,淳厚鑫悦商业模式优选C,混合型,混合型-偏股,4.53,2.72,25.13,21.76,13.51,1.06,455,526.0,89.93867382138751,70.0,98.6796785304248,86.2,
012454.OF,淳厚鑫悦商业模式优选A,混合型,混合型-偏股,4.56,2.79,25.27,21.76,13.51,1.07,455,501.0,90.41778459179763,64.0,98.79448909299656,86.4,
013274.OF,长城优化升级C,混合型,混合型-偏股,11.2,21.1,35.46,19.61,16.39,1.71,455,9.0,99.84668455346876,9.0,99.84691924990432,92.3,
013025.OF,富国宏观策略C,灵活配置型,混合型-平衡,3.97,5.54,18.33,14.7,8.17,1.11,455,31.0,93.65750528541226,22.0,95.56025369978857,90.4,
012716.OF,长盛创新先锋C,灵活配置型,混合型-平衡,6.71,3.94,22.25,17.67,14.6,1.15,455,50.0,89.64059196617336,13.0,97.46300211416491,85.3,
012520.OF,大成核心趋势C,混合型,混合型-偏股,1.53,2.76,23.44,20.16,15.77,1.06,455,510.0,90.24530471444999,90.0,98.2969766551856,83.4,
012519.OF,大成核心趋势A,混合型,混合型-偏股,1.54,2.78,23.47,20.16,15.77,1.06,455,508.0,90.28363357608279,89.0,98.31611174894756,83.4,
011888.OF,民生加银周期优选A,混合型,混合型-偏股,5.54,6.96,25.23,18.71,13.66,1.24,455,160.0,96.95285550019165,67.0,98.73708381171068,88.7,
011889.OF,民生加银周期优选C,混合型,混合型-偏股,5.51,6.91,25.13,18.71,13.68,1.24,455,162.0,96.91452663855884,69.0,98.69881362418676,88.6,
011346.OF,淳厚鑫淳一年持有,混合型,混合型-偏股,4.98,2.75,22.57,18.84,11.54,1.09,455,512.0,90.20697585281717,98.0,98.14389590508993,89.2,
011808.OF,平安研究精选C,混合型,混合型-偏股,2.63,2.65,18.6,17.65,13.67,0.94,455,537.0,89.72786508240705,179.0,96.59395331037122,82.3,
011807.OF,平安研究精选A,混合型,混合型-偏股,2.68,2.75,18.77,17.66,13.61,0.95,455,514.0,90.16864699118436,172.0,96.72789896670494,82.7,
011685.OF,创金合信先进装备A,股票型,主动股票型,4.18,3.01,20.21,14.34,11.9,1.27,455,83.0,85.81314878892734,27.0,95.50173010380622,89.1,
011686.OF,创金合信先进装备C,股票型,主动股票型,4.15,2.95,20.09,14.33,11.92,1.26,455,85.0,85.46712802768167,29.0,95.15570934256056,88.9,
011252.OF,华安聚嘉精选C,混合型,混合型-偏股,3.15,3.71,14.87,14.32,10.6,0.9,455,375.0,92.83250287466463,364.0,93.05396096440872,83.5,
011251.OF,华安聚嘉精选A,混合型,混合型-偏股,3.2,3.8,15.02,14.33,10.57,0.91,455,364.0,93.04331161364507,348.0,93.36012246460008,83.9,
011011.OF,融通产业趋势精选A,混合型,混合型-偏股,3.31,5.53,24.86,19.02,15.75,1.2,454,228.0,95.64967420467612,75.0,98.584003061615,85.4,
011565.OF,富国周期优势C,混合型,混合型-偏股,2.84,3.71,22.95,17.62,11.36,1.19,455,377.0,92.79417401303182,97.0,98.1630309988519,90.6,
011566.OF,富国美丽中国C,混合型,混合型-偏股,1.57,7.64,15.26,10.92,8.0,1.21,455,136.0,97.41280183978536,324.0,93.8193647148871,90.7,
011128.OF,华安精致生活A,混合型,混合型-偏股,3.35,4.1,14.8,14.28,10.5,0.9,455,334.0,93.61824453813722,367.0,92.99655568312285,83.6,
011129.OF,华安精致生活C,混合型,混合型-偏股,3.29,4.01,14.65,14.27,10.52,0.89,455,345.0,93.40743579915677,384.0,92.67125908916954,83.3,
