ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
023674.OF,德邦新兴产业A,混合型,混合型-偏股,16.14,22.88,39.86,22.77,25.15,1.66,416,5.0,99.92334227673439,3.0,99.96172981247608,81.8,
023449.OF,上银资源精选C,混合型,混合型-偏股,3.95,4.89,23.63,21.44,10.75,1.01,358,272.0,94.80643924875432,87.0,98.3543819364715,88.6,
023448.OF,上银资源精选A,混合型,混合型-偏股,3.99,4.94,23.74,21.45,10.75,1.01,358,264.0,94.95975469528555,84.0,98.41178721775736,88.6,
021095.OF,东方低碳经济C,混合型,混合型-偏股,4.08,1.37,20.31,21.07,13.57,0.87,424,865.0,83.44193177462628,134.0,97.45503252965939,81.3,
021094.OF,东方低碳经济A,混合型,混合型-偏股,4.12,1.43,20.42,21.07,13.52,0.87,424,839.0,83.94020697585282,130.0,97.53157290470723,81.4,
023036.OF,中欧资源精选A,混合型,混合型-偏股,3.04,1.44,22.03,23.93,13.56,0.84,412,832.0,84.07435799156765,104.0,98.02908534251817,80.0,
022327.OF,宏利高端装备A,股票型,主动股票型,1.86,4.59,22.9,13.81,8.34,1.51,455,40.0,93.25259515570934,20.0,96.7128027681661,94.6,
022328.OF,宏利高端装备C,股票型,主动股票型,1.83,4.55,22.81,13.81,8.35,1.51,455,41.0,93.07958477508652,21.0,96.53979238754326,94.6,
023097.OF,安信比较优势C,灵活配置型,混合型-平衡,2.52,2.54,15.01,12.4,11.01,1.05,455,68.0,85.83509513742071,43.0,91.12050739957716,85.2,
022148.OF,诺安价值增长C,混合型,混合型-偏股,6.89,6.51,26.98,16.33,10.54,1.53,455,176.0,96.64622460712917,43.0,99.19632606199771,94.8,
022149.OF,诺安价值增长D,混合型,混合型-偏股,6.92,6.56,27.09,16.33,10.54,1.54,455,172.0,96.72288233039478,40.0,99.25373134328358,94.9,
022755.OF,易方达科鑫量化选股C,股票型,主动股票型,2.04,4.92,20.25,15.68,13.65,1.16,455,36.0,93.9446366782007,26.0,95.67474048442907,85.6,
